day,timestamp,mid_price,bid_price_1,ask_price_1,bid_volume_1,ask_volume_1,spread,microprice,wall_mid,mm_mid,imbalance,ret,z20
-1,100,9992.0,9984.0,10000.0,11.0,11.0,16.0,9992.0,9993.5,9992.0,-0.5,,
-1,200,9993.0,9985.0,10001.0,15.0,15.0,16.0,9993.0,9992.5,9993.0,0.0,1.0,
-1,300,9993.0,9985.0,10001.0,11.0,11.0,16.0,9993.0,9992.5,9993.0,0.0,0.0,
-1,400,9993.0,9985.0,10001.0,12.0,12.0,16.0,9993.0,9994.5,9993.0,-0.5102040816326531,0.0,
-1,500,9993.0,9985.0,10001.0,12.0,12.0,16.0,9993.0,9993.5,9993.0,0.0,0.0,
-1,600,9993.5,9983.0,10004.0,25.0,25.0,21.0,9993.5,9993.5,9993.5,0.0,0.5,
-1,700,9993.5,9983.0,10004.0,23.0,23.0,21.0,9993.5,9993.5,9993.5,0.0,0.0,
-1,800,9993.0,9985.0,10001.0,15.0,15.0,16.0,9993.0,9993.0,9993.0,0.0,-0.5,
-1,900,9993.0,9985.0,10001.0,15.0,15.0,16.0,9993.0,9992.5,9993.0,0.0,0.0,
-1,1000,9993.0,9985.0,10001.0,13.0,13.0,16.0,9993.0,9993.5,9993.0,0.0,0.0,
-1,1100,9992.0,9983.0,10001.0,24.0,12.0,18.0,9995.0,9992.0,9992.0,0.3333333333333333,-1.0,
-1,1200,9992.0,9983.0,10001.0,21.0,11.0,18.0,9994.8125,9992.0,9992.0,0.3125,0.0,
-1,1300,9993.0,9985.0,10001.0,10.0,10.0,16.0,9993.0,9993.5,9993.0,0.0,1.0,
-1,1400,9993.0,9985.0,10001.0,14.0,14.0,16.0,9993.0,9993.5,9993.0,0.0,0.0,
-1,1500,9993.0,9985.0,10001.0,10.0,10.0,16.0,9993.0,9993.5,9993.0,0.0,0.0,
-1,1600,9994.5,9985.0,10004.0,13.0,29.0,19.0,9990.880952380952,9994.5,9994.5,-0.38095238095238093,1.5,
-1,1700,9993.0,9985.0,10001.0,12.0,12.0,16.0,9993.0,9993.5,9993.0,0.0,-1.5,
-1,1800,9994.0,9986.0,10002.0,15.0,15.0,16.0,9994.0,9993.5,9994.0,0.0,1.0,
-1,1900,9992.0,9983.0,10001.0,28.0,14.0,18.0,9995.0,9993.5,9992.0,-0.2,-2.0,
-1,2000,9993.0,9985.0,10001.0,10.0,10.0,16.0,9993.0,9992.0,9993.0,0.5454545454545454,1.0,0.03917567409742753
-1,2100,9992.0,9983.0,10001.0,25.0,10.0,18.0,9995.857142857143,9993.5,9992.0,-0.16666666666666666,-1.0,-1.527851289822477
-1,2300,9993.0,9985.0,10001.0,11.0,11.0,16.0,9993.0,9994.0,9993.0,-0.5769230769230769,1.0,0.03917567409742753
-1,2400,9992.0,9984.0,10000.0,12.0,12.0,16.0,9992.0,9992.5,9992.0,0.0,-1.0,-1.3719064660756617
-1,2500,9992.0,9984.0,10000.0,15.0,15.0,16.0,9992.0,9992.5,9992.0,0.0,0.0,-1.2415275786208386
-1,2600,9992.0,9984.0,10000.0,15.0,15.0,16.0,9992.0,9991.0,9992.0,0.4339622641509434,0.0,-1.129445593622611
-1,2700,9991.0,9982.0,10000.0,26.0,14.0,18.0,9993.7,9992.5,9991.0,-0.21212121212121213,-1.0,-2.079332115667064
-1,2800,9994.5,9985.0,10004.0,11.0,25.0,19.0,9990.805555555555,9994.5,9994.5,-0.3888888888888889,3.5,1.9533493723577362
-1,2900,9993.0,9985.0,10001.0,15.0,15.0,16.0,9993.0,9993.5,9993.0,0.0,-1.5,0.2790499103368194
-1,3000,9994.0,9986.0,10002.0,15.0,15.0,16.0,9994.0,9993.5,9994.0,0.0,1.0,1.2799700595307337
-1,3100,9996.5,9991.0,10002.0,2.0,12.0,11.0,9992.57142857143,9992.5,9992.5,0.3684210526315789,2.5,2.8176282586214385
-1,3200,9993.0,9985.0,10001.0,12.0,12.0,16.0,9993.0,9994.5,9993.0,-0.4782608695652174,-3.5,-0.020327890704248557
-1,3300,9993.0,9985.0,10001.0,13.0,13.0,16.0,9993.0,9993.5,9993.0,0.0,0.0,-0.06218543634943254
-1,3400,9992.0,9983.0,10001.0,24.0,10.0,18.0,9995.70588235294,9993.5,9992.0,-0.1724137931034483,-1.0,-0.8334435188860232
-1,3500,9997.5,9991.0,10004.0,4.0,26.0,13.0,9992.733333333334,9994.5,9994.5,-0.15555555555555556,5.5,2.680890295194716
-1,3600,9993.0,9985.0,10001.0,10.0,10.0,16.0,9993.0,9992.0,9993.0,0.5121951219512195,-4.5,-0.15769942912910095
-1,3700,9993.0,9985.0,10001.0,10.0,10.0,16.0,9993.0,9993.0,9993.0,0.0,0.0,-0.11230208515860815
-1,3800,9997.5,9991.0,10004.0,2.0,23.0,13.0,9992.04,9993.5,9994.5,0.22033898305084745,4.5,2.237434435389159
-1,3900,9993.0,9985.0,10001.0,14.0,14.0,16.0,9993.0,9993.5,9993.0,0.0,-4.5,-0.19137582124396277
-1,4000,9994.0,9986.0,10002.0,15.0,15.0,16.0,9994.0,9993.5,9994.0,0.0,1.0,0.30459223989900874
-1,4100,9993.0,9985.0,10001.0,15.0,15.0,16.0,9993.0,9993.0,9993.0,0.0,-1.0,-0.24921183264537614
-1,4300,9992.5,9983.0,10002.0,22.0,10.0,19.0,9996.0625,9993.5,9992.5,-0.18518518518518517,-0.5,-0.5453219262904044
-1,4400,9992.5,9983.0,10002.0,30.0,13.0,19.0,9996.255813953489,9993.5,9992.5,-0.1780821917808219,0.0,-0.52824994700404
-1,4500,9994.0,9986.0,10002.0,10.0,10.0,16.0,9994.0,9994.5,9994.0,0.0,1.5,0.2543978196270571
-1,4600,9992.5,9983.0,10002.0,29.0,15.0,19.0,9995.522727272728,9993.5,9992.5,-0.2054794520547945,-1.5,-0.6145498096183798
-1,4700,9993.0,9985.0,10001.0,15.0,15.0,16.0,9993.0,9992.0,9993.0,0.5,0.5,-0.3642548067573714
-1,4800,9993.0,9985.0,10001.0,14.0,14.0,16.0,9993.0,9994.5,9993.0,-0.44,0.0,-0.45036725867061156
-1,4900,9995.0,9986.0,10004.0,15.0,22.0,18.0,9993.297297297297,9993.5,9995.0,0.2542372881355932,2.0,0.7686325649495332
-1,5000,9994.0,9986.0,10002.0,13.0,13.0,16.0,9994.0,9993.5,9994.0,0.0,-1.0,0.12365981765772513
-1,5100,9994.0,9986.0,10002.0,11.0,11.0,16.0,9994.0,9993.5,9994.0,0.0,0.0,0.12365981765772513
-1,5200,9995.0,9986.0,10004.0,11.0,26.0,18.0,9991.351351351352,9993.5,9995.0,0.1746031746031746,1.0,0.8403496189907183
