day,timestamp,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,simple_mid,microprice,wall_mid,mm_mid,spread,imb_l1,imbalance,ofi_5,micro_minus_mid,fair_dev_wall,z20,rolling_vol_20,fwd_ret_1,fwd_ret_5
-1,0,10994.0000,9.0000,11009.0000,25.0000,11001.5000,11001.5000,10997.9706,11001.5000,11001.5000,15.0000,-0.4706,-0.4706,0.0000,-3.5294,0.0000,,,-1.5000,-0.5000
-1,100,10994.0000,8.0000,11006.0000,8.0000,11000.0000,11000.0000,11000.0000,11000.0000,11000.0000,12.0000,0.0000,0.0000,7.0000,0.0000,0.0000,,,1.5000,1.0000
-1,300,10994.0000,8.0000,11009.0000,23.0000,11001.5000,11001.5000,10997.8710,11001.5000,11001.5000,15.0000,-0.4839,-0.4839,-1.0000,-3.6290,0.0000,,,-1.5000,-2.0000
-1,400,10994.0000,10.0000,11006.0000,10.0000,11000.0000,11000.0000,11000.0000,11000.5000,11000.0000,12.0000,0.0000,0.0000,11.0000,0.0000,-0.5000,,,1.0000,-0.5000
-1,600,10995.0000,11.0000,11007.0000,11.0000,11001.0000,11001.0000,11001.0000,10999.5000,11001.0000,12.0000,0.0000,0.5111,12.0000,0.0000,1.5000,,,0.0000,0.0000
-1,700,10995.0000,9.0000,11007.0000,9.0000,11001.0000,11001.0000,11001.0000,11002.0000,11002.0000,12.0000,0.0000,-0.5714,12.0000,0.0000,-1.0000,,,0.0000,0.0000
-1,800,10995.0000,8.0000,11007.0000,8.0000,11001.0000,11001.0000,11001.0000,11002.5000,11002.5000,12.0000,0.0000,-0.5556,5.0000,0.0000,-1.5000,,,-1.5000,0.0000
-1,900,10992.0000,25.0000,11007.0000,8.0000,10999.5000,10999.5000,11003.3636,11001.0000,11001.0000,15.0000,0.5152,-0.1379,5.0000,3.8636,-1.5000,,,0.0000,1.5000
-1,1000,10992.0000,21.0000,11007.0000,10.0000,10999.5000,10999.5000,11002.1613,11001.0000,10999.5000,15.0000,0.3548,-0.1923,-13.0000,2.6613,-1.5000,,,1.5000,1.5000
-1,1100,10995.0000,11.0000,11007.0000,11.0000,11001.0000,11001.0000,11001.0000,11001.0000,11001.0000,12.0000,0.0000,0.0000,-4.0000,0.0000,0.0000,,,0.0000,1.0000
-1,1200,10992.0000,22.0000,11010.0000,22.0000,11001.0000,11001.0000,11001.0000,11001.0000,11001.0000,18.0000,0.0000,0.0000,-26.0000,0.0000,0.0000,,,0.0000,0.5000
-1,1300,10995.0000,12.0000,11007.0000,12.0000,11001.0000,11001.0000,11001.0000,11002.5000,11001.0000,12.0000,0.0000,-0.4000,-2.0000,0.0000,-1.5000,,,0.0000,1.0000
-1,1400,10995.0000,10.0000,11007.0000,10.0000,11001.0000,11001.0000,11001.0000,11000.0000,11001.0000,12.0000,0.0000,0.4595,6.0000,0.0000,1.0000,,,0.0000,1.0000
-1,1500,10995.0000,11.0000,11007.0000,11.0000,11001.0000,11001.0000,11001.0000,11001.5000,11001.0000,12.0000,0.0000,0.0000,12.0000,0.0000,-0.5000,,,1.0000,1.0000
-1,1600,10996.0000,8.0000,11008.0000,8.0000,11002.0000,11002.0000,11002.0000,11001.5000,11001.5000,12.0000,0.0000,0.0000,-1.0000,0.0000,0.5000,,,-0.5000,0.0000
-1,1700,10993.0000,15.0000,11010.0000,15.0000,11001.5000,11001.5000,11001.5000,11001.5000,11001.5000,17.0000,0.0000,0.0000,5.0000,0.0000,0.0000,,,0.5000,0.5000
-1,1800,10996.0000,9.0000,11008.0000,9.0000,11002.0000,11002.0000,11002.0000,11002.0000,11002.0000,12.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,,,0.0000,0.0000
-1,1900,10996.0000,10.0000,11008.0000,10.0000,11002.0000,11002.0000,11002.0000,11003.5000,11002.0000,12.0000,0.0000,-0.5556,-1.0000,0.0000,-1.5000,,,0.0000,0.0000
-1,2000,10996.0000,12.0000,11008.0000,12.0000,11002.0000,11002.0000,11002.0000,11002.0000,11002.0000,12.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,,,0.0000,0.5000
-1,2100,10996.0000,8.0000,11008.0000,8.0000,11002.0000,11002.0000,11002.0000,11000.5000,11000.5000,12.0000,0.0000,0.4839,2.0000,0.0000,1.5000,1.1573,,0.0000,1.0000
-1,2200,10996.0000,12.0000,11008.0000,12.0000,11002.0000,11002.0000,11002.0000,11000.5000,11002.0000,12.0000,0.0000,0.4894,18.0000,0.0000,1.5000,1.0965,0.8503,0.0000,-4.0000
-1,2300,10996.0000,9.0000,11008.0000,9.0000,11002.0000,11002.0000,11002.0000,11001.0000,11001.0000,12.0000,0.0000,0.5814,0.0000,0.0000,1.0000,0.9984,0.7712,0.0000,1.0000
-1,2400,10996.0000,8.0000,11008.0000,8.0000,11002.0000,11002.0000,11002.0000,11003.5000,11003.5000,12.0000,0.0000,-0.5789,0.0000,0.0000,-1.5000,0.9465,0.6973,0.5000,5.5000
-1,2500,10996.0000,10.0000,11009.0000,10.0000,11002.5000,11002.5000,11002.5000,11003.5000,11002.5000,13.0000,0.0000,-0.4286,-6.0000,0.0000,-1.0000,1.4150,0.6043,0.5000,-1.0000
-1,2600,10997.0000,8.0000,11009.0000,8.0000,11003.0000,11003.0000,11003.0000,11001.5000,11001.5000,12.0000,0.0000,0.6098,4.0000,0.0000,1.5000,1.7474,0.5758,-5.0000,0.0000
-1,2700,10997.0000,11.0000,10999.0000,8.0000,10998.0000,10998.0000,10998.1579,11002.5000,11004.0000,2.0000,0.1579,0.0526,15.0000,0.1579,-4.5000,-2.8102,1.2784,5.0000,5.0000
-1,2800,10997.0000,12.0000,11009.0000,12.0000,11003.0000,11003.0000,11003.0000,11004.5000,11003.0000,12.0000,0.0000,-0.5102,8.0000,0.0000,-1.5000,1.2996,1.7214,4.5000,0.0000
-1,2900,11006.0000,8.0000,11009.0000,12.0000,11007.5000,11007.5000,11007.2000,11003.0000,11001.5000,3.0000,-0.2000,-0.0571,16.0000,-0.3000,4.5000,3.2292,1.9372,-6.0000,-4.5000
-1,3000,10994.0000,21.0000,11009.0000,9.0000,11001.5000,11001.5000,11004.5000,11001.5000,11001.5000,15.0000,0.4000,0.4000,17.0000,3.0000,0.0000,-0.2377,2.4094,1.5000,2.0000
-1,3100,10997.0000,11.0000,11009.0000,11.0000,11003.0000,11003.0000,11003.0000,11001.5000,11003.0000,12.0000,0.0000,0.4884,16.0000,0.0000,1.5000,0.5932,2.4094,0.0000,1.0000
-1,3200,10997.0000,9.0000,11009.0000,9.0000,11003.0000,11003.0000,11003.0000,11003.0000,11003.0000,12.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.5348,2.4094,0.0000,1.0000
-1,3300,10997.0000,10.0000,11009.0000,10.0000,11003.0000,11003.0000,11003.0000,11004.5000,11003.0000,12.0000,0.0000,-0.4595,12.0000,0.0000,-1.5000,0.4781,2.4094,0.0000,1.0000
-1,3400,10997.0000,12.0000,11009.0000,12.0000,11003.0000,11003.0000,11003.0000,11003.5000,11003.0000,12.0000,0.0000,0.0000,4.0000,0.0000,-0.5000,0.4223,2.4094,0.5000,1.0000
-1,3500,10997.0000,11.0000,11010.0000,11.0000,11003.5000,11003.5000,11003.5000,11004.5000,11003.5000,13.0000,0.0000,-0.5319,-4.0000,0.0000,-1.0000,0.6521,2.4109,0.5000,0.5000
