day,timestamp,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,simple_mid,microprice,wall_mid,mm_mid,spread,imb_l1,imbalance,ofi_5,micro_minus_mid,fair_dev_wall,z20,rolling_vol_20,fwd_ret_1,fwd_ret_5
-1,100,9984.0000,11.0000,10000.0000,11.0000,9992.0000,9992.0000,9992.0000,9993.5000,9992.0000,16.0000,0.0000,-0.5000,0.0000,0.0000,-1.5000,,,1.0000,1.5000
-1,200,9985.0000,15.0000,10001.0000,15.0000,9993.0000,9993.0000,9993.0000,9992.5000,9993.0000,16.0000,0.0000,0.0000,4.0000,0.0000,0.5000,,,0.0000,0.5000
-1,300,9985.0000,11.0000,10001.0000,11.0000,9993.0000,9993.0000,9993.0000,9992.5000,9993.0000,16.0000,0.0000,0.0000,4.0000,0.0000,0.5000,,,0.0000,0.0000
-1,400,9985.0000,12.0000,10001.0000,12.0000,9993.0000,9993.0000,9993.0000,9994.5000,9993.0000,16.0000,0.0000,-0.5102,4.0000,0.0000,-1.5000,,,0.0000,0.0000
-1,500,9985.0000,12.0000,10001.0000,12.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,4.0000,0.0000,-0.5000,,,0.5000,0.0000
-1,600,9983.0000,25.0000,10004.0000,25.0000,9993.5000,9993.5000,9993.5000,9993.5000,9993.5000,21.0000,0.0000,0.0000,-20.0000,0.0000,0.0000,,,0.0000,-1.5000
-1,700,9983.0000,23.0000,10004.0000,23.0000,9993.5000,9993.5000,9993.5000,9993.5000,9993.5000,21.0000,0.0000,0.0000,-24.0000,0.0000,0.0000,,,-0.5000,-1.5000
-1,800,9985.0000,15.0000,10001.0000,15.0000,9993.0000,9993.0000,9993.0000,9993.0000,9993.0000,16.0000,0.0000,0.0000,6.0000,0.0000,0.0000,,,0.0000,0.0000
-1,900,9985.0000,15.0000,10001.0000,15.0000,9993.0000,9993.0000,9993.0000,9992.5000,9993.0000,16.0000,0.0000,0.0000,6.0000,0.0000,0.5000,,,0.0000,0.0000
-1,1000,9985.0000,13.0000,10001.0000,13.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,6.0000,0.0000,-0.5000,,,-1.0000,0.0000
-1,1100,9983.0000,24.0000,10001.0000,12.0000,9992.0000,9992.0000,9995.0000,9992.0000,9992.0000,18.0000,0.3333,0.3333,18.0000,3.0000,0.0000,,,0.0000,2.5000
-1,1200,9983.0000,21.0000,10001.0000,11.0000,9992.0000,9992.0000,9994.8125,9992.0000,9992.0000,18.0000,0.3125,0.3125,16.0000,2.8125,0.0000,,,1.0000,1.0000
-1,1300,9985.0000,10.0000,10001.0000,10.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,-3.0000,0.0000,-0.5000,,,0.0000,1.0000
-1,1400,9985.0000,14.0000,10001.0000,14.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,-3.0000,0.0000,-0.5000,,,0.0000,-1.0000
-1,1500,9985.0000,10.0000,10001.0000,10.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,-3.0000,0.0000,-0.5000,,,1.5000,0.0000
-1,1600,9985.0000,13.0000,10004.0000,29.0000,9994.5000,9994.5000,9990.8810,9994.5000,9994.5000,19.0000,-0.3810,-0.3810,2.0000,-3.6190,0.0000,,,-1.5000,-2.5000
-1,1700,9985.0000,12.0000,10001.0000,12.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,15.0000,0.0000,-0.5000,,,1.0000,0.0000
-1,1800,9986.0000,15.0000,10002.0000,15.0000,9994.0000,9994.0000,9994.0000,9993.5000,9994.0000,16.0000,0.0000,0.0000,7.0000,0.0000,0.5000,,,-2.0000,-2.0000
-1,1900,9983.0000,28.0000,10001.0000,14.0000,9992.0000,9992.0000,9995.0000,9993.5000,9992.0000,18.0000,0.3333,-0.2000,6.0000,3.0000,-1.5000,,,1.0000,0.0000
-1,2000,9985.0000,10.0000,10001.0000,10.0000,9993.0000,9993.0000,9993.0000,9992.0000,9993.0000,16.0000,0.0000,0.5455,20.0000,0.0000,1.0000,0.0392,,-1.0000,-1.0000
-1,2100,9983.0000,25.0000,10001.0000,10.0000,9992.0000,9992.0000,9995.8571,9993.5000,9992.0000,18.0000,0.4286,-0.1667,17.0000,3.8571,-1.5000,-1.5279,0.8885,1.0000,-1.0000
-1,2300,9985.0000,11.0000,10001.0000,11.0000,9993.0000,9993.0000,9993.0000,9994.0000,9993.0000,16.0000,0.0000,-0.5769,16.0000,0.0000,-1.0000,0.0392,0.8885,-1.0000,1.5000
-1,2400,9984.0000,12.0000,10000.0000,12.0000,9992.0000,9992.0000,9992.0000,9992.5000,9992.0000,16.0000,0.0000,0.0000,14.0000,0.0000,-0.5000,-1.3719,0.9162,0.0000,1.0000
-1,2500,9984.0000,15.0000,10000.0000,15.0000,9992.0000,9992.0000,9992.0000,9992.5000,9992.0000,16.0000,0.0000,0.0000,15.0000,0.0000,-0.5000,-1.2415,0.9162,0.0000,2.0000
-1,2600,9984.0000,15.0000,10000.0000,15.0000,9992.0000,9992.0000,9992.0000,9991.0000,9992.0000,16.0000,0.0000,0.4340,1.0000,0.0000,1.0000,-1.1294,0.9162,-1.0000,4.5000
-1,2700,9982.0000,26.0000,10000.0000,14.0000,9991.0000,9991.0000,9993.7000,9992.5000,9991.0000,18.0000,0.3000,-0.2121,-3.0000,2.7000,-1.5000,-2.0793,0.9301,3.5000,2.0000
-1,2800,9985.0000,11.0000,10004.0000,25.0000,9994.5000,9994.5000,9990.8056,9994.5000,9994.5000,19.0000,-0.3889,-0.3889,-16.0000,-3.6944,0.0000,1.9533,1.2344,-1.5000,-1.5000
-1,2900,9985.0000,15.0000,10001.0000,15.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,2.0000,0.0000,-0.5000,0.2790,1.2773,1.0000,-1.0000
-1,3000,9986.0000,15.0000,10002.0000,15.0000,9994.0000,9994.0000,9994.0000,9993.5000,9994.0000,16.0000,0.0000,0.0000,2.0000,0.0000,0.5000,1.2800,1.2968,2.5000,3.5000
-1,3100,9991.0000,2.0000,10002.0000,12.0000,9996.5000,9996.5000,9992.5714,9992.5000,9992.5000,11.0000,-0.7143,0.3684,7.0000,-3.9286,4.0000,2.8176,1.4075,-3.5000,-3.5000
-1,3200,9985.0000,12.0000,10001.0000,12.0000,9993.0000,9993.0000,9993.0000,9994.5000,9993.0000,16.0000,0.0000,-0.4783,31.0000,0.0000,-1.5000,-0.0203,1.6133,0.0000,0.0000
-1,3300,9985.0000,13.0000,10001.0000,13.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,34.0000,0.0000,-0.5000,-0.0622,1.6133,-1.0000,4.5000
-1,3400,9983.0000,24.0000,10001.0000,10.0000,9992.0000,9992.0000,9995.7059,9993.5000,9992.0000,18.0000,0.4118,-0.1724,5.0000,3.7059,-1.5000,-0.8334,1.6133,5.5000,1.0000
-1,3500,9991.0000,4.0000,10004.0000,26.0000,9997.5000,9997.5000,9992.7333,9994.5000,9994.5000,13.0000,-0.7333,-0.1556,-1.0000,-4.7667,3.0000,2.6809,2.0357,-4.5000,-3.5000
-1,3600,9985.0000,10.0000,10001.0000,10.0000,9993.0000,9993.0000,9993.0000,9992.0000,9993.0000,16.0000,0.0000,0.5122,0.0000,0.0000,1.0000,-0.1577,2.2942,0.0000,0.0000
-1,3700,9985.0000,10.0000,10001.0000,10.0000,9993.0000,9993.0000,9993.0000,9993.0000,9993.0000,16.0000,0.0000,0.0000,-10.0000,0.0000,0.0000,-0.1123,2.2669,4.5000,-0.5000
-1,3800,9991.0000,2.0000,10004.0000,23.0000,9997.5000,9997.5000,9992.0400,9993.5000,9994.5000,13.0000,-0.8400,0.2203,-18.0000,-5.4600,4.0000,2.2374,2.4574,-4.5000,-5.0000
-1,3900,9985.0000,14.0000,10001.0000,14.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,4.0000,0.0000,-0.5000,-0.1914,2.6651,1.0000,1.0000
