day,timestamp,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,simple_mid,microprice,wall_mid,mm_mid,spread,imb_l1,imbalance,ofi_5,micro_minus_mid,fair_dev_wall,z20,rolling_vol_20,fwd_ret_1,fwd_ret_5
-1,0,10991.0000,15.0000,11006.0000,10.0000,10998.5000,10998.5000,11000.0000,11000.0000,10998.5000,15.0000,0.2000,-0.2500,0.0000,1.5000,-1.5000,,,1.5000,3.5000
-1,100,10994.0000,9.0000,11006.0000,9.0000,11000.0000,11000.0000,11000.0000,11000.0000,11000.0000,12.0000,0.0000,0.0000,10.0000,0.0000,0.0000,,,1.5000,1.0000
-1,200,10994.0000,10.0000,11009.0000,20.0000,11001.5000,11001.5000,10999.0000,11001.5000,11001.5000,15.0000,-0.3333,-0.3333,2.0000,-2.5000,0.0000,,,-2.5000,-2.0000
-1,400,10992.0000,20.0000,11006.0000,11.0000,10999.0000,10999.0000,11001.0323,11000.5000,10999.0000,14.0000,0.2903,-0.2157,3.0000,2.0323,-1.5000,,,1.0000,2.0000
-1,500,10994.0000,8.0000,11006.0000,8.0000,11000.0000,11000.0000,11000.0000,11000.5000,11000.5000,12.0000,0.0000,0.0000,14.0000,0.0000,-0.5000,,,2.0000,1.0000
-1,600,10995.0000,9.0000,11009.0000,25.0000,11002.0000,11002.0000,10998.7059,11000.5000,11000.5000,14.0000,-0.4706,0.1525,15.0000,-3.2941,1.5000,,,-1.0000,-1.0000
-1,700,10995.0000,9.0000,11007.0000,9.0000,11001.0000,11001.0000,11001.0000,11000.5000,11000.5000,12.0000,0.0000,0.0000,14.0000,0.0000,0.5000,,,-1.5000,2.0000
-1,800,10992.0000,15.0000,11007.0000,9.0000,10999.5000,10999.5000,11001.3750,10999.5000,10999.5000,15.0000,0.2500,0.2500,13.0000,1.8750,0.0000,,,1.5000,0.5000
-1,900,10995.0000,10.0000,11007.0000,10.0000,11001.0000,11001.0000,11001.0000,11002.5000,11001.0000,12.0000,0.0000,-0.5349,21.0000,0.0000,-1.5000,,,0.0000,0.0000
-1,1000,10995.0000,12.0000,11007.0000,12.0000,11001.0000,11001.0000,11001.0000,11001.0000,11001.0000,12.0000,0.0000,0.0000,10.0000,0.0000,0.0000,,,0.0000,2.0000
-1,1200,10995.0000,10.0000,11007.0000,10.0000,11001.0000,11001.0000,11001.0000,11002.5000,11001.0000,12.0000,0.0000,-0.4444,9.0000,0.0000,-1.5000,,,2.0000,1.0000
-1,1300,10999.0000,6.0000,11007.0000,12.0000,11003.0000,11003.0000,11001.6667,11004.5000,11004.5000,8.0000,-0.3333,-0.7209,4.0000,-1.3333,-1.5000,,,-3.0000,-1.0000
-1,1400,10993.0000,19.0000,11007.0000,11.0000,11000.0000,11000.0000,11001.8667,11001.5000,11000.0000,14.0000,0.2667,-0.2245,8.0000,1.8667,-1.5000,,,1.0000,2.0000
-1,1500,10995.0000,12.0000,11007.0000,12.0000,11001.0000,11001.0000,11001.0000,11001.5000,11001.0000,12.0000,0.0000,0.0000,10.0000,0.0000,-0.5000,,,2.0000,1.0000
-1,1600,10996.0000,11.0000,11010.0000,19.0000,11003.0000,11003.0000,11001.1333,11001.5000,11003.0000,14.0000,-0.2667,0.2245,9.0000,-1.8667,1.5000,,,-1.0000,-1.0000
-1,1800,10996.0000,8.0000,11008.0000,8.0000,11002.0000,11002.0000,11002.0000,11002.0000,11002.0000,12.0000,0.0000,0.0000,14.0000,0.0000,0.0000,,,0.0000,0.0000
-1,1900,10996.0000,12.0000,11008.0000,12.0000,11002.0000,11002.0000,11002.0000,11002.0000,11002.0000,12.0000,0.0000,0.0000,10.0000,0.0000,0.0000,,,0.0000,1.0000
-1,2000,10996.0000,9.0000,11008.0000,9.0000,11002.0000,11002.0000,11002.0000,11002.0000,11002.0000,12.0000,0.0000,0.0000,15.0000,0.0000,0.0000,,,0.0000,1.0000
-1,2200,10996.0000,11.0000,11008.0000,11.0000,11002.0000,11002.0000,11002.0000,11003.5000,11002.0000,12.0000,0.0000,-0.4054,4.0000,0.0000,-1.5000,,,0.0000,-0.5000
-1,2300,10996.0000,9.0000,11008.0000,9.0000,11002.0000,11002.0000,11002.0000,11002.5000,11002.5000,12.0000,0.0000,0.0000,5.0000,0.0000,-0.5000,0.7406,,0.0000,1.0000
-1,2400,10996.0000,11.0000,11008.0000,11.0000,11002.0000,11002.0000,11002.0000,11002.5000,11002.0000,12.0000,0.0000,0.0000,0.0000,0.0000,-0.5000,0.6780,1.4444,1.0000,-4.0000
-1,2600,10997.0000,12.0000,11009.0000,12.0000,11003.0000,11003.0000,11003.0000,11003.0000,11003.0000,12.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.4148,1.4244,0.0000,1.5000
-1,2700,10997.0000,11.0000,11009.0000,11.0000,11003.0000,11003.0000,11003.0000,11004.0000,11003.0000,12.0000,0.0000,-0.5217,1.0000,0.0000,-1.0000,1.2855,1.3886,-1.5000,0.0000
-1,2800,10994.0000,15.0000,11009.0000,11.0000,11001.5000,11001.5000,11002.6538,11003.0000,11001.5000,15.0000,0.1538,-0.2683,-10.0000,1.1538,-1.5000,-0.0967,1.3066,1.5000,2.0000
-1,2900,10997.0000,9.0000,11009.0000,9.0000,11003.0000,11003.0000,11003.0000,11003.0000,11003.0000,12.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.2419,1.3288,-5.0000,1.0000
-1,3000,10997.0000,12.0000,10999.0000,8.0000,10998.0000,10998.0000,10998.2000,11003.0000,11003.0000,2.0000,0.2000,-0.1176,12.0000,0.2000,-5.0000,-2.7164,1.6890,6.5000,6.0000
-1,3200,10997.0000,12.0000,11012.0000,16.0000,11004.5000,11004.5000,11003.4286,11003.0000,11004.5000,15.0000,-0.1429,0.2727,3.0000,-1.0714,1.5000,1.9069,2.2436,-1.5000,-2.0000
-1,3400,10997.0000,9.0000,11009.0000,9.0000,11003.0000,11003.0000,11003.0000,11003.5000,11003.5000,12.0000,0.0000,0.0000,9.0000,0.0000,-0.5000,0.7958,2.2436,0.5000,1.0000
-1,3500,10997.0000,11.0000,11010.0000,11.0000,11003.5000,11003.5000,11003.5000,11002.5000,11003.5000,13.0000,0.0000,0.4359,13.0000,0.0000,1.0000,1.0466,2.2235,0.5000,0.5000
-1,3600,10998.0000,11.0000,11010.0000,11.0000,11004.0000,11004.0000,11004.0000,11003.5000,11004.0000,12.0000,0.0000,0.0000,13.0000,0.0000,0.5000,1.2556,2.2249,0.0000,-1.5000
-1,3700,10998.0000,11.0000,11010.0000,11.0000,11004.0000,11004.0000,11004.0000,11003.5000,11004.0000,12.0000,0.0000,0.0000,2.0000,0.0000,0.5000,1.1315,2.2249,-1.5000,0.0000
-1,3800,10995.0000,24.0000,11010.0000,11.0000,11002.5000,11002.5000,11005.2857,11004.0000,11002.5000,15.0000,0.3714,-0.1864,-1.0000,2.7857,-1.5000,0.1358,2.2093,1.5000,1.5000
-1,3900,10998.0000,10.0000,11010.0000,10.0000,11004.0000,11004.0000,11004.0000,11004.0000,11004.0000,12.0000,0.0000,0.0000,4.0000,0.0000,0.0000,1.0607,2.1176,0.0000,0.5000
-1,4000,10998.0000,11.0000,11010.0000,11.0000,11004.0000,11004.0000,11004.0000,11004.0000,11004.0000,12.0000,0.0000,0.0000,11.0000,0.0000,0.0000,0.9603,2.1095,-1.5000,1.0000
-1,4200,10995.0000,25.0000,11010.0000,11.0000,11002.5000,11002.5000,11005.4167,11002.5000,11002.5000,15.0000,0.3889,0.3889,-11.0000,2.9167,0.0000,-0.0890,2.0931,1.5000,2.0000
-1,4300,10998.0000,11.0000,11010.0000,11.0000,11004.0000,11004.0000,11004.0000,11003.0000,11004.0000,12.0000,0.0000,0.5319,0.0000,0.0000,1.0000,0.8929,2.1064,0.0000,-4.0000
-1,4400,10998.0000,9.0000,11010.0000,9.0000,11004.0000,11004.0000,11004.0000,11003.0000,11003.0000,12.0000,0.0000,0.5714,11.0000,0.0000,1.0000,0.8135,2.1064,0.5000,1.0000
-1,4500,10998.0000,9.0000,11011.0000,9.0000,11004.5000,11004.5000,11004.5000,11004.5000,11004.5000,13.0000,0.0000,0.0000,-9.0000,0.0000,0.0000,1.0494,2.1081,0.5000,0.5000
-1,4600,10999.0000,9.0000,11011.0000,9.0000,11005.0000,11005.0000,11005.0000,11004.5000,11004.5000,12.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1.2443,2.1095,-0.5000,0.0000
-1,4700,10996.0000,18.0000,11013.0000,18.0000,11004.5000,11004.5000,11004.5000,11004.5000,11004.5000,17.0000,0.0000,0.0000,-7.0000,0.0000,0.0000,0.8309,2.1143,-4.5000,0.5000
-1,4800,10999.0000,12.0000,11001.0000,7.0000,11000.0000,11000.0000,11000.2632,11005.0000,11005.0000,2.0000,0.2632,-0.0909,1.0000,0.2632,-5.0000,-1.8634,2.3542,5.0000,5.0000
-1,4900,10999.0000,9.0000,11011.0000,9.0000,11005.0000,11005.0000,11005.0000,11003.5000,11003.5000,12.0000,0.0000,0.5000,-9.0000,0.0000,1.5000,1.0272,2.6087,0.0000,0.5000
-1,5000,10999.0000,9.0000,11011.0000,9.0000,11005.0000,11005.0000,11005.0000,11006.5000,11006.5000,12.0000,0.0000,-0.5714,0.0000,0.0000,-1.5000,0.9454,2.6087,0.0000,1.5000
-1,5100,10999.0000,11.0000,11011.0000,11.0000,11005.0000,11005.0000,11005.0000,11005.0000,11005.0000,12.0000,0.0000,0.0000,-9.0000,0.0000,0.0000,0.8549,2.5817,0.0000,-0.5000
-1,5200,10999.0000,10.0000,11011.0000,10.0000,11005.0000,11005.0000,11005.0000,11005.0000,11005.0000,12.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.7859,2.5629,0.0000,1.0000
-1,5300,10999.0000,9.0000,11011.0000,9.0000,11005.0000,11005.0000,11005.0000,11005.5000,11005.5000,12.0000,0.0000,0.0000,-10.0000,0.0000,-0.5000,0.8581,2.2659,0.5000,1.0000
-1,5400,10997.0000,15.0000,11014.0000,15.0000,11005.5000,11005.5000,11005.5000,11005.5000,11005.5000,17.0000,0.0000,0.0000,-18.0000,0.0000,0.0000,1.1839,1.7464,1.0000,0.5000
-1,5500,10999.0000,12.0000,11014.0000,22.0000,11006.5000,11006.5000,11004.2941,11006.5000,11006.5000,15.0000,-0.2941,-0.2941,-13.0000,-2.2059,0.0000,1.7097,1.7189,-2.0000,-2.0000
-1,5600,10997.0000,15.0000,11012.0000,11.0000,11004.5000,11004.5000,11005.6538,11005.5000,11004.5000,15.0000,0.1538,-0.2683,-14.0000,1.1538,-1.0000,0.2034,1.7837,1.5000,1.5000
-1,5700,11000.0000,11.0000,11012.0000,11.0000,11006.0000,11006.0000,11006.0000,11004.5000,11006.0000,12.0000,0.0000,0.4500,-3.0000,0.0000,1.5000,1.1901,1.8108,0.0000,0.0000
-1,5800,10997.0000,20.0000,11015.0000,20.0000,11006.0000,11006.0000,11006.0000,11006.0000,11006.0000,18.0000,0.0000,0.0000,-25.0000,0.0000,0.0000,1.0836,1.8108,0.0000,0.0000
-1,5900,11000.0000,9.0000,11012.0000,9.0000,11006.0000,11006.0000,11006.0000,11006.0000,11006.0000,12.0000,0.0000,0.0000,11.0000,0.0000,0.0000,0.9861,1.7717,-1.5000,-1.0000
