product,metric,round1,round2
ASH_COATED_OSMIUM,classification,STABLE,STABLE
ASH_COATED_OSMIUM,archetype,fixed_fair_mm,fixed_fair_mm
ASH_COATED_OSMIUM,best_fair,mm_mid,wall_mid
ASH_COATED_OSMIUM,lag1_acf,-0.4937,-0.4818
ASH_COATED_OSMIUM,best_signal,wall_delta,wall_delta
ASH_COATED_OSMIUM,best_signal_corr,0.5881,0.5876
ASH_COATED_OSMIUM,take_edge,4.0,4.0
ASH_COATED_OSMIUM,passive_edge,5.33,5.33
ASH_COATED_OSMIUM,spread_mean,16.175,16.234
ASH_COATED_OSMIUM,spread_p50,16.0,16.0
ASH_COATED_OSMIUM,imb_l1_std,0.2335,0.2317
ASH_COATED_OSMIUM,ofi_std,10.744,10.885
ASH_COATED_OSMIUM,micro_minus_mid_std,1.7842,1.7863
ASH_COATED_OSMIUM,n_buy_takes,0,0
ASH_COATED_OSMIUM,n_sell_takes,0,0
ASH_COATED_OSMIUM,buy_markout_h5,0.0,0.0
ASH_COATED_OSMIUM,sell_markout_h5,0.0,0.0
ASH_COATED_OSMIUM,spike_freq_10k,22.43,15.52
ASH_COATED_OSMIUM,spike_reversion,True,True
ASH_COATED_OSMIUM,sim_pct_at_limit,0.0,0.0
ASH_COATED_OSMIUM,sim_mtm_pnl,0.0,0.0
ASH_COATED_OSMIUM,ols_r2,0.45855,0.45167
INTARIAN_PEPPER_ROOT,classification,DRIFTING,DRIFTING
INTARIAN_PEPPER_ROOT,archetype,drifting_mm,drifting_mm
INTARIAN_PEPPER_ROOT,best_fair,wall_mid,mm_mid
INTARIAN_PEPPER_ROOT,lag1_acf,-0.0072,-0.4947
INTARIAN_PEPPER_ROOT,best_signal,z20,z20
INTARIAN_PEPPER_ROOT,best_signal_corr,-0.0704,-0.6371
INTARIAN_PEPPER_ROOT,take_edge,3.0,3.25
INTARIAN_PEPPER_ROOT,passive_edge,4.33,4.67
INTARIAN_PEPPER_ROOT,spread_mean,13.047,14.122
INTARIAN_PEPPER_ROOT,spread_p50,13.0,14.0
INTARIAN_PEPPER_ROOT,imb_l1_std,0.1925,0.192
INTARIAN_PEPPER_ROOT,ofi_std,8.84,8.864
INTARIAN_PEPPER_ROOT,micro_minus_mid_std,1.3774,1.4844
INTARIAN_PEPPER_ROOT,n_buy_takes,371,363
INTARIAN_PEPPER_ROOT,n_sell_takes,113,225
INTARIAN_PEPPER_ROOT,buy_markout_h5,4.398,4.694
INTARIAN_PEPPER_ROOT,sell_markout_h5,2.92,2.978
INTARIAN_PEPPER_ROOT,spike_freq_10k,47.31,42.56
INTARIAN_PEPPER_ROOT,spike_reversion,True,True
INTARIAN_PEPPER_ROOT,sim_pct_at_limit,22.45,7.37
INTARIAN_PEPPER_ROOT,sim_mtm_pnl,132895.0,142519.0
INTARIAN_PEPPER_ROOT,ols_r2,0.00624,0.47731
