set,timestamp,delta_total,total,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT
prices_round_2_day_0,967700,-1037400.0,-938929.0,19958.0,-958887.0
prices_round_2_day_0,773700,-1022311.5,-942963.0,16654.0,-959617.0
prices_round_2_day_0,576600,-1005680.0,-948356.0,11791.0,-960147.0
prices_round_2_day_0,506800,-1000511.0,-949079.0,11149.0,-960228.0
prices_round_2_day_0,793800,-998219.0,-916922.0,16970.0,-933892.0
prices_round_2_day_0,273800,-981948.0,-954694.0,6058.0,-960752.0
prices_round_2_day_0,576400,-968506.0,-910640.0,11791.0,-922431.0
prices_round_2_day_0,73400,-966028.5,-959417.5,1570.5,-960988.0
prices_round_2_day_0,259900,-956358.0,-930751.0,5536.0,-936287.0
prices_round_2_day_0,537600,-952850.0,-898557.0,11509.0,-910066.0
prices_round_2_day_0,191700,-950929.0,-932761.0,3701.0,-936462.0
prices_round_2_day_0,931300,-904991.0,-809692.0,20078.0,-829770.0
prices_round_2_day_0,328400,-887646.0,-855087.0,6970.0,-862057.0
prices_round_2_day_0,144700,-874438.5,-860824.5,2923.5,-863748.0
prices_round_2_day_0,35000,-866484.0,-864114.0,716.0,-864830.0
prices_round_2_day_0,984800,-831040.0,-730759.0,20235.0,-750994.0
prices_round_2_day_0,954600,-803691.0,-706616.0,19193.0,-725809.0
prices_round_2_day_0,950600,-802931.0,-705657.0,20152.0,-725809.0
prices_round_2_day_0,542500,-801223.5,54350.5,11118.0,43232.5
prices_round_2_day_0,593800,-800037.0,59541.0,12188.0,47353.0
prices_round_2_day_0,733000,-779454.0,-705174.0,-764058.0,58884.0
prices_round_2_day_0,729400,-769224.0,-695596.0,-754200.0,58604.0
prices_round_2_day_0,767400,-709858.0,-631674.0,-693405.0,61731.0
prices_round_2_day_0,447400,-500360.0,44791.0,9523.0,35268.0
prices_round_2_day_0,819200,-470468.0,-386438.0,-452614.0,66176.0
