timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;10
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;9
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;11
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;10
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;11
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;9
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;11
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
3400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12010;1
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;5
6300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
6600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;9
7000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;4
7100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;3
7800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;7
8000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;7
8600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;5
9300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;7
9700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
11900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12015;4
12000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12019;4
12500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;10
12600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;9
14000;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12017;7
14200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12021;7
16500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;5
17500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
17700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
18200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;9
19700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
20700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12024;5
21200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;9
21400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
21600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
22000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
22500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12018;4
22700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;9
23200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
23200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12019;1
23600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;6
24100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
24600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;5
26900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
29800;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12033;4
30100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
31200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
31500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;10
33800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
34200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
35100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;7
36500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12032;4
37300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;7
37900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
38400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12042;3
38800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
39200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12034;1
39300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12041;2
40500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;8
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
41900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
43200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;7
46300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;4
50900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;6
51000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
52500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;5
54900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12058;4
56500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;2
58200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
59500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;5
60800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
61000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12063;4
61800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
61900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12065;5
62300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;2
62800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;9
65300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;2
65800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12068;5
66300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;6
67300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
68000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
70300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
70700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;6
71300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;10
72900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
75500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12079;6
75800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12072;3
76900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12083;3
78300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;2
79200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;8
79400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;4
79600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;5
81400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;2
