timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-63.0;0.0;-63.0
100;-119.0;0.0;-119.0
200;-93.5;0.0;-93.5
300;-175.0;0.0;-175.0
400;-269.0;-24.0;-245.0
500;-296.0;12.0;-308.0
600;-447.0;4.0;-451.0
700;-388.0;16.0;-404.0
800;-460.0;0.0;-460.0
900;-352.0;0.0;-352.0
1000;-508.0;8.0;-516.0
1100;-508.0;8.0;-516.0
1200;-324.0;72.0;-396.0
1300;-508.0;8.0;-516.0
1400;-572.0;-56.0;-516.0
1500;-348.0;8.0;-356.0
1600;-428.0;8.0;-436.0
1700;-432.0;4.0;-436.0
1800;-404.0;32.0;-436.0
1900;-436.0;0.0;-436.0
2000;-436.0;0.0;-436.0
2100;-444.0;-8.0;-436.0
2200;-444.0;-8.0;-436.0
2300;-284.0;-8.0;-276.0
2400;-288.0;-12.0;-276.0
2500;-996.0;0.0;-996.0
2600;-344.0;12.0;-356.0
2700;-836.0;0.0;-836.0
2800;-364.0;-8.0;-356.0
2900;24.0;-4.0;28.0
3000;-224.0;0.0;-224.0
3100;-380.0;8.0;-388.0
3200;-380.0;8.0;-388.0
3300;-380.0;8.0;-388.0
3400;-380.0;8.0;-388.0
3500;-332.0;16.0;-348.0
3600;-300.0;8.0;-308.0
3700;-292.0;16.0;-308.0
3800;-360.5;-52.5;-308.0
3900;-315.0;-7.0;-308.0
4000;-289.0;19.0;-308.0
4100;-356.0;-48.0;-308.0
4200;-324.0;-16.0;-308.0
4300;-308.0;0.0;-308.0
4400;-324.0;-16.0;-308.0
4500;-300.0;-32.0;-268.0
4600;-260.0;-32.0;-228.0
4700;-244.0;-16.0;-228.0
4800;-420.0;8.0;-428.0
4900;-244.0;-16.0;-228.0
5000;-804.0;-16.0;-788.0
5100;-220.0;8.0;-228.0
5200;-780.0;8.0;-788.0
5300;-228.0;0.0;-228.0
5400;-268.0;-40.0;-228.0
5500;-108.0;-40.0;-68.0
5600;-164.0;-16.0;-148.0
5700;-164.0;-16.0;-148.0
5800;-164.0;-16.0;-148.0
5900;-180.0;-32.0;-148.0
6000;-284.0;-16.0;-268.0
6100;-292.0;-24.0;-268.0
6200;-164.0;-16.0;-148.0
6300;-140.0;8.0;-148.0
6400;-284.0;-16.0;-268.0
6500;-1040644.0;-16.0;-1040628.0
6600;-644.0;-16.0;-628.0
6700;-76.0;-8.0;-68.0
6800;-84.0;-16.0;-68.0
6900;20.0;-32.0;52.0
7000;-84.0;-16.0;-68.0
7100;-76.0;-8.0;-68.0
7200;-135.0;-67.0;-68.0
7300;-90.0;-22.0;-68.0
7400;-90.0;-22.0;-68.0
7500;-194.0;-166.0;-28.0
7600;98.0;86.0;12.0
7700;-10.0;-22.0;12.0
7800;-112.0;-4.0;-108.0
7900;-136.0;-148.0;12.0
8000;110.0;-22.0;132.0
8100;26.0;14.0;12.0
8200;35.0;23.0;12.0
8300;8.0;-4.0;12.0
8400;8.0;-4.0;12.0
8500;30.0;-22.0;52.0
8600;70.0;-22.0;92.0
8700;190.0;-22.0;212.0
8800;199.0;-13.0;212.0
8900;160.0;68.0;92.0
9000;-74.0;-166.0;92.0
9100;14.0;-78.0;92.0
9200;222.0;10.0;212.0
9300;80.0;-12.0;92.0
9400;350.0;98.0;252.0
9500;22.0;10.0;12.0
9600;182.0;10.0;172.0
9700;171.0;-1.0;172.0
