count,recoverable_total,recoverable_max,actual_action,exact_best_family,spread,position_band,richness_bucket,pressure_bucket,shock_bucket,hosted_ref_class,hosted_count,hosted_qty,hosted_markout_h10_avg,hosted_veto,mode,recoverable_avg
17,131.0,20.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,7.705882352941177
15,122.0,20.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,8.133333333333333
9,108.0,24.0,passive_one_sided_sell,take1,10,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,12.0
13,107.0,15.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,8.23076923076923
13,107.0,15.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,8.23076923076923
4,90.0,75.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,steady,,,,,False,worse,22.5
3,89.0,75.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,steady,,,,,False,default,29.666666666666668
2,87.0,59.0,take_sell,hold,9,short_60_plus,rich,sell_pressure,shock,take_b1,,,,False,default,43.5
2,84.0,56.0,take_sell,hold,9,short_60_plus,rich,sell_pressure,shock,take_b1,,,,False,worse,42.0
5,78.0,25.0,passive_one_sided_buy,take1,10,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,15.6
5,78.0,25.0,passive_one_sided_buy,take1,10,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,15.6
12,77.0,15.0,passive_one_sided_buy,take1,9,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,6.416666666666667
2,76.0,45.0,passive_one_sided_sell,take2,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,38.0
2,76.0,45.0,passive_one_sided_sell,take2,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,38.0
5,72.0,25.0,passive_one_sided_buy,take1,10,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,14.4
2,70.5,39.5,passive_one_sided_sell,take2,13,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,35.25
8,70.0,12.0,passive_one_sided_sell,take1,11,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,8.75
3,65.0,32.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,steady,,,,,False,queue05,21.666666666666668
3,64.0,29.0,passive_one_sided_sell,take1,9,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,21.333333333333332
8,63.0,12.0,passive_one_sided_sell,take1,11,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,7.875
7,61.0,30.0,passive_one_sided_sell,take1,13,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,8.714285714285714
8,61.0,20.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,7.625
6,60.0,24.0,passive_one_sided_sell,take1,10,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,10.0
6,60.0,24.0,passive_one_sided_sell,take1,10,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,10.0
7,60.0,12.0,passive_one_sided_buy,take1,9,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,8.571428571428571
9,60.0,24.0,passive_one_sided_buy,take1,9,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,6.666666666666667
8,59.0,15.0,passive_one_sided_buy,take1,9,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,7.375
3,57.0,27.0,passive_one_sided_sell,take1,9,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,19.0
7,55.0,12.0,passive_one_sided_buy,take1,9,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,7.857142857142857
