count,recoverable_total,recoverable_max,actual_action,exact_best_family,spread,position_band,richness_bucket,pressure_bucket,shock_bucket,hosted_ref_class,hosted_count,hosted_qty,hosted_markout_h10_avg,hosted_veto,recoverable_avg
45,360.0,20.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,8.0
15,195.0,25.0,passive_one_sided_buy,take1,10,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,13.0
29,192.0,15.0,passive_one_sided_buy,take1,9,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,6.620689655172414
7,155.0,75.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,steady,,,,,False,22.142857142857142
22,144.0,15.0,passive_one_sided_buy,take1,9,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,6.545454545454546
12,137.0,25.0,passive_one_sided_sell,take1,13,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,11.416666666666666
15,134.0,24.0,passive_one_sided_sell,take1,10,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,8.933333333333334
7,131.0,29.0,passive_one_sided_sell,take1,9,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,18.714285714285715
4,126.0,40.0,passive_one_sided_sell,take1,9,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,31.5
16,126.0,15.0,passive_one_sided_buy,take1,9,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,7.875
3,123.0,47.0,passive_one_sided_sell,take2,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,41.0
15,122.0,24.0,passive_one_sided_sell,take1,10,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,8.133333333333333
19,115.0,20.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,6.052631578947368
13,107.0,12.0,passive_one_sided_sell,take1,11,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,8.23076923076923
13,102.0,20.0,passive_one_sided_buy,take1,10,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,7.846153846153846
6,97.0,32.0,passive_two_sided,take1,10,long_60_plus,cheap,sell_pressure,shock,,,,,False,16.166666666666668
13,93.0,30.0,passive_one_sided_sell,take1,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,7.153846153846154
3,89.0,56.0,take_sell,hold,9,short_60_plus,rich,sell_pressure,shock,take_b1,,,,False,29.666666666666668
14,89.0,15.0,passive_one_sided_sell,take1,10,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,6.357142857142857
10,86.0,16.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,steady,passive_inside_sell,,,,False,8.6
11,82.0,30.0,passive_one_sided_sell,take1,13,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,7.454545454545454
6,79.0,26.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,13.166666666666666
2,72.0,36.0,passive_one_sided_sell,take2,11,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,36.0
7,72.0,18.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,10.285714285714286
7,71.0,18.0,passive_one_sided_buy,take1,12,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,10.142857142857142
10,71.0,12.0,passive_one_sided_sell,take1,11,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,7.1
2,70.5,39.5,passive_one_sided_sell,take2,13,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,35.25
6,67.0,25.0,passive_one_sided_buy,take1,10,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,11.166666666666666
10,67.0,20.0,passive_one_sided_buy,take1,10,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,6.7
6,61.0,23.0,passive_one_sided_sell,take1,13,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,10.166666666666666
3,60.0,27.0,passive_one_sided_sell,take1,10,long_60_plus,cheap,sell_pressure,steady,passive_inside_sell,,,,False,20.0
5,58.0,18.0,passive_one_sided_buy,take1,9,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,11.6
5,55.0,12.0,passive_one_sided_buy,take1,12,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,11.0
6,54.0,25.0,passive_one_sided_sell,take1,13,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,9.0
11,52.0,10.0,passive_two_sided,take1,11,long_60_plus,neutral,sell_pressure,steady,,,,,False,4.7272727272727275
3,50.0,38.0,passive_two_sided,take1,9,short_60_plus,neutral,buy_pressure,shock,,,,,False,16.666666666666668
4,49.0,15.0,passive_one_sided_buy,take1,11,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,12.25
10,49.0,10.0,passive_one_sided_sell,take1,10,short_20_39,rich,sell_pressure,steady,passive_inside_sell,,,,False,4.9
13,48.0,6.0,passive_one_sided_buy,take1,10,short_20_39,cheap,buy_pressure,steady,passive_inside_buy,,,,False,3.6923076923076925
2,45.0,31.0,passive_one_sided_sell,take1,11,long_60_plus,cheap,sell_pressure,steady,passive_inside_sell,,,,False,22.5
8,44.0,12.0,passive_one_sided_buy,take1,12,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,5.5
4,43.0,21.0,passive_two_sided,take1,12,short_60_plus,neutral,buy_pressure,shock,,,,,False,10.75
1,40.0,40.0,passive_one_sided_sell,take1,11,long_60_plus,cheap,mixed_pressure,shock,passive_inside_sell,,,,False,40.0
4,40.0,29.0,passive_one_sided_sell,take1,10,long_60_plus,cheap,sell_pressure,shock,passive_inside_sell,,,,False,10.0
8,38.5,10.0,passive_one_sided_buy,take1,9,long_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,4.8125
12,38.0,6.0,passive_one_sided_sell,take1,11,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,3.1666666666666665
1,36.0,36.0,passive_one_sided_sell,take2,11,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,36.0
3,36.0,19.0,passive_two_sided,take1,10,short_60_plus,rich,buy_pressure,steady,,,,,False,12.0
9,36.0,6.0,passive_one_sided_sell,take1,10,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,4.0
1,34.0,34.0,passive_two_sided,take1,9,short_60_plus,neutral,mixed_pressure,shock,,,,,False,34.0
2,31.0,22.0,passive_one_sided_sell,take1,11,long_60_plus,neutral,sell_pressure,shock,passive_inside_sell,,,,False,15.5
1,30.0,30.0,passive_one_sided_sell,take1,9,short_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,30.0
2,30.0,15.0,passive_one_sided_buy,take1,11,long_20_39,rich,mixed_pressure,shock,passive_inside_buy,,,,False,15.0
2,30.0,15.0,passive_two_sided,take1,10,long_20_39,neutral,sell_pressure,steady,,,,,False,15.0
3,30.0,10.0,passive_one_sided_sell,take1,9,short_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,10.0
3,29.0,16.0,passive_one_sided_sell,take1,9,long_60_plus,cheap,sell_pressure,shock,passive_inside_sell,,,,False,9.666666666666666
2,27.0,21.0,take_sell,hold,9,short_40_59,rich,sell_pressure,shock,take_b1,,,,False,13.5
6,27.0,10.0,passive_two_sided,take1,10,short_40_59,rich,sell_pressure,shock,,,,,False,4.5
6,27.0,5.0,passive_two_sided,take1,9,flat_19,neutral,buy_pressure,steady,,,,,False,4.5
6,27.0,9.0,passive_two_sided,take1,10,long_60_plus,cheap,sell_pressure,steady,,,,,False,4.5
2,26.0,19.0,passive_one_sided_sell,take1,13,long_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,13.0
2,26.0,18.5,passive_one_sided_sell,take1,11,long_40_59,neutral,sell_pressure,steady,passive_inside_sell,,,,False,13.0
7,26.0,6.0,passive_two_sided,take1,9,long_60_plus,cheap,buy_pressure,shock,,,,,False,3.7142857142857144
