timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;10
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;11
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;9
800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;9
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;12
1400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;2
6100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
6200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
11800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;6
13200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
18700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
25800;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11029;3
27800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
29700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;4
30000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11032;3
30200;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11033;3
35400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11037;3
37100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11040;6
38100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11034;6
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
41300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
43700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11047;4
47100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;7
48700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11045;4
53100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;4
63900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11067;7
64200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
64500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11061;7
72600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
80300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
83200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
85000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;7
90500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11093;7
91200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11097;7
91400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
92600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
93100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11096;6
94000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11096;4
94200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11100;2
95400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;9
97400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;8
97600;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11100;6
98800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11105;6
99300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;9
101600;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11104;6
101800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
101900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11108;6
113400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
113600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
114400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;9
117300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
118500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;9
123600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;5
126500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11129;8
126900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11123;6
128700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11125;2
130500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;9
134300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
135500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;4
135700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;8
136300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;5
140700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11144;4
141700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11143;2
143800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11140;2
150500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;5
150600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
154000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
158600;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11161;6
161000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;4
161100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
165200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;8
167200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;7
170800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
172400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11169;6
175400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
175500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11178;5
179300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
