timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-58.5;0.0;-58.5
100;-101.0;0.0;-101.0
200;-211.0;0.0;-211.0
300;-31.0;0.0;-31.0
400;-465.0;0.0;-465.0
500;-438.0;0.0;-438.0
600;-369.0;0.0;-369.0
700;-460.5;28.5;-489.0
800;-536.0;33.0;-569.0
900;-495.5;-6.5;-489.0
1000;-451.5;37.5;-489.0
1100;-235.0;54.0;-289.0
1200;-387.0;142.0;-529.0
1300;-338.5;70.5;-409.0
1400;-355.0;54.0;-409.0
1500;-344.0;65.0;-409.0
1600;-512.0;-23.0;-489.0
1700;-316.5;92.5;-409.0
1800;-344.0;65.0;-409.0
1900;-224.0;65.0;-289.0
2000;-400.5;48.5;-449.0
2100;-184.0;65.0;-249.0
2200;-384.0;65.0;-449.0
2300;-345.5;103.5;-449.0
2400;-269.5;59.5;-329.0
2500;-235.5;93.5;-329.0
2600;-305.0;104.0;-409.0
2700;-98.0;111.0;-209.0
2800;-225.0;104.0;-329.0
2900;-225.0;104.0;-329.0
3000;-192.0;97.0;-289.0
3100;-58.0;111.0;-169.0
3200;-171.0;118.0;-289.0
3300;-138.0;111.0;-249.0
3400;-138.0;111.0;-249.0
3500;-28.5;100.5;-129.0
3600;-138.0;111.0;-249.0
3700;-152.0;97.0;-249.0
3800;-25.0;104.0;-129.0
3900;-145.0;104.0;-249.0
4000;251.5;111.0;140.5
4100;-445.5;107.5;-553.0
4200;-129.5;114.5;-244.0
4300;361.0;125.0;236.0
4400;-199.0;125.0;-324.0
4500;-86.0;118.0;-204.0
4600;-75.5;128.5;-204.0
4700;90.0;174.0;-84.0
4800;-114.0;90.0;-204.0
4900;-166.0;118.0;-284.0
5000;-46.0;118.0;-164.0
5100;-166.0;118.0;-284.0
5200;-376.5;107.5;-484.0
5300;8.0;132.0;-124.0
5400;-16.5;107.5;-124.0
5500;-133.0;111.0;-244.0
5600;-69.0;55.0;-124.0
5700;-13.0;111.0;-124.0
5800;-435.5;128.5;-564.0
5900;-2.5;121.5;-124.0
6000;-74.0;90.0;-164.0
6100;102.0;146.0;-44.0
6200;102.0;146.0;-44.0
6300;99.0;143.0;-44.0
6400;99.0;143.0;-44.0
6500;66.0;110.0;-44.0
6600;19.0;143.0;-124.0
6700;539.0;143.0;396.0
6800;99.0;143.0;-44.0
6900;100.5;144.5;-44.0
7000;136.0;140.0;-4.0
7100;176.0;140.0;36.0
7200;174.5;138.5;36.0
7300;179.0;143.0;36.0
7400;259.0;143.0;116.0
7500;622.0;146.0;476.0
7600;185.0;149.0;36.0
7700;177.5;141.5;36.0
7800;192.5;156.5;36.0
7900;179.0;143.0;36.0
8000;694.5;138.5;556.0
8100;148.0;152.0;-4.0
8200;269.5;153.5;116.0
8300;265.0;149.0;116.0
8400;268.0;152.0;116.0
8500;268.0;152.0;116.0
8600;391.0;155.0;236.0
8700;268.0;152.0;116.0
8800;268.0;152.0;116.0
8900;259.0;143.0;116.0
9000;-175.0;149.0;-324.0
9100;343.5;147.5;196.0
9200;425.0;149.0;276.0
9300;345.0;149.0;196.0
9400;-93.5;150.5;-244.0
9500;222.0;146.0;76.0
9600;262.0;146.0;116.0
9700;339.0;143.0;196.0
9800;339.0;143.0;196.0
9900;779.0;143.0;636.0
10000;383.5;147.5;236.0
10100;419.0;143.0;276.0
10200;419.0;143.0;276.0
10300;496.0;140.0;356.0
10400;527.0;131.0;396.0
10500;725.5;137.0;588.5
10600;396.5;135.5;261.0
10700;407.0;146.0;261.0
10800;524.0;143.0;381.0
10900;518.0;137.0;381.0
11000;441.0;140.0;301.0
11100;481.0;140.0;341.0
11200;481.0;140.0;341.0
11300;124.0;143.0;-19.0
11400;564.0;143.0;421.0
11500;478.0;137.0;341.0
11600;446.0;105.0;341.0
11700;410.0;69.0;341.0
11800;474.0;133.0;341.0
11900;594.0;133.0;461.0
12000;526.0;145.0;381.0
12100;550.0;129.0;421.0
12200;554.0;133.0;421.0
12300;554.0;133.0;421.0
12400;410.0;109.0;301.0
12500;982.0;121.0;861.0
12600;542.0;121.0;421.0
12700;994.0;133.0;861.0
12800;546.0;125.0;421.0
12900;530.0;189.0;341.0
13000;586.0;125.0;461.0
13100;595.0;94.0;501.0
13200;710.0;129.0;581.0
13300;620.0;119.0;501.0
13400;510.0;129.0;381.0
13500;620.0;119.0;501.0
13600;620.0;119.0;501.0
13700;620.0;119.0;501.0
13800;652.0;151.0;501.0
13900;554.0;133.0;421.0
14000;754.0;133.0;621.0
14100;690.0;109.0;581.0
14200;714.0;133.0;581.0
14300;714.0;133.0;581.0
14400;674.0;133.0;541.0
14500;738.0;37.0;701.0
14600;702.0;121.0;581.0
14700;382.0;241.0;141.0
14800;726.0;145.0;581.0
14900;864.0;163.0;701.0
15000;780.0;159.0;621.0
15100;834.0;173.0;661.0
15200;850.0;189.0;661.0
15300;434.0;213.0;221.0
15400;850.0;189.0;661.0
15500;850.0;189.0;661.0
15600;866.0;205.0;661.0
15700;866.0;205.0;661.0
15800;866.0;205.0;661.0
15900;924.0;263.0;661.0
16000;842.0;221.0;621.0
16100;986.0;245.0;741.0
16200;866.0;245.0;621.0
16300;986.0;245.0;741.0
16400;878.0;257.0;621.0
16500;986.0;245.0;741.0
16600;980.0;239.0;741.0
16700;1414.0;233.0;1181.0
16800;974.0;233.0;741.0
