timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-82.5;0.0;-82.5
100;-44.0;0.0;-44.0
200;-157.0;0.0;-157.0
300;-197.0;0.0;-197.0
400;11.0;0.0;11.0
500;-262.0;0.0;-262.0
600;-340.0;0.0;-340.0
700;-418.0;0.0;-418.0
800;209.0;0.0;209.0
900;-489.5;0.0;-489.5
1000;-509.0;0.0;-509.0
1100;-949.0;0.0;-949.0
1200;-309.0;0.0;-309.0
1300;-429.0;0.0;-429.0
1400;-429.0;0.0;-429.0
1500;-309.0;0.0;-309.0
1600;-309.0;0.0;-309.0
1700;-949.0;0.0;-949.0
1800;-429.0;0.0;-429.0
1900;-429.0;0.0;-429.0
2000;-389.0;0.0;-389.0
2100;-869.0;0.0;-869.0
2200;-349.0;0.0;-349.0
2300;-349.0;0.0;-349.0
2400;-349.0;0.0;-349.0
2500;-469.0;0.0;-469.0
2600;-469.0;0.0;-469.0
2700;-349.0;0.0;-349.0
2800;-229.0;0.0;-229.0
2900;-349.0;0.0;-349.0
3000;-309.0;0.0;-309.0
3100;-389.0;0.0;-389.0
3200;-269.0;0.0;-269.0
3300;-149.0;0.0;-149.0
3400;-287.0;-18.0;-269.0
3500;-131.0;18.0;-149.0
3600;-257.0;12.0;-269.0
3700;-137.0;12.0;-149.0
3800;-251.0;18.0;-269.0
3900;-137.0;12.0;-149.0
4000;-217.0;12.0;-229.0
4100;-123.0;66.0;-189.0
4200;-294.0;15.0;-309.0
4300;-225.0;-36.0;-189.0
4400;-48.0;21.0;-69.0
4500;-57.0;12.0;-69.0
4600;-177.0;12.0;-189.0
4700;-63.0;6.0;-69.0
4800;328.0;-3.0;331.0
4900;-168.0;21.0;-189.0
5000;-131.0;18.0;-149.0
5100;-74.0;35.0;-109.0
5200;-85.0;24.0;-109.0
5300;35.0;24.0;11.0
5400;36.0;25.0;11.0
5500;31.0;20.0;11.0
5600;-83.0;26.0;-109.0
5700;-85.0;24.0;-109.0
5800;34.0;23.0;11.0
5900;-85.0;24.0;-109.0
6000;-42.0;27.0;-69.0
6100;347.0;22.0;325.0
6200;-17.0;24.0;-41.0
6300;-17.0;24.0;-41.0
6400;-17.0;24.0;-41.0
6500;-17.0;24.0;-41.0
6600;9.0;50.0;-41.0
6700;-4.0;37.0;-41.0
6800;-7.0;34.0;-41.0
6900;-7.0;34.0;-41.0
7000;34.0;35.0;-1.0
7100;56.0;17.0;39.0
7200;204.0;45.0;159.0
7300;91.0;52.0;39.0
7400;84.0;45.0;39.0
7500;94.5;55.5;39.0
7600;844.0;45.0;799.0
7700;84.0;45.0;39.0
7800;84.0;45.0;39.0
7900;84.0;45.0;39.0
8000;240.5;41.5;199.0
8100;171.0;52.0;119.0
8200;51.0;52.0;-1.0
8300;167.5;48.5;119.0
8400;270.0;31.0;239.0
8500;164.0;45.0;119.0
8600;171.0;52.0;119.0
8700;101.0;-18.0;119.0
8800;178.0;59.0;119.0
8900;294.5;55.5;239.0
9000;91.0;52.0;39.0
9100;771.0;52.0;719.0
9200;258.0;59.0;199.0
9300;131.0;52.0;79.0
9400;660.0;73.0;587.0
