count,recoverable_total,recoverable_max,actual_action,exact_best_family,spread,position_band,richness_bucket,pressure_bucket,shock_bucket,hosted_ref_class,hosted_count,hosted_qty,hosted_markout_h10_avg,hosted_veto,mode,recoverable_avg
1,144.0,144.0,take_sell,hold,9,short_60_plus,rich,sell_pressure,shock,take_b1,,,,False,queue05,144.0
2,101.0,59.0,take_sell,hold,9,short_60_plus,rich,sell_pressure,shock,take_b1,,,,False,default,50.5
2,98.0,56.0,take_sell,hold,9,short_60_plus,rich,sell_pressure,shock,take_b1,,,,False,worse,49.0
3,82.0,75.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,steady,,,,,False,worse,27.333333333333332
10,82.0,16.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,8.2
2,81.0,75.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,steady,,,,,False,default,40.5
2,78.0,47.0,passive_one_sided_sell,take2,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,39.0
2,78.0,47.0,passive_one_sided_sell,take2,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,39.0
10,78.0,14.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,7.8
10,78.0,12.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,7.8
10,75.0,18.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,7.5
2,74.0,43.0,passive_one_sided_sell,take2,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,37.0
9,74.0,24.0,passive_one_sided_sell,take1,10,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,8.222222222222221
2,62.0,31.0,passive_one_sided_sell,take2,13,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,31.0
3,61.0,27.0,passive_one_sided_sell,take1,9,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,20.333333333333332
