count,recoverable_total,recoverable_max,actual_action,exact_best_family,spread,position_band,richness_bucket,pressure_bucket,shock_bucket,hosted_ref_class,hosted_count,hosted_qty,hosted_markout_h10_avg,hosted_veto,recoverable_avg
4,247.0,144.0,take_sell,hold,9,short_60_plus,rich,sell_pressure,shock,take_b1,,,,False,61.75
30,235.0,18.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,7.833333333333333
4,152.0,47.0,passive_one_sided_sell,take2,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,38.0
6,144.0,36.0,passive_one_sided_sell,take1,9,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,24.0
5,139.0,75.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,steady,,,,,False,27.8
16,120.0,24.0,passive_one_sided_sell,take1,10,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,7.5
4,117.0,40.0,passive_one_sided_sell,take1,9,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,29.25
17,107.0,15.0,passive_one_sided_buy,take1,9,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,6.294117647058823
16,106.0,16.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,steady,passive_inside_sell,,,,False,6.625
11,105.0,16.0,passive_one_sided_buy,take1,10,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,9.545454545454545
6,97.0,32.0,passive_two_sided,take1,10,long_60_plus,cheap,sell_pressure,shock,,,,,False,16.166666666666668
13,96.0,24.0,passive_one_sided_sell,take1,10,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,7.384615384615385
8,93.0,26.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,11.625
10,90.0,24.0,passive_one_sided_sell,take1,10,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,9.0
10,84.0,12.0,passive_one_sided_sell,take1,11,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,8.4
11,79.0,14.0,passive_one_sided_sell,take1,13,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,7.181818181818182
8,73.0,18.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,9.125
2,72.0,40.0,passive_two_sided,take1,11,long_60_plus,cheap,mixed_pressure,shock,,,,,False,36.0
6,69.0,25.0,passive_one_sided_buy,take1,10,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,11.5
11,66.0,10.0,passive_two_sided,take1,11,long_60_plus,neutral,sell_pressure,steady,,,,,False,6.0
11,65.0,12.0,passive_one_sided_sell,take1,13,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,5.909090909090909
