mode,set,day,timestamp,position_before,position_after,position_band,best_bid,best_ask,spread,mid_price,microprice,anchor_offset,richness_bucket,top_imbalance,micro_gap,pressure_bucket,ret1,shock,shock_bucket,order_count,actual_primary_label,actual_family,aggressive_buy_qty,aggressive_sell_qty,aggressive_qty,passive_buy_qty,passive_sell_qty,passive_inside_buy_qty,passive_inside_sell_qty,max_take_depth,exact_best_action,exact_best_family,exact_value,best_runner_up,ev_gap,actual_family_value,recoverable_value,hosted_ref_class,hosted_count,hosted_qty,hosted_markout_h10_avg
default,round1-day-0,0,300,0,0,flat_19,10000,10010,10,10005.0,10002.105263157895,5.0,rich,-0.5789473684210527,-2.894736842104976,sell_pressure,1.5,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,645.0,mm_join_12,0.0,645.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,4800,-6,-6,flat_19,9998,10009,11,10003.5,9999.941176470587,3.5,rich,-0.6470588235294118,-3.5588235294126207,sell_pressure,1.5,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,-59373.0,mm_join_12,0.0,-59373.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,8400,-7,-7,flat_19,9998,10008,10,10003.0,10000.142857142857,3.0,rich,-0.5714285714285714,-2.857142857143117,sell_pressure,2.5,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,-69407.0,mm_join_12,0.0,-69407.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,9400,-7,-7,flat_19,9992,10002,10,9997.0,9999.894736842105,-3.0,cheap,0.5789473684210527,2.894736842104976,buy_pressure,-3.0,False,steady,1,passive_one_sided_buy,one_sided_mm,0,0,0,13,0,13,0,0,hold,hold,-69407.0,mm_join_12,0.0,-69407.0,0.0,passive_inside_buy,,,
default,round1-day-0,0,14200,-12,-12,flat_19,9999,10010,11,10004.5,10001.588235294117,4.5,rich,-0.5294117647058824,-2.911764705882888,sell_pressure,9.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,-119427.0,mm_join_12,0.0,-119427.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,14400,-12,-12,flat_19,9994,10003,9,9998.5,10000.42857142857,-1.5,neutral,0.42857142857142855,1.928571428570649,buy_pressure,-3.5,True,shock,2,passive_two_sided,mm_inside,0,0,0,9,9,9,0,0,hold,hold,-119427.0,mm_join_12,0.0,-119427.0,0.0,,,,
default,round1-day-0,0,15900,-12,-12,flat_19,9993,10003,10,9998.0,10001.235294117647,-2.0,cheap,0.6470588235294118,3.235294117646845,buy_pressure,-1.5,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,0,0,hold,hold,-119427.0,mm_join_12,0.0,-119427.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,16100,-12,-12,flat_19,9994,10003,9,9998.5,10001.8,-1.5,neutral,0.7333333333333333,3.2999999999992724,buy_pressure,-1.5,False,steady,2,passive_two_sided,mm_inside,0,0,0,12,12,12,0,0,hold,hold,-119427.0,mm_join_12,0.0,-119427.0,0.0,,,,
default,round1-day-0,0,18700,-19,-19,flat_19,9994,10003,9,9998.5,10001.875,-1.5,neutral,0.75,3.375,buy_pressure,-3.5,True,shock,2,passive_two_sided,mm_inside,0,0,0,9,9,9,0,0,hold,hold,-189441.0,mm_join_12,0.0,-189441.0,0.0,,,,
default,round1-day-0,0,20500,-26,-26,short_20_39,9990,10002,12,9996.0,10001.111111111111,-4.0,cheap,0.8518518518518519,5.111111111111313,buy_pressure,-4.0,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,hold,hold,-259462.0,mm_join_12,0.0,-259462.0,0.0,passive_inside_buy,,,
default,round1-day-0,0,21100,-26,-26,short_20_39,9998,10008,10,10003.0,9999.42857142857,3.0,rich,-0.7142857142857143,-3.571428571429351,sell_pressure,2.0,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,-259462.0,mm_join_12,0.0,-259462.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,25100,-32,-32,short_20_39,9999,10009,10,10004.0,10001.777777777777,4.0,rich,-0.4444444444444444,-2.2222222222226264,sell_pressure,-5.0,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,-319480.0,mm_join_12,0.0,-319480.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,29500,-17,-17,flat_19,9998,10011,13,10004.5,9999.181818181818,4.5,rich,-0.8181818181818182,-5.3181818181819835,sell_pressure,4.0,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,-169495.0,mm_join_12,0.0,-169495.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,31400,-17,-17,flat_19,9998,10011,13,10004.5,10000.407407407407,4.5,rich,-0.6296296296296297,-4.092592592593064,sell_pressure,3.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,-169495.0,mm_join_12,0.0,-169495.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,32200,-17,-17,flat_19,9999,10010,11,10004.5,10000.466666666667,4.5,rich,-0.7333333333333333,-4.033333333332848,sell_pressure,4.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,-169495.0,mm_join_12,0.0,-169495.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,32500,-17,-17,flat_19,9993,10002,9,9997.5,10000.5,-2.5,cheap,0.6666666666666666,3.0,buy_pressure,-3.5,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,hold,hold,-169495.0,mm_join_12,0.0,-169495.0,0.0,passive_inside_buy,,,
default,round1-day-0,0,33600,-17,-17,flat_19,9999,10009,10,10004.0,10000.875,4.0,rich,-0.625,-3.125,sell_pressure,3.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,-169495.0,mm_join_12,0.0,-169495.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,36300,-17,-17,flat_19,9992,10002,10,9997.0,9999.222222222223,-3.0,cheap,0.4444444444444444,2.2222222222226264,buy_pressure,-4.0,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,hold,hold,-169495.0,mm_join_12,0.0,-169495.0,0.0,passive_inside_buy,,,
default,round1-day-0,0,36400,-17,-17,flat_19,9992,10002,10,9997.0,9999.058823529413,-3.0,cheap,0.4117647058823529,2.0588235294126207,buy_pressure,0.0,False,steady,1,passive_one_sided_buy,one_sided_mm,0,0,0,13,0,13,0,0,hold,hold,-169495.0,mm_join_12,0.0,-169495.0,0.0,passive_inside_buy,,,
default,round1-day-0,0,42400,-17,-17,flat_19,9993,10002,9,9997.5,9999.6,-2.5,cheap,0.4666666666666667,2.100000000000364,buy_pressure,-3.5,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,hold,hold,-169495.0,mm_join_12,0.0,-169495.0,0.0,passive_inside_buy,,,
default,round1-day-0,0,46000,-7,-7,flat_19,9991,10001,10,9996.0,9998.64705882353,-4.0,cheap,0.5294117647058824,2.6470588235297328,buy_pressure,-4.0,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,buy_take1_16,take1,-69511.0,hold,4.0,-69515.0,4.0,passive_inside_buy,,,
default,round1-day-0,0,47200,-7,-7,flat_19,9991,10001,10,9996.0,9999.823529411764,-4.0,cheap,0.7647058823529411,3.823529411763957,buy_pressure,-4.0,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,buy_take1_16,take1,-69515.0,hold,2.0,-69517.0,2.0,passive_inside_buy,,,
default,round1-day-0,0,47700,-7,-7,flat_19,9990,10000,10,9995.0,9996.875,-5.0,cheap,0.375,1.875,buy_pressure,-4.5,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,buy_take1_16,take1,-69517.0,hold,10.0,-69527.0,10.0,passive_inside_buy,,,
default,round1-day-0,0,52400,-7,-7,flat_19,9990,10000,10,9995.0,9998.75,-5.0,cheap,0.75,3.75,buy_pressure,-4.0,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,buy_take1_16,take1,-69527.0,hold,4.0,-69531.0,4.0,passive_inside_buy,,,
default,round1-day-0,0,53700,-7,-7,flat_19,9999,10008,9,10003.5,10001.1,3.5,rich,-0.5333333333333333,-2.399999999999636,sell_pressure,5.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,-69531.0,mm_join_12,0.0,-69531.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,56000,-7,-5,flat_19,9988,9997,9,9992.5,9995.615384615385,-7.5,cheap,0.6923076923076923,3.1153846153847553,buy_pressure,-11.5,True,shock,2,clear_buy,take1,2,0,2,10,0,10,0,1,buy_take1_16,take1,-69531.0,hold,10.0,-69531.0,0.0,take_a1,1,2,4.5
default,round1-day-0,0,65600,4,4,flat_19,9995,10008,13,10001.5,9995.619047619048,1.5,neutral,-0.9047619047619048,-5.880952380952294,sell_pressure,4.5,True,shock,2,passive_two_sided,mm_inside,0,0,0,9,9,0,9,0,hold,hold,40379.0,mm_join_12,0.0,40379.0,0.0,,,,
default,round1-day-0,0,66400,4,4,flat_19,9994,10005,11,9999.5,9996.588235294117,-0.5,neutral,-0.5294117647058824,-2.911764705882888,sell_pressure,2.5,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,40379.0,mm_join_12,0.0,40379.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,69600,17,17,flat_19,9994,10005,11,9999.5,9996.357142857143,-0.5,neutral,-0.5714285714285714,-3.142857142856883,sell_pressure,4.0,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,170301.0,mm_join_12,0.0,170301.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,71600,24,24,long_20_39,9990,9999,9,9994.5,9997.941176470587,-5.5,cheap,0.7647058823529411,3.4411764705873793,buy_pressure,-3.5,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,buy_take1_16,take1,240266.0,hold,8.0,240258.0,8.0,passive_inside_buy,,,
default,round1-day-0,0,75900,24,24,long_20_39,9999,10009,10,10004.0,10002.333333333334,4.0,rich,-0.3333333333333333,-1.6666666666660603,mixed_pressure,3.0,False,steady,1,passive_one_sided_buy,one_sided_mm,0,0,0,12,0,0,0,0,hold,hold,240258.0,mm_join_12,0.0,240258.0,0.0,passive_inside_buy,,,
default,round1-day-0,0,76100,24,24,long_20_39,9993,10002,9,9997.5,10000.2,-2.5,cheap,0.6,2.7000000000007276,buy_pressure,-11.5,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,13,0,13,0,0,buy_take1_16,take1,240258.0,hold,3.0,240255.0,3.0,passive_inside_buy,,,
default,round1-day-0,0,79700,6,6,flat_19,9992,10004,12,9998.0,10003.111111111111,-2.0,cheap,0.8518518518518519,5.111111111111313,buy_pressure,-2.5,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,0,0,hold,hold,60171.0,mm_join_12,0.0,60171.0,0.0,passive_inside_sell,1,9,1.0
default,round1-day-0,0,80500,6,6,flat_19,9992,10004,12,9998.0,10001.692307692309,-2.0,cheap,0.6153846153846154,3.692307692308532,buy_pressure,-3.0,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,0,0,hold,hold,60171.0,mm_join_12,0.0,60171.0,0.0,passive_inside_sell,1,9,1.0
default,round1-day-0,0,84100,6,6,flat_19,9994,10005,11,9999.5,9996.357142857143,-0.5,neutral,-0.5714285714285714,-3.142857142856883,sell_pressure,3.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,60171.0,mm_join_12,0.0,60171.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,85300,16,16,flat_19,9994,10005,11,9999.5,9996.315789473685,-0.5,neutral,-0.5789473684210527,-3.184210526314928,sell_pressure,3.0,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,160121.0,mm_join_12,0.0,160121.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,87700,23,23,long_20_39,9988,10000,12,9994.0,9998.222222222223,-6.0,cheap,0.7037037037037037,4.222222222222626,buy_pressure,4.0,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,buy_take1_16,take1,230093.0,hold,12.0,230081.0,12.0,passive_inside_buy,,,
default,round1-day-0,0,89800,19,19,flat_19,10000,10010,10,10005.0,10002.105263157895,5.0,rich,-0.5789473684210527,-2.894736842104976,sell_pressure,2.0,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,190069.0,mm_join_12,0.0,190069.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,91900,19,19,flat_19,10000,10011,11,10005.5,10003.055555555555,5.5,rich,-0.4444444444444444,-2.444444444445253,sell_pressure,2.0,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,190069.0,mm_join_12,0.0,190069.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,92100,19,19,flat_19,10000,10010,10,10005.0,10002.777777777777,5.0,rich,-0.4444444444444444,-2.2222222222226264,sell_pressure,2.0,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,190069.0,mm_join_12,0.0,190069.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,94000,19,19,flat_19,9994,10003,9,9998.5,10000.6,-1.5,neutral,0.4666666666666667,2.100000000000364,buy_pressure,-10.5,True,shock,2,passive_two_sided,mm_inside,0,0,0,12,12,12,12,0,hold,hold,190069.0,mm_join_12,0.0,190069.0,0.0,,,,
default,round1-day-0,0,95900,19,19,flat_19,9992,10002,10,9997.0,9999.777777777777,-3.0,cheap,0.5555555555555556,2.7777777777773736,buy_pressure,-5.0,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,13,0,13,0,0,buy_take1_16,take1,190065.0,hold,4.0,190061.0,4.0,passive_inside_buy,,,
default,round1-day-0,0,97600,19,19,flat_19,9992,10002,10,9997.0,9999.894736842105,-3.0,cheap,0.5789473684210527,2.894736842104976,buy_pressure,-3.0,False,steady,1,passive_one_sided_buy,one_sided_mm,0,0,0,13,0,13,0,0,buy_take1_16,take1,190061.0,hold,4.0,190057.0,4.0,passive_inside_buy,,,
default,round1-day-0,0,97800,19,19,flat_19,10002,10011,9,10006.5,10004.5,6.5,rich,-0.4444444444444444,-2.0,sell_pressure,-3.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,190057.0,mm_join_12,0.0,190057.0,0.0,passive_inside_sell,,,
default,round1-day-0,0,98400,12,12,flat_19,9998,10009,11,10003.5,9999.833333333334,3.5,rich,-0.6666666666666666,-3.6666666666660603,sell_pressure,3.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,120036.0,mm_join_12,0.0,120036.0,0.0,passive_inside_sell,,,
default,round1-day-1,-1,3100,10,10,flat_19,9991,10002,11,9996.5,9992.57142857143,-3.5,cheap,-0.7142857142857143,-3.928571428570649,sell_pressure,2.5,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,121632.0,mm_join_12,0.0,121632.0,0.0,passive_inside_sell,,,
default,round1-day-1,-1,3500,10,10,flat_19,9991,10004,13,9997.5,9992.733333333334,-2.5,cheap,-0.7333333333333333,-4.766666666666424,sell_pressure,5.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,121632.0,mm_join_12,0.0,121632.0,0.0,passive_inside_sell,,,
default,round1-day-1,-1,3800,10,10,flat_19,9991,10004,13,9997.5,9992.04,-2.5,cheap,-0.84,-5.459999999999127,sell_pressure,4.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,9,0,9,0,hold,hold,121632.0,mm_join_12,0.0,121632.0,0.0,passive_inside_sell,,,
default,round1-day-1,-1,6200,21,25,long_20_39,9986,9996,10,9991.0,9993.894736842105,-9.0,cheap,0.5789473684210527,2.894736842104976,buy_pressure,2.0,True,shock,2,take_buy,take1,4,0,4,10,0,10,0,1,buy_take1_16,take1,231433.0,buy_take2_32,15.0,231433.0,0.0,take_a1,,,
default,round1-day-1,-1,6400,25,25,long_20_39,9992,10002,10,9997.0,9994.5,-3.0,cheap,-0.5,-2.5,sell_pressure,3.0,False,steady,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,271417.0,mm_join_12,0.0,271417.0,0.0,passive_inside_sell,,,
default,round1-day-1,-1,9500,9,9,flat_19,9988,9998,10,9993.0,9995.142857142857,-7.0,cheap,0.42857142857142855,2.142857142856883,buy_pressure,-3.0,True,shock,1,passive_one_sided_buy,one_sided_mm,0,0,0,10,0,10,0,0,buy_take1_16,take1,111375.0,hold,12.0,111363.0,12.0,passive_inside_buy,,,
default,round1-day-1,-1,12300,3,3,flat_19,9994,10005,11,9999.5,9997.666666666666,-0.5,neutral,-0.3333333333333333,-1.8333333333339397,mixed_pressure,-5.5,True,shock,1,passive_one_sided_sell,one_sided_mm,0,0,0,0,12,0,12,0,hold,hold,51357.0,mm_join_12,0.0,51357.0,0.0,passive_inside_sell,,,
default,round1-day-1,-1,14700,0,0,flat_19,9991,10001,10,9996.0,9999.57142857143,-4.0,cheap,0.7142857142857143,3.571428571429351,buy_pressure,-3.0,False,steady,1,passive_one_sided_buy,one_sided_mm,0,0,0,13,0,13,0,0,hold,hold,21299.0,mm_join_12,0.0,21299.0,0.0,passive_inside_buy,,,
default,round1-day-1,-1,17800,2,2,flat_19,9994,10003,9,9998.5,10000.882352941177,-1.5,neutral,0.5294117647058824,2.3823529411765776,buy_pressure,-11.5,True,shock,2,passive_two_sided,mm_inside,0,0,0,12,12,12,0,0,hold,hold,41230.0,mm_join_12,0.0,41230.0,0.0,,,,
