timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-114.0;0.0;-114.0
200;-85.5;0.0;-85.5
300;0.0;0.0;0.0
400;-210.0;0.0;-210.0
500;-228.0;0.0;-228.0
600;-152.0;0.0;-152.0
700;-244.0;0.0;-244.0
800;-382.0;0.0;-382.0
900;-358.0;0.0;-358.0
1000;-430.0;0.0;-430.0
1100;-898.0;0.0;-898.0
1200;-430.0;0.0;-430.0
1300;-274.0;0.0;-274.0
1400;-522.0;0.0;-522.0
1500;-442.0;0.0;-442.0
1600;-282.0;0.0;-282.0
1700;-842.0;0.0;-842.0
1800;-362.0;0.0;-362.0
1900;-362.0;0.0;-362.0
2000;-362.0;0.0;-362.0
2100;-842.0;0.0;-842.0
2200;-362.0;0.0;-362.0
2300;-362.0;0.0;-362.0
2400;-362.0;0.0;-362.0
2500;-842.0;0.0;-842.0
2600;-282.0;0.0;-282.0
2700;-282.0;0.0;-282.0
2800;-402.0;0.0;-402.0
2900;-282.0;0.0;-282.0
3000;-682.0;0.0;-682.0
3100;198.0;0.0;198.0
3200;-162.0;0.0;-162.0
3300;198.0;0.0;198.0
3400;-282.0;0.0;-282.0
3500;-242.0;0.0;-242.0
3600;-202.0;0.0;-202.0
3700;-202.0;0.0;-202.0
3800;-322.0;0.0;-322.0
3900;-202.0;0.0;-202.0
4000;-202.0;0.0;-202.0
4100;278.0;0.0;278.0
4200;-322.0;0.0;-322.0
4300;-202.0;0.0;-202.0
4400;-202.0;0.0;-202.0
4500;-162.0;0.0;-162.0
4600;-122.0;0.0;-122.0
4700;-162.0;0.0;-162.0
4800;-522.0;0.0;-522.0
4900;-122.0;0.0;-122.0
5000;-122.0;0.0;-122.0
5100;-122.0;0.0;-122.0
5200;-122.0;0.0;-122.0
5300;-122.0;0.0;-122.0
5400;-82.0;0.0;-82.0
5500;-2.0;0.0;-2.0
5600;-162.0;0.0;-162.0
5700;-42.0;0.0;-42.0
5800;-42.0;0.0;-42.0
5900;-42.0;0.0;-42.0
6000;-162.0;0.0;-162.0
6100;-66.0;-24.0;-42.0
6200;-70.0;-28.0;-42.0
6300;-34.0;8.0;-42.0
6400;-78.0;44.0;-122.0
6500;12.0;14.0;-2.0
6600;138.0;20.0;118.0
6700;-422.0;20.0;-442.0
6800;58.0;20.0;38.0
6900;58.0;20.0;38.0
7000;40.0;2.0;38.0
7100;40.0;2.0;38.0
7200;70.0;32.0;38.0
7300;58.0;20.0;38.0
7400;70.0;32.0;38.0
7500;-434.0;8.0;-442.0
7600;138.0;20.0;118.0
7700;150.0;32.0;118.0
7800;138.0;20.0;118.0
7900;132.0;14.0;118.0
8000;6.0;8.0;-2.0
8100;126.0;8.0;118.0
8200;186.0;68.0;118.0
8300;138.0;20.0;118.0
8400;138.0;20.0;118.0
8500;-222.0;20.0;-242.0
8600;230.0;32.0;198.0
8700;98.0;20.0;78.0
8800;212.0;14.0;198.0
8900;98.0;20.0;78.0
9000;350.0;32.0;318.0
9100;230.0;32.0;198.0
9200;134.0;-64.0;198.0
9300;230.0;32.0;198.0
9400;350.0;32.0;318.0
9500;234.0;-4.0;238.0
9600;402.0;44.0;358.0
9700;322.0;44.0;278.0
9800;310.0;32.0;278.0
9900;-398.0;44.0;-442.0
10000;328.0;50.0;278.0
10100;310.0;32.0;278.0
10200;310.0;32.0;278.0
10300;310.0;32.0;278.0
10400;304.0;26.0;278.0
10500;-50.0;32.0;-82.0
10600;402.0;44.0;358.0
10700;362.0;44.0;318.0
10800;378.0;20.0;358.0
10900;378.0;20.0;358.0
11000;270.0;32.0;238.0
11100;408.0;50.0;358.0
11200;522.0;44.0;478.0
11300;402.0;44.0;358.0
11400;414.0;56.0;358.0
11500;442.0;44.0;398.0
11600;574.0;56.0;518.0
11700;962.0;44.0;918.0
11800;-196.0;86.0;-282.0
11900;494.0;56.0;438.0
12000;494.0;56.0;438.0
12100;608.0;50.0;558.0
12200;662.0;104.0;558.0
12300;509.0;71.0;438.0
12400;488.0;50.0;438.0
12500;486.0;8.0;478.0
12600;574.0;56.0;518.0
12700;-59408.0;-59926.0;518.0
12800;574.0;56.0;518.0
12900;580.0;62.0;518.0
13000;454.0;56.0;398.0
13100;574.0;56.0;518.0
13200;42.0;4.0;38.0
13300;582.0;64.0;518.0
13400;597.0;79.0;518.0
13500;622.0;64.0;558.0
13600;542.0;64.0;478.0
13700;782.0;64.0;718.0
13800;662.0;64.0;598.0
13900;537.0;59.0;478.0
14000;687.0;89.0;598.0
14100;672.0;74.0;598.0
14200;792.0;74.0;718.0
14300;672.0;74.0;598.0
14400;677.0;79.0;598.0
14500;737.0;99.0;638.0
14600;1242.0;84.0;1158.0
14700;812.0;54.0;758.0
14800;1252.0;94.0;1158.0
14900;752.0;74.0;678.0
15000;782.0;104.0;678.0
15100;772.0;94.0;678.0
15200;892.0;94.0;798.0
15300;982.0;184.0;798.0
15400;422.0;104.0;318.0
15500;732.0;94.0;638.0
15600;867.0;109.0;758.0
15700;862.0;104.0;758.0
15800;962.0;84.0;878.0
15900;862.0;104.0;758.0
16000;932.0;174.0;758.0
16100;862.0;104.0;758.0
16200;962.0;84.0;878.0
16300;852.0;94.0;758.0
16400;852.0;94.0;758.0
16500;892.0;94.0;798.0
16600;932.0;94.0;838.0
16700;222.0;104.0;118.0
16800;957.0;119.0;838.0
16900;962.0;124.0;838.0
17000;832.0;114.0;718.0
17100;822.0;104.0;718.0
17200;952.0;114.0;838.0
17300;1072.0;114.0;958.0
17400;1072.0;114.0;958.0
17500;1007.0;129.0;878.0
17600;1032.0;114.0;918.0
17700;1592.0;194.0;1398.0
17800;1117.0;79.0;1038.0
17900;1042.0;124.0;918.0
18000;1017.0;99.0;918.0
18100;1032.0;114.0;918.0
18200;1502.0;104.0;1398.0
18300;1022.0;104.0;918.0
18400;1072.0;114.0;958.0
18500;992.0;114.0;878.0
18600;1182.0;104.0;1078.0
18700;1030.0;32.0;998.0
18800;1220.0;102.0;1118.0
18900;620.0;102.0;518.0
19000;1100.0;102.0;998.0
19100;966.0;88.0;878.0
19200;1093.0;95.0;998.0
19300;1143.0;145.0;998.0
19400;1123.0;125.0;998.0
19500;1038.0;80.0;958.0
19600;1205.5;127.5;1078.0
19700;1073.0;115.0;958.0
19800;1215.5;137.5;1078.0
19900;1210.5;132.5;1078.0
20000;1195.5;117.5;1078.0
20100;1203.0;125.0;1078.0
20200;1203.0;125.0;1078.0
20300;1678.0;120.0;1558.0
20400;725.5;127.5;598.0
20500;1238.0;120.0;1118.0
20600;1283.0;125.0;1158.0
20700;1358.0;120.0;1238.0
20800;1158.0;120.0;1038.0
20900;1278.0;120.0;1158.0
21000;1118.0;120.0;998.0
21100;1278.0;120.0;1158.0
21200;1238.0;80.0;1158.0
21300;798.0;120.0;678.0
21400;1275.5;117.5;1158.0
21500;1318.0;120.0;1198.0
21600;1353.0;115.0;1238.0
21700;1398.0;80.0;1318.0
21800;1348.0;110.0;1238.0
21900;1353.0;115.0;1238.0
22000;1353.0;115.0;1238.0
22100;1258.0;140.0;1118.0
22200;1353.0;115.0;1238.0
22300;1363.0;125.0;1238.0
22400;1348.0;110.0;1238.0
22500;1393.0;115.0;1278.0
22600;1433.0;115.0;1318.0
22700;1513.0;115.0;1398.0
22800;945.5;107.5;838.0
22900;1553.0;115.0;1438.0
23000;1433.0;115.0;1318.0
