timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10005;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;11
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10008;20
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;10
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;12
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;12
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10009;6
900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
4000;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;10007;7
4200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10012;7
8000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;6
10500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;10013;5
10600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10016;5
11600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
13100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;2
24900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
32100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;10
32400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;10
36000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;10
37900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;10040;4
38100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10044;4
39900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;10042;6
41000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;6
41200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10047;6
41800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;3
43600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;8
45100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;10048;4
