timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-114.0;0.0;-114.0
200;-85.5;0.0;-85.5
300;0.0;0.0;0.0
400;-210.0;0.0;-210.0
500;-228.0;0.0;-228.0
600;-152.0;0.0;-152.0
700;-244.0;0.0;-244.0
800;-382.0;0.0;-382.0
900;-358.0;0.0;-358.0
1000;-430.0;0.0;-430.0
1100;-898.0;0.0;-898.0
1200;-430.0;0.0;-430.0
1300;-274.0;0.0;-274.0
1400;-522.0;0.0;-522.0
1500;-442.0;0.0;-442.0
1600;-282.0;0.0;-282.0
1700;-842.0;0.0;-842.0
1800;-362.0;0.0;-362.0
1900;-362.0;0.0;-362.0
2000;-362.0;0.0;-362.0
2100;-842.0;0.0;-842.0
2200;-362.0;0.0;-362.0
2300;-362.0;0.0;-362.0
2400;-362.0;0.0;-362.0
2500;-842.0;0.0;-842.0
2600;-282.0;0.0;-282.0
2700;-282.0;0.0;-282.0
2800;-317.0;85.0;-402.0
2900;-212.0;70.0;-282.0
3000;-602.0;80.0;-682.0
3100;303.0;105.0;198.0
3200;-92.0;70.0;-162.0
3300;268.0;70.0;198.0
3400;-222.0;60.0;-282.0
3500;-127.0;115.0;-242.0
3600;-132.0;70.0;-202.0
3700;-132.0;70.0;-202.0
3800;-207.0;115.0;-322.0
3900;-132.0;70.0;-202.0
4000;-122.0;80.0;-202.0
4100;348.0;70.0;278.0
4200;-352.0;-30.0;-322.0
4300;-137.0;65.0;-202.0
4400;-137.0;65.0;-202.0
4500;-82.0;80.0;-162.0
4600;-57.0;65.0;-122.0
4700;-92.0;70.0;-162.0
4800;-452.0;70.0;-522.0
4900;-32.0;90.0;-122.0
5000;-42.0;80.0;-122.0
5100;-42.0;80.0;-122.0
5200;88.0;210.0;-122.0
5300;94.5;216.5;-122.0
5400;141.0;223.0;-82.0
5500;208.0;210.0;-2.0
5600;41.5;203.5;-162.0
5700;181.0;223.0;-42.0
5800;155.0;197.0;-42.0
5900;155.0;197.0;-42.0
6000;35.0;197.0;-162.0
6100;66.0;108.0;-42.0
6200;88.0;130.0;-42.0
6300;163.0;205.0;-42.0
6400;158.0;280.0;-122.0
6500;215.5;217.5;-2.0
6600;348.0;230.0;118.0
6700;-212.0;230.0;-442.0
6800;268.0;230.0;38.0
6900;268.0;230.0;38.0
7000;230.5;192.5;38.0
7100;230.5;192.5;38.0
7200;293.0;255.0;38.0
7300;268.0;230.0;38.0
7400;293.0;255.0;38.0
7500;-189.0;253.0;-442.0
7600;390.0;272.0;118.0
7700;409.0;291.0;118.0
7800;390.0;272.0;118.0
7900;380.5;262.5;118.0
8000;251.0;253.0;-2.0
8100;371.0;253.0;118.0
8200;466.0;348.0;118.0
8300;390.0;272.0;118.0
8400;390.0;272.0;118.0
8500;30.0;272.0;-242.0
8600;489.0;291.0;198.0
8700;350.0;272.0;78.0
8800;460.5;262.5;198.0
8900;350.0;272.0;78.0
9000;679.0;361.0;318.0
9100;559.0;361.0;198.0
9200;487.0;289.0;198.0
9300;559.0;361.0;198.0
9400;679.0;361.0;318.0
9500;572.0;334.0;238.0
9600;728.0;370.0;358.0
9700;648.0;370.0;278.0
9800;639.0;361.0;278.0
9900;-72.0;370.0;-442.0
10000;652.5;374.5;278.0
10100;639.0;361.0;278.0
10200;639.0;361.0;278.0
10300;639.0;361.0;278.0
10400;634.5;356.5;278.0
10500;279.0;361.0;-82.0
10600;728.0;370.0;358.0
10700;688.0;370.0;318.0
10800;710.0;352.0;358.0
10900;710.0;352.0;358.0
11000;599.0;361.0;238.0
11100;732.5;374.5;358.0
11200;848.0;370.0;478.0
11300;728.0;370.0;358.0
11400;737.0;379.0;358.0
11500;768.0;370.0;398.0
11600;897.0;379.0;518.0
11700;1288.0;370.0;918.0
11800;115.0;397.0;-282.0
11900;820.0;382.0;438.0
12000;820.0;382.0;438.0
12100;937.0;379.0;558.0
12200;964.0;406.0;558.0
12300;827.5;389.5;438.0
12400;817.0;379.0;438.0
12500;836.0;358.0;478.0
12600;900.0;382.0;518.0
12700;-29091.0;-29609.0;518.0
12800;900.0;382.0;518.0
12900;903.0;385.0;518.0
13000;794.0;396.0;398.0
13100;914.0;396.0;518.0
13200;412.0;374.0;38.0
13300;922.0;404.0;518.0
13400;929.5;411.5;518.0
13500;962.0;404.0;558.0
13600;882.0;404.0;478.0
13700;1122.0;404.0;718.0
13800;1002.0;404.0;598.0
13900;879.5;401.5;478.0
14000;1014.5;416.5;598.0
14100;1007.0;409.0;598.0
14200;1127.0;409.0;718.0
14300;1007.0;409.0;598.0
14400;1009.5;411.5;598.0
14500;1059.5;421.5;638.0
14600;1607.0;449.0;1158.0
14700;1207.0;449.0;758.0
14800;1607.0;449.0;1158.0
14900;1167.0;489.0;678.0
15000;1152.0;474.0;678.0
15100;1157.0;479.0;678.0
15200;1277.0;479.0;798.0
15300;1232.0;434.0;798.0
15400;792.0;474.0;318.0
15500;1117.0;479.0;638.0
15600;1229.5;471.5;758.0
15700;1232.0;474.0;758.0
15800;1362.0;484.0;878.0
15900;1232.0;474.0;758.0
16000;1197.0;439.0;758.0
16100;1232.0;474.0;758.0
16200;1362.0;484.0;878.0
16300;1237.0;479.0;758.0
16400;1237.0;479.0;758.0
16500;1277.0;479.0;798.0
16600;1331.0;493.0;838.0
16700;608.0;490.0;118.0
16800;1323.5;485.5;838.0
16900;1322.0;484.0;838.0
17000;1205.0;487.0;718.0
17100;1208.0;490.0;718.0
17200;1360.0;522.0;838.0
17300;1480.0;522.0;958.0
17400;1480.0;522.0;958.0
17500;1403.0;525.0;878.0
17600;1440.0;522.0;918.0
17700;1936.0;538.0;1398.0
17800;1553.0;515.0;1038.0
17900;1442.0;524.0;918.0
18000;1437.0;519.0;918.0
18100;1440.0;522.0;918.0
18200;1918.0;520.0;1398.0
18300;1438.0;520.0;918.0
18400;1480.0;522.0;958.0
18500;1400.0;522.0;878.0
18600;1598.0;520.0;1078.0
18700;1494.0;496.0;998.0
18800;1644.0;526.0;1118.0
18900;1044.0;526.0;518.0
19000;1524.0;526.0;998.0
19100;1398.0;520.0;878.0
19200;1521.0;523.0;998.0
19300;1533.0;535.0;998.0
19400;1557.0;559.0;998.0
19500;1571.0;613.0;958.0
19600;1634.0;556.0;1078.0
19700;1529.0;571.0;958.0
19800;1622.0;544.0;1078.0
19900;1628.0;550.0;1078.0
20000;1646.0;568.0;1078.0
20100;1637.0;559.0;1078.0
20200;1637.0;559.0;1078.0
20300;2123.0;565.0;1558.0
20400;1154.0;556.0;598.0
20500;1683.0;565.0;1118.0
20600;1717.0;559.0;1158.0
20700;1803.0;565.0;1238.0
20800;1603.0;565.0;1038.0
20900;1737.0;579.0;1158.0
21000;1577.0;579.0;998.0
21100;1737.0;579.0;1158.0
21200;1769.0;611.0;1158.0
21300;1257.0;579.0;678.0
21400;1739.0;581.0;1158.0
21500;1819.0;621.0;1198.0
21600;1869.0;631.0;1238.0
21700;2019.0;701.0;1318.0
21800;1879.0;641.0;1238.0
21900;1869.0;631.0;1238.0
22000;1869.0;631.0;1238.0
22100;1699.0;581.0;1118.0
22200;1869.0;631.0;1238.0
22300;1849.0;611.0;1238.0
22400;1879.0;641.0;1238.0
22500;1909.0;631.0;1278.0
22600;1949.0;631.0;1318.0
22700;2029.0;631.0;1398.0
22800;1484.0;646.0;838.0
22900;2069.0;631.0;1438.0
