timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-58.5;0.0;-58.5
100;-101.0;0.0;-101.0
200;-211.0;0.0;-211.0
300;-31.0;0.0;-31.0
400;-465.0;0.0;-465.0
500;-438.0;0.0;-438.0
600;-369.0;0.0;-369.0
700;-432.0;57.0;-489.0
800;-503.0;66.0;-569.0
900;-482.0;7.0;-489.0
1000;-426.0;63.0;-489.0
1100;-205.0;84.0;-289.0
1200;-333.0;196.0;-529.0
1300;-304.0;105.0;-409.0
1400;-325.0;84.0;-409.0
1500;-311.0;98.0;-409.0
1600;-503.0;-14.0;-489.0
1700;-276.0;133.0;-409.0
1800;-311.0;98.0;-409.0
1900;-191.0;98.0;-289.0
2000;-372.0;77.0;-449.0
2100;-151.0;98.0;-249.0
2200;-351.0;98.0;-449.0
2300;-302.0;147.0;-449.0
2400;-238.0;91.0;-329.0
2500;-170.0;159.0;-329.0
2600;-241.0;168.0;-409.0
2700;-35.0;174.0;-209.0
2800;-161.0;168.0;-329.0
2900;-161.0;168.0;-329.0
3000;-127.0;162.0;-289.0
3100;5.0;174.0;-169.0
3200;-109.0;180.0;-289.0
3300;-75.0;174.0;-249.0
3400;-75.0;174.0;-249.0
3500;36.0;165.0;-129.0
3600;-75.0;174.0;-249.0
3700;-87.0;162.0;-249.0
3800;39.0;168.0;-129.0
3900;-81.0;168.0;-249.0
4000;314.5;174.0;140.5
4100;-382.0;171.0;-553.0
4200;-67.0;177.0;-244.0
4300;422.0;186.0;236.0
4400;-138.0;186.0;-324.0
4500;-24.0;180.0;-204.0
4600;-15.0;189.0;-204.0
4700;144.0;228.0;-84.0
4800;-48.0;156.0;-204.0
4900;-104.0;180.0;-284.0
5000;16.0;180.0;-164.0
5100;-104.0;180.0;-284.0
5200;-313.0;171.0;-484.0
5300;68.0;192.0;-124.0
5400;47.0;171.0;-124.0
5500;-70.0;174.0;-244.0
5600;2.0;126.0;-124.0
5700;50.0;174.0;-124.0
5800;-375.0;189.0;-564.0
5900;59.0;183.0;-124.0
6000;-8.0;156.0;-164.0
6100;192.0;236.0;-44.0
6200;192.0;236.0;-44.0
6300;194.0;238.0;-44.0
6400;194.0;238.0;-44.0
6500;216.0;260.0;-44.0
6600;114.0;238.0;-124.0
6700;634.0;238.0;396.0
6800;194.0;238.0;-44.0
6900;193.0;237.0;-44.0
7000;236.0;240.0;-4.0
7100;276.0;240.0;36.0
7200;277.0;241.0;36.0
7300;274.0;238.0;36.0
7400;354.0;238.0;116.0
7500;712.0;236.0;476.0
7600;270.0;234.0;36.0
7700;275.0;239.0;36.0
7800;265.0;229.0;36.0
7900;274.0;238.0;36.0
8000;762.0;206.0;556.0
8100;238.0;242.0;-4.0
8200;362.0;246.0;116.0
8300;350.0;234.0;116.0
8400;358.0;242.0;116.0
8500;358.0;242.0;116.0
8600;486.0;250.0;236.0
8700;358.0;242.0;116.0
8800;358.0;242.0;116.0
8900;334.0;218.0;116.0
9000;-90.0;234.0;-324.0
9100;426.0;230.0;196.0
9200;510.0;234.0;276.0
9300;430.0;234.0;196.0
9400;-6.0;238.0;-244.0
9500;302.0;226.0;76.0
9600;342.0;226.0;116.0
9700;414.0;218.0;196.0
9800;414.0;218.0;196.0
9900;854.0;218.0;636.0
10000;466.0;230.0;236.0
10100;494.0;218.0;276.0
10200;494.0;218.0;276.0
10300;566.0;210.0;356.0
10400;582.0;186.0;396.0
10500;790.5;202.0;588.5
10600;459.0;198.0;261.0
10700;487.0;226.0;261.0
10800;599.0;218.0;381.0
10900;583.0;202.0;381.0
11000;511.0;210.0;301.0
11100;551.0;210.0;341.0
11200;551.0;210.0;341.0
11300;199.0;218.0;-19.0
11400;639.0;218.0;421.0
11500;543.0;202.0;341.0
11600;503.5;162.5;341.0
11700;445.0;104.0;341.0
11800;549.0;208.0;341.0
11900;669.0;208.0;461.0
12000;608.5;227.5;381.0
12100;622.5;201.5;421.0
12200;629.0;208.0;421.0
12300;629.0;208.0;421.0
12400;470.0;169.0;301.0
12500;1049.5;188.5;861.0
12600;609.5;188.5;421.0
12700;1069.0;208.0;861.0
12800;616.0;195.0;421.0
12900;640.0;299.0;341.0
13000;656.0;195.0;461.0
13100;652.5;151.5;501.0
13200;785.0;204.0;581.0
13300;690.0;189.0;501.0
13400;585.0;204.0;381.0
13500;690.0;189.0;501.0
13600;690.0;189.0;501.0
13700;690.0;189.0;501.0
13800;738.0;237.0;501.0
13900;631.0;210.0;421.0
14000;831.0;210.0;621.0
14100;755.0;174.0;581.0
14200;791.0;210.0;581.0
14300;791.0;210.0;581.0
14400;751.0;210.0;541.0
14500;767.0;66.0;701.0
14600;773.0;192.0;581.0
14700;513.0;372.0;141.0
14800;809.0;228.0;581.0
14900;956.0;255.0;701.0
15000;870.0;249.0;621.0
15100;945.0;284.0;661.0
15200;971.0;310.0;661.0
15300;570.0;349.0;221.0
15400;971.0;310.0;661.0
15500;971.0;310.0;661.0
15600;997.0;336.0;661.0
15700;997.0;336.0;661.0
15800;997.0;336.0;661.0
15900;1112.5;451.5;661.0
16000;1013.0;392.0;621.0
16100;1167.0;426.0;741.0
16200;1047.0;426.0;621.0
16300;1167.0;426.0;741.0
16400;1064.0;443.0;621.0
16500;1167.0;426.0;741.0
16600;1158.5;417.5;741.0
16700;1590.0;409.0;1181.0
16800;1150.0;409.0;741.0
