timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-114.0;0.0;-114.0
200;-85.5;0.0;-85.5
300;0.0;0.0;0.0
400;-210.0;0.0;-210.0
500;-228.0;0.0;-228.0
600;-152.0;0.0;-152.0
700;-244.0;0.0;-244.0
800;-382.0;0.0;-382.0
900;-358.0;0.0;-358.0
1000;-430.0;0.0;-430.0
1100;-898.0;0.0;-898.0
1200;-430.0;0.0;-430.0
1300;-274.0;0.0;-274.0
1400;-522.0;0.0;-522.0
1500;-442.0;0.0;-442.0
1600;-282.0;0.0;-282.0
1700;-842.0;0.0;-842.0
1800;-362.0;0.0;-362.0
1900;-362.0;0.0;-362.0
2000;-362.0;0.0;-362.0
2100;-842.0;0.0;-842.0
2200;-362.0;0.0;-362.0
2300;-362.0;0.0;-362.0
2400;-362.0;0.0;-362.0
2500;-842.0;0.0;-842.0
2600;-282.0;0.0;-282.0
2700;-282.0;0.0;-282.0
2800;-359.5;42.5;-402.0
2900;-247.0;35.0;-282.0
3000;-642.0;40.0;-682.0
3100;250.5;52.5;198.0
3200;-127.0;35.0;-162.0
3300;233.0;35.0;198.0
3400;-252.0;30.0;-282.0
3500;-184.5;57.5;-242.0
3600;-167.0;35.0;-202.0
3700;-167.0;35.0;-202.0
3800;-264.5;57.5;-322.0
3900;-167.0;35.0;-202.0
4000;-162.0;40.0;-202.0
4100;313.0;35.0;278.0
4200;-337.0;-15.0;-322.0
4300;-169.5;32.5;-202.0
4400;-169.5;32.5;-202.0
4500;-122.0;40.0;-162.0
4600;-89.5;32.5;-122.0
4700;-127.0;35.0;-162.0
4800;-487.0;35.0;-522.0
4900;-77.0;45.0;-122.0
5000;-82.0;40.0;-122.0
5100;-82.0;40.0;-122.0
5200;-21.0;101.0;-122.0
5300;-18.0;104.0;-122.0
5400;25.0;107.0;-82.0
5500;99.0;101.0;-2.0
5600;-64.0;98.0;-162.0
5700;65.0;107.0;-42.0
5800;53.0;95.0;-42.0
5900;53.0;95.0;-42.0
6000;-67.0;95.0;-162.0
6100;-1.0;41.0;-42.0
6200;7.0;49.0;-42.0
6300;61.0;103.0;-42.0
6400;35.0;157.0;-122.0
6500;110.0;112.0;-2.0
6600;239.0;121.0;118.0
6700;-321.0;121.0;-442.0
6800;159.0;121.0;38.0
6900;159.0;121.0;38.0
7000;132.0;94.0;38.0
7100;132.0;94.0;38.0
7200;177.0;139.0;38.0
7300;159.0;121.0;38.0
7400;177.0;139.0;38.0
7500;-315.0;127.0;-442.0
7600;260.0;142.0;118.0
7700;275.0;157.0;118.0
7800;260.0;142.0;118.0
7900;252.5;134.5;118.0
8000;125.0;127.0;-2.0
8100;245.0;127.0;118.0
8200;320.0;202.0;118.0
8300;260.0;142.0;118.0
8400;260.0;142.0;118.0
8500;-100.0;142.0;-242.0
8600;355.0;157.0;198.0
8700;220.0;142.0;78.0
8800;332.5;134.5;198.0
8900;220.0;142.0;78.0
9000;510.0;192.0;318.0
9100;390.0;192.0;198.0
9200;310.0;112.0;198.0
9300;390.0;192.0;198.0
9400;510.0;192.0;318.0
9500;400.0;162.0;238.0
9600;560.0;202.0;358.0
9700;480.0;202.0;278.0
9800;470.0;192.0;278.0
9900;-240.0;202.0;-442.0
10000;485.0;207.0;278.0
10100;470.0;192.0;278.0
10200;470.0;192.0;278.0
10300;470.0;192.0;278.0
10400;465.0;187.0;278.0
10500;110.0;192.0;-82.0
10600;560.0;202.0;358.0
10700;520.0;202.0;318.0
10800;540.0;182.0;358.0
10900;540.0;182.0;358.0
11000;430.0;192.0;238.0
11100;565.0;207.0;358.0
11200;680.0;202.0;478.0
11300;560.0;202.0;358.0
11400;570.0;212.0;358.0
11500;600.0;202.0;398.0
11600;730.0;212.0;518.0
11700;1120.0;202.0;918.0
11800;-48.0;234.0;-282.0
11900;652.0;214.0;438.0
12000;652.0;214.0;438.0
12100;768.0;210.0;558.0
12200;804.0;246.0;558.0
12300;662.0;224.0;438.0
12400;648.0;210.0;438.0
12500;660.0;182.0;478.0
12600;732.0;214.0;518.0
12700;-39256.0;-39774.0;518.0
12800;732.0;214.0;518.0
12900;736.0;218.0;518.0
13000;619.0;221.0;398.0
13100;739.0;221.0;518.0
13200;225.0;187.0;38.0
13300;747.0;229.0;518.0
13400;757.5;239.5;518.0
13500;787.0;229.0;558.0
13600;707.0;229.0;478.0
13700;947.0;229.0;718.0
13800;827.0;229.0;598.0
13900;703.5;225.5;478.0
14000;844.5;246.5;598.0
14100;834.0;236.0;598.0
14200;954.0;236.0;718.0
14300;834.0;236.0;598.0
14400;837.5;239.5;598.0
14500;891.5;253.5;638.0
14600;1415.0;257.0;1158.0
14700;1000.0;242.0;758.0
14800;1420.0;262.0;1158.0
14900;946.0;268.0;678.0
15000;955.0;277.0;678.0
15100;952.0;274.0;678.0
15200;1072.0;274.0;798.0
15300;1099.0;301.0;798.0
15400;595.0;277.0;318.0
15500;912.0;274.0;638.0
15600;1036.5;278.5;758.0
15700;1035.0;277.0;758.0
15800;1149.0;271.0;878.0
15900;1035.0;277.0;758.0
16000;1056.0;298.0;758.0
16100;1035.0;277.0;758.0
16200;1149.0;271.0;878.0
16300;1032.0;274.0;758.0
16400;1032.0;274.0;758.0
16500;1072.0;274.0;798.0
16600;1119.0;281.0;838.0
16700;403.0;285.0;118.0
16800;1129.0;291.0;838.0
16900;1131.0;293.0;838.0
17000;1007.0;289.0;718.0
17100;1003.0;285.0;718.0
17200;1141.0;303.0;838.0
17300;1261.0;303.0;958.0
17400;1261.0;303.0;958.0
17500;1190.0;312.0;878.0
17600;1221.0;303.0;918.0
17700;1749.0;351.0;1398.0
17800;1320.0;282.0;1038.0
17900;1227.0;309.0;918.0
18000;1212.0;294.0;918.0
18100;1221.0;303.0;918.0
18200;1695.0;297.0;1398.0
18300;1215.0;297.0;918.0
18400;1261.0;303.0;958.0
18500;1181.0;303.0;878.0
18600;1375.0;297.0;1078.0
18700;1247.0;249.0;998.0
18800;1417.0;299.0;1118.0
18900;817.0;299.0;518.0
19000;1297.0;299.0;998.0
19100;1167.0;289.0;878.0
19200;1292.0;294.0;998.0
19300;1324.0;326.0;998.0
19400;1328.0;330.0;998.0
19500;1297.0;339.0;958.0
19600;1407.5;329.5;1078.0
19700;1290.0;332.0;958.0
19800;1405.5;327.5;1078.0
19900;1406.5;328.5;1078.0
20000;1409.5;331.5;1078.0
20100;1408.0;330.0;1078.0
20200;1408.0;330.0;1078.0
20300;1889.0;331.0;1558.0
20400;927.5;329.5;598.0
20500;1449.0;331.0;1118.0
20600;1488.0;330.0;1158.0
20700;1569.0;331.0;1238.0
20800;1369.0;331.0;1038.0
20900;1496.0;338.0;1158.0
21000;1336.0;338.0;998.0
21100;1496.0;338.0;1158.0
21200;1496.0;338.0;1158.0
21300;1016.0;338.0;678.0
21400;1496.0;338.0;1158.0
21500;1557.0;359.0;1198.0
21600;1600.0;362.0;1238.0
21700;1701.0;383.0;1318.0
21800;1603.0;365.0;1238.0
21900;1600.0;362.0;1238.0
22000;1600.0;362.0;1238.0
22100;1465.0;347.0;1118.0
22200;1600.0;362.0;1238.0
22300;1594.0;356.0;1238.0
22400;1603.0;365.0;1238.0
22500;1640.0;362.0;1278.0
22600;1680.0;362.0;1318.0
22700;1760.0;362.0;1398.0
22800;1204.5;366.5;838.0
22900;1800.0;362.0;1438.0
