timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;11
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;10
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;11
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;10
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;12
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;12
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;11
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;3
3400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
5100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
6100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12009;3
6200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12013;3
6500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
7100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
9400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12013;8
9600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12016;8
9900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
14300;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12017;6
14400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12021;6
16800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;7
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;7
22000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
26400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;10
26500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
31700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12035;4
38700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12035;4
44800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;4
45300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
56000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;2
57300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;9
64200;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12067;6
65700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12062;6
67600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
69400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
70500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;7
73400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12077;7
73800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12080;7
74300;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12077;6
74400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12070;4
74800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12081;2
77300;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12080;8
77800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12080;8
78100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
78200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
84800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;10
87400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;7
89300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;4
91100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12094;6
92600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12099;6
93700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12097;6
96000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12103;6
98200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;7
