timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-25.5;42.0;-67.5
100;-85.0;42.0;-127.0
200;-88.0;-12.0;-76.0
300;-108.5;45.0;-153.5
400;-183.5;35.0;-218.5
500;53.0;44.0;9.0
600;-167.0;44.0;-211.0
700;-293.5;42.0;-335.5
800;19660.5;20048.0;-387.5
900;-495.0;48.0;-543.0
1000;-455.5;49.0;-504.5
1100;-376.5;49.0;-425.5
1200;-379.5;46.0;-425.5
1300;-379.5;46.0;-425.5
1400;-379.5;46.0;-425.5
1500;-377.5;48.0;-425.5
1600;-377.5;48.0;-425.5
1700;-259.0;48.0;-307.0
1800;-252.0;55.0;-307.0
1900;-377.5;48.0;-425.5
2000;-338.0;48.0;-386.0
2100;-300.5;46.0;-346.5
2200;-298.5;48.0;-346.5
2300;-182.0;46.0;-228.0
2400;-300.5;46.0;-346.5
2500;-300.5;46.0;-346.5
2600;-300.5;46.0;-346.5
2700;-700.0;43.0;-743.0
2800;-295.0;48.0;-343.0
2900;75.0;30.0;45.0
3000;-289.0;46.0;-335.0
3100;-251.0;44.0;-295.0
3200;-249.0;46.0;-295.0
3300;-132.0;43.0;-175.0
3400;-249.0;46.0;-295.0
3500;-249.0;46.0;-295.0
3600;-228.0;67.0;-295.0
3700;-108.0;67.0;-175.0
3800;-243.0;52.0;-295.0
3900;292.0;67.0;225.0
4000;-190.5;64.5;-255.0
4100;-278.0;57.0;-335.0
4200;-137.0;78.0;-215.0
4300;0.5;95.5;-95.0
4400;-250.0;85.0;-335.0
4500;-119.5;95.5;-215.0
4600;-137.0;78.0;-215.0
4700;-250.0;85.0;-335.0
4800;-297.0;78.0;-375.0
4900;-130.0;85.0;-215.0
5000;37.0;92.0;-55.0
5100;-810.0;85.0;-895.0
5200;-50.0;85.0;-135.0
5300;6.0;141.0;-135.0
5400;70.0;85.0;-15.0
5500;-57.0;78.0;-135.0
5600;-43.0;92.0;-135.0
5700;-450.0;85.0;-535.0
5800;-577.0;78.0;-655.0
5900;-50.0;85.0;-135.0
6000;-130.0;85.0;-215.0
6100;40.5;95.5;-55.0
6200;30.0;85.0;-55.0
6300;30.0;85.0;-55.0
6400;37.0;92.0;-55.0
6500;-83.0;92.0;-175.0
6600;93.0;148.0;-55.0
6700;37.0;92.0;-55.0
6800;-539.0;36.0;-575.0
6900;44.0;99.0;-55.0
7000;-46.5;88.5;-135.0
7100;117.0;92.0;25.0
7200;85.5;60.5;25.0
7300;626.5;81.5;545.0
7400;-650.0;85.0;-735.0
7500;230.0;85.0;145.0
7600;148.5;123.5;25.0
7700;110.0;85.0;25.0
7800;120.5;95.5;25.0
7900;-10.0;85.0;-95.0
8000;-396.0;99.0;-495.0
8100;-323.0;92.0;-415.0
8200;77.0;92.0;-15.0
8300;-333.5;81.5;-415.0
8400;197.0;92.0;105.0
8500;-323.0;92.0;-415.0
8600;190.0;85.0;105.0
8700;193.5;88.5;105.0
8800;193.5;88.5;105.0
8900;77.0;92.0;-15.0
9000;237.0;92.0;145.0
9100;376.0;71.0;305.0
9200;397.0;92.0;305.0
9300;270.0;85.0;185.0
9400;312.0;127.0;185.0
9500;277.0;92.0;185.0
9600;192.0;127.0;65.0
9700;313.0;128.0;185.0
9800;311.0;126.0;185.0
9900;-89.0;126.0;-215.0
10000;407.0;182.0;225.0
10100;447.0;182.0;265.0
10200;457.5;192.5;265.0
10300;970.5;185.5;785.0
10400;560.0;175.0;385.0
10500;450.5;185.5;265.0
10600;447.0;182.0;265.0
10700;977.5;192.5;785.0
10800;447.0;182.0;265.0
10900;454.0;189.0;265.0
11000;469.5;164.5;305.0
11100;1054.0;189.0;865.0
11200;527.0;182.0;345.0
11300;527.0;182.0;345.0
11400;537.5;192.5;345.0
11500;527.0;182.0;345.0
11600;527.0;182.0;345.0
11700;657.5;192.5;465.0
11800;527.0;182.0;345.0
11900;647.0;182.0;465.0
12000;567.0;182.0;385.0
12100;642.0;217.0;425.0
12200;660.0;235.0;425.0
12300;1162.0;217.0;945.0
12400;666.0;241.0;425.0
12500;666.0;241.0;425.0
12600;214.0;229.0;-15.0
12700;534.0;229.0;305.0
12800;140.0;235.0;-95.0
12900;654.0;229.0;425.0
13000;694.0;229.0;465.0
13100;734.0;229.0;505.0
13200;746.0;241.0;505.0
13300;638.0;133.0;505.0
13400;734.0;229.0;505.0
13500;614.0;229.0;385.0
13600;734.0;229.0;505.0
13700;734.0;229.0;505.0
13800;638.0;133.0;505.0
13900;1110.0;211.0;899.0
14000;921.0;250.0;671.0
14100;819.0;250.0;569.0
14200;810.0;241.0;569.0
14300;796.5;227.5;569.0
14400;610.0;241.0;369.0
14500;903.0;214.0;689.0
14600;1330.0;241.0;1089.0
14700;663.0;214.0;449.0
14800;810.0;241.0;569.0
14900;681.0;232.0;449.0
15000;823.0;214.0;609.0
15100;1080.0;311.0;769.0
15200;960.0;311.0;649.0
15300;970.0;321.0;649.0
15400;960.0;311.0;649.0
15500;956.0;307.0;649.0
15600;1080.0;311.0;769.0
15700;962.0;313.0;649.0
15800;961.0;312.0;649.0
15900;961.0;312.0;649.0
16000;1001.0;312.0;689.0
16100;1037.5;308.5;729.0
16200;1040.0;311.0;729.0
16300;1042.0;313.0;729.0
16400;1041.0;312.0;729.0
