timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-25.5;42.0;-67.5
100;-85.0;42.0;-127.0
200;-88.0;-12.0;-76.0
300;-108.5;45.0;-153.5
400;-183.5;35.0;-218.5
500;53.0;44.0;9.0
600;-167.0;44.0;-211.0
700;-293.5;42.0;-335.5
800;19712.5;20048.0;-335.5
900;-367.0;48.0;-415.0
1000;-286.5;49.0;-335.5
1100;-233.5;49.0;-282.5
1200;-236.5;46.0;-282.5
1300;-236.5;46.0;-282.5
1400;-236.5;46.0;-282.5
1500;-234.5;48.0;-282.5
1600;-234.5;48.0;-282.5
1700;-155.0;48.0;-203.0
1800;-148.0;55.0;-203.0
1900;-234.5;48.0;-282.5
2000;-208.0;48.0;-256.0
2100;-183.5;46.0;-229.5
2200;-181.5;48.0;-229.5
2300;-104.0;46.0;-150.0
2400;-183.5;46.0;-229.5
2500;-183.5;46.0;-229.5
2600;-183.5;46.0;-229.5
2700;-498.0;43.0;-541.0
2800;-173.0;48.0;-221.0
2900;129.0;30.0;99.0
3000;-143.0;46.0;-189.0
3100;-113.0;44.0;-157.0
3200;-111.0;46.0;-157.0
3300;-18.0;43.0;-61.0
3400;-111.0;46.0;-157.0
3500;-111.0;46.0;-157.0
3600;-90.0;67.0;-157.0
3700;6.0;67.0;-61.0
3800;-105.0;52.0;-157.0
3900;326.0;67.0;259.0
4000;-60.5;64.5;-125.0
4100;-132.0;57.0;-189.0
4200;-15.0;78.0;-93.0
4300;98.5;95.5;3.0
4400;-104.0;85.0;-189.0
4500;2.5;95.5;-93.0
4600;-15.0;78.0;-93.0
4700;-104.0;85.0;-189.0
4800;-143.0;78.0;-221.0
4900;-8.0;85.0;-93.0
5000;164.5;92.0;72.5
5100;-567.0;85.0;-652.0
5200;88.5;85.0;3.5
5300;144.5;141.0;3.5
5400;192.0;85.0;107.0
5500;81.5;78.0;3.5
5600;95.5;92.0;3.5
5700;-264.0;85.0;-349.0
5800;-382.0;78.0;-460.0
5900;106.0;85.0;21.0
6000;32.0;85.0;-53.0
6100;190.5;95.5;95.0
6200;180.0;85.0;95.0
6300;180.0;85.0;95.0
6400;187.0;92.0;95.0
6500;76.0;92.0;-16.0
6600;243.0;148.0;95.0
6700;187.0;92.0;95.0
6800;-350.0;36.0;-386.0
6900;194.0;99.0;95.0
7000;109.5;88.5;21.0
7100;261.0;92.0;169.0
7200;229.5;60.5;169.0
7300;731.5;81.5;650.0
7400;-449.0;85.0;-534.0
7500;365.0;85.0;280.0
7600;292.5;123.5;169.0
7700;254.0;85.0;169.0
7800;264.5;95.5;169.0
7900;143.0;85.0;58.0
8000;-213.0;99.0;-312.0
8100;-146.0;92.0;-238.0
8200;224.0;92.0;132.0
8300;-156.5;81.5;-238.0
8400;335.0;92.0;243.0
8500;-146.0;92.0;-238.0
8600;328.0;85.0;243.0
8700;331.5;88.5;243.0
8800;331.5;88.5;243.0
8900;224.0;92.0;132.0
9000;372.0;92.0;280.0
9100;499.0;71.0;428.0
9200;520.0;92.0;428.0
9300;402.0;85.0;317.0
9400;444.0;127.0;317.0
9500;409.0;92.0;317.0
9600;333.0;127.0;206.0
9700;445.0;128.0;317.0
9800;443.0;126.0;317.0
9900;64.0;126.0;-62.0
10000;560.0;182.0;378.0
10100;600.0;182.0;418.0
10200;610.5;192.5;418.0
10300;1123.5;185.5;938.0
10400;713.0;175.0;538.0
10500;603.5;185.5;418.0
10600;600.0;182.0;418.0
10700;1130.5;192.5;938.0
10800;600.0;182.0;418.0
10900;607.0;189.0;418.0
11000;622.5;164.5;458.0
11100;1207.0;189.0;1018.0
11200;680.0;182.0;498.0
11300;680.0;182.0;498.0
11400;690.5;192.5;498.0
11500;680.0;182.0;498.0
11600;680.0;182.0;498.0
11700;810.5;192.5;618.0
11800;680.0;182.0;498.0
11900;800.0;182.0;618.0
12000;720.0;182.0;538.0
12100;795.0;217.0;578.0
12200;813.0;235.0;578.0
12300;1315.0;217.0;1098.0
12400;819.0;241.0;578.0
12500;819.0;241.0;578.0
12600;367.0;229.0;138.0
12700;687.0;229.0;458.0
12800;293.0;235.0;58.0
12900;807.0;229.0;578.0
13000;847.0;229.0;618.0
13100;887.0;229.0;658.0
13200;899.0;241.0;658.0
13300;791.0;133.0;658.0
13400;887.0;229.0;658.0
13500;767.0;229.0;538.0
13600;887.0;229.0;658.0
13700;887.0;229.0;658.0
13800;791.0;133.0;658.0
13900;1269.0;211.0;1058.0
14000;1068.0;250.0;818.0
14100;988.0;250.0;738.0
14200;979.0;241.0;738.0
14300;965.5;227.5;738.0
14400;779.0;241.0;538.0
14500;1072.0;214.0;858.0
14600;1499.0;241.0;1258.0
14700;832.0;214.0;618.0
14800;979.0;241.0;738.0
14900;850.0;232.0;618.0
15000;992.0;214.0;778.0
15100;1249.0;311.0;938.0
15200;1129.0;311.0;818.0
15300;1139.0;321.0;818.0
15400;1129.0;311.0;818.0
15500;1095.0;277.0;818.0
15600;1259.0;321.0;938.0
15700;1161.0;343.0;818.0
15800;1150.0;332.0;818.0
15900;1150.0;332.0;818.0
16000;1190.0;332.0;858.0
16100;1191.5;293.5;898.0
16200;1219.0;321.0;898.0
16300;1241.0;343.0;898.0
16400;1230.0;332.0;898.0
16500;1366.5;348.5;1018.0
