timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;10
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;9
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;9
800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;10
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11999;1
2900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;8
3000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12010;8
4200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
7600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
9400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
13900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12017;4
14100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12021;4
19800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
23900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
24300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
24400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
26500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12030;6
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;6
28000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
28000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12035;6
32500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12036;4
32700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12039;4
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
33300;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12036;7
33500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12040;7
35700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12039;3
35800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12032;1
36500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;3
37600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12044;2
37800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
37900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
38400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;3
41700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12045;5
41800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;5
42000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12044;5
45200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
46500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;6
48100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12051;7
48700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12055;7
50900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;5
52600;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12056;8
53000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12060;8
53200;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12056;5
53600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12049;5
53800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;6
56400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;3
56500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
57000;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12066;1
57300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
57800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12064;1
59500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;2
59700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;3
60300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;6
62000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;6
64900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;4
65300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;2
65500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
67600;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12071;4
67900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12074;4
68000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;3
68800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
70400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12074;5
70800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12077;5
71200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;3
72300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;6
76500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;8
76700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12080;4
76800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12083;4
77800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;6
80400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;6
82100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12085;8
83700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;2
83900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12090;8
84400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12088;5
85400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12092;5
85500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12089;8
85700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9993;3
85900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12092;8
88300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;2
89700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;6
90200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;10
90700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
90800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
91100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;3
