timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-67.5;0.0;-67.5
100;-127.0;0.0;-127.0
200;-76.0;0.0;-76.0
300;-153.5;0.0;-153.5
400;-239.5;-21.0;-218.5
500;15.0;6.0;9.0
600;-205.0;6.0;-211.0
700;-335.5;0.0;-335.5
800;59630.5;60018.0;-387.5
900;-525.0;18.0;-543.0
1000;-483.5;21.0;-504.5
1100;-404.5;21.0;-425.5
1200;-413.5;12.0;-425.5
1300;-413.5;12.0;-425.5
1400;-413.5;12.0;-425.5
1500;-407.5;18.0;-425.5
1600;-407.5;18.0;-425.5
1700;-289.0;18.0;-307.0
1800;-268.0;39.0;-307.0
1900;-407.5;18.0;-425.5
2000;-368.0;18.0;-386.0
2100;-334.5;12.0;-346.5
2200;-328.5;18.0;-346.5
2300;-216.0;12.0;-228.0
2400;-334.5;12.0;-346.5
2500;-334.5;12.0;-346.5
2600;-334.5;12.0;-346.5
2700;-740.0;3.0;-743.0
2800;-325.0;18.0;-343.0
2900;9.0;-36.0;45.0
3000;-323.0;12.0;-335.0
3100;-289.0;6.0;-295.0
3200;-283.0;12.0;-295.0
3300;-172.0;3.0;-175.0
3400;-283.0;12.0;-295.0
3500;-283.0;12.0;-295.0
3600;-283.0;12.0;-295.0
3700;-163.0;12.0;-175.0
3800;-301.0;-6.0;-295.0
3900;237.0;12.0;225.0
4000;-246.0;9.0;-255.0
4100;-335.0;0.0;-335.0
4200;-193.0;22.0;-215.0
4300;-53.0;42.0;-95.0
4400;-305.0;30.0;-335.0
4500;-173.0;42.0;-215.0
4600;-193.0;22.0;-215.0
4700;-305.0;30.0;-335.0
4800;-353.0;22.0;-375.0
4900;-185.0;30.0;-215.0
5000;-17.0;38.0;-55.0
5100;-865.0;30.0;-895.0
5200;-105.0;30.0;-135.0
5300;-41.0;94.0;-135.0
5400;15.0;30.0;-15.0
5500;-113.0;22.0;-135.0
5600;-97.0;38.0;-135.0
5700;-505.0;30.0;-535.0
5800;-633.0;22.0;-655.0
5900;-105.0;30.0;-135.0
6000;-185.0;30.0;-215.0
6100;-13.0;42.0;-55.0
6200;-25.0;30.0;-55.0
6300;-25.0;30.0;-55.0
6400;-17.0;38.0;-55.0
6500;-137.0;38.0;-175.0
6600;47.0;102.0;-55.0
6700;-17.0;38.0;-55.0
6800;-601.0;-26.0;-575.0
6900;-9.0;46.0;-55.0
7000;-101.0;34.0;-135.0
7100;63.0;38.0;25.0
7200;27.0;2.0;25.0
7300;571.0;26.0;545.0
7400;-705.0;30.0;-735.0
7500;175.0;30.0;145.0
7600;86.5;61.5;25.0
7700;70.0;45.0;25.0
7800;74.5;49.5;25.0
7900;-50.0;45.0;-95.0
8000;-444.0;51.0;-495.0
8100;-367.0;48.0;-415.0
8200;33.0;48.0;-15.0
8300;-371.5;43.5;-415.0
8400;153.0;48.0;105.0
8500;-367.0;48.0;-415.0
8600;150.0;45.0;105.0
8700;151.5;46.5;105.0
8800;151.5;46.5;105.0
8900;33.0;48.0;-15.0
9000;193.0;48.0;145.0
9100;344.0;39.0;305.0
9200;353.0;48.0;305.0
9300;230.0;45.0;185.0
9400;230.0;45.0;185.0
9500;245.0;60.0;185.0
9600;128.0;63.0;65.0
9700;245.0;60.0;185.0
9800;251.0;66.0;185.0
9900;-149.0;66.0;-215.0
10000;291.0;66.0;225.0
10100;331.0;66.0;265.0
10200;335.5;70.5;265.0
10300;852.5;67.5;785.0
10400;448.0;63.0;385.0
10500;332.5;67.5;265.0
10600;331.0;66.0;265.0
10700;855.5;70.5;785.0
10800;331.0;66.0;265.0
10900;334.0;69.0;265.0
11000;363.5;58.5;305.0
11100;934.0;69.0;865.0
11200;411.0;66.0;345.0
11300;411.0;66.0;345.0
11400;415.5;70.5;345.0
11500;411.0;66.0;345.0
11600;411.0;66.0;345.0
11700;535.5;70.5;465.0
11800;411.0;66.0;345.0
11900;531.0;66.0;465.0
12000;451.0;66.0;385.0
12100;491.0;66.0;425.0
12200;495.5;70.5;425.0
12300;1011.0;66.0;945.0
12400;497.0;72.0;425.0
12500;497.0;72.0;425.0
12600;54.0;69.0;-15.0
12700;374.0;69.0;305.0
12800;-24.5;70.5;-95.0
12900;494.0;69.0;425.0
13000;534.0;69.0;465.0
13100;574.0;69.0;505.0
13200;577.0;72.0;505.0
13300;550.0;45.0;505.0
13400;574.0;69.0;505.0
13500;454.0;69.0;385.0
13600;574.0;69.0;505.0
13700;574.0;69.0;505.0
13800;550.0;45.0;505.0
13900;963.5;64.5;899.0
14000;740.0;69.0;671.0
14100;638.0;69.0;569.0
14200;635.0;66.0;569.0
14300;630.5;61.5;569.0
14400;435.0;66.0;369.0
14500;746.0;57.0;689.0
14600;1155.0;66.0;1089.0
14700;506.0;57.0;449.0
14800;635.0;66.0;569.0
14900;512.0;63.0;449.0
15000;666.0;57.0;609.0
15100;835.0;66.0;769.0
15200;715.0;66.0;649.0
15300;685.0;36.0;649.0
15400;715.0;66.0;649.0
15500;727.0;78.0;649.0
15600;835.0;66.0;769.0
15700;709.0;60.0;649.0
15800;712.0;63.0;649.0
15900;712.0;63.0;649.0
16000;752.0;63.0;689.0
16100;802.5;73.5;729.0
16200;795.0;66.0;729.0
16300;789.0;60.0;729.0
16400;792.0;63.0;729.0
16500;907.5;58.5;849.0
16600;789.0;60.0;729.0
16700;645.0;36.0;609.0
16800;789.0;60.0;729.0
16900;909.0;60.0;849.0
17000;272.0;63.0;209.0
17100;872.0;63.0;809.0
17200;752.0;63.0;689.0
