timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-113.5;0.0;-113.5
200;-230.0;0.0;-230.0
300;-250.0;0.0;-250.0
400;-510.0;0.0;-510.0
500;-321.5;0.0;-321.5
600;-470.0;0.0;-470.0
700;-451.5;0.0;-451.5
800;-913.0;0.0;-913.0
900;-503.5;0.0;-503.5
1000;-503.5;0.0;-503.5
1100;89.0;0.0;89.0
1200;-424.5;0.0;-424.5
1300;-424.5;0.0;-424.5
1400;-424.5;0.0;-424.5
1500;-306.0;0.0;-306.0
1600;-306.0;0.0;-306.0
1700;-938.0;0.0;-938.0
1800;-424.5;0.0;-424.5
1900;-424.5;0.0;-424.5
2000;-385.0;0.0;-385.0
2100;168.0;0.0;168.0
2200;-345.5;0.0;-345.5
2300;-227.0;0.0;-227.0
2400;-345.5;0.0;-345.5
2500;-69.0;0.0;-69.0
2600;-345.5;0.0;-345.5
2700;-345.5;0.0;-345.5
2800;-859.0;0.0;-859.0
2900;-345.5;0.0;-345.5
3000;-306.0;0.0;-306.0
3100;247.0;0.0;247.0
3200;-266.5;0.0;-266.5
3300;247.0;0.0;247.0
3400;-273.0;0.0;-273.0
3500;-273.0;0.0;-273.0
3600;-273.0;0.0;-273.0
3700;-273.0;0.0;-273.0
3800;-433.0;0.0;-433.0
3900;-273.0;0.0;-273.0
4000;-233.0;0.0;-233.0
4100;-713.0;0.0;-713.0
4200;-193.0;0.0;-193.0
4300;327.0;0.0;327.0
4400;-313.0;0.0;-313.0
4500;-193.0;0.0;-193.0
4600;-193.0;0.0;-193.0
4700;-73.0;0.0;-73.0
4800;-193.0;0.0;-193.0
4900;-73.0;0.0;-73.0
5000;-273.0;0.0;-273.0
5100;-113.0;0.0;-113.0
5200;-553.0;0.0;-553.0
5300;-113.0;0.0;-113.0
5400;7.0;0.0;7.0
5500;-113.0;0.0;-113.0
5600;-233.0;0.0;-233.0
5700;-113.0;0.0;-113.0
5800;-113.0;0.0;-113.0
5900;-113.0;0.0;-113.0
6000;-393.0;0.0;-393.0
6100;87.0;0.0;87.0
6200;-33.0;0.0;-33.0
6300;-33.0;0.0;-33.0
6400;87.0;0.0;87.0
6500;-33.0;0.0;-33.0
6600;-793.0;0.0;-793.0
6700;87.0;0.0;87.0
6800;-33.0;0.0;-33.0
6900;-33.0;0.0;-33.0
7000;7.0;0.0;7.0
7100;47.0;0.0;47.0
7200;47.0;0.0;47.0
7300;47.0;0.0;47.0
7400;47.0;0.0;47.0
7500;167.0;0.0;167.0
7600;47.0;0.0;47.0
7700;-73.0;0.0;-73.0
7800;47.0;0.0;47.0
7900;47.0;0.0;47.0
8000;207.0;0.0;207.0
8100;127.0;0.0;127.0
8200;127.0;0.0;127.0
8300;7.0;0.0;7.0
8400;7.0;0.0;7.0
8500;127.0;0.0;127.0
8600;169.5;42.5;127.0
8700;-353.0;40.0;-393.0
8800;167.0;40.0;127.0
8900;277.0;30.0;247.0
9000;242.0;75.0;167.0
9100;242.0;35.0;207.0
9200;234.5;27.5;207.0
9300;-198.0;35.0;-233.0
9400;202.0;-5.0;207.0
9500;242.0;35.0;207.0
9600;237.0;30.0;207.0
9700;222.0;15.0;207.0
9800;232.0;25.0;207.0
9900;232.0;25.0;207.0
10000;272.0;25.0;247.0
10100;317.0;30.0;287.0
10200;192.0;25.0;167.0
10300;312.0;25.0;287.0
10400;184.5;17.5;167.0
10500;312.0;25.0;287.0
10600;312.0;25.0;287.0
10700;312.0;25.0;287.0
10800;432.0;25.0;407.0
10900;307.0;20.0;287.0
11000;307.0;-20.0;327.0
11100;387.0;20.0;367.0
11200;397.0;30.0;367.0
11300;392.0;25.0;367.0
11400;397.0;30.0;367.0
11500;192.0;25.0;167.0
11600;392.0;25.0;367.0
11700;-123.0;30.0;-153.0
11800;392.0;25.0;367.0
11900;786.0;25.0;761.0
12000;421.0;30.0;391.0
12100;448.5;17.5;431.0
12200;496.0;65.0;431.0
12300;328.5;17.5;311.0
12400;451.0;20.0;431.0
12500;486.0;55.0;431.0
12600;587.5;156.5;431.0
