timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;10
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;11
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;9
800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;9
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;12
1400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;2
2800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;5
5200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9987;5
5200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
6100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;6
6200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
7500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;5
9500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
13200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
14900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
18700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
22100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;6
23100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;5
25300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;6
25800;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11029;3
27800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
29700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;4
30000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11032;3
30200;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11033;3
35400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11037;3
35900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
37100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11040;6
38100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11034;6
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;6
43700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11047;4
44800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11040;2
47100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;6
48700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11045;2
51200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;5
51700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;2
53400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;2
55400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
55900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
57700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;6
58000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;3
60200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;4
62000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;3
63900;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11067;7
64200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
64500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11061;7
69800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;4
71300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;6
72600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;6
73700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
74200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;2
77300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
78000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
80300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
83200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
85000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;6
89700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;8
90500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;4
90500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11093;7
91200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11097;7
91400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
91900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;3
92600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
93100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11096;6
94000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11096;4
94200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11100;2
95400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;6
97400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;6
97600;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11100;6
98800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11105;6
101600;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11104;6
101800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
101900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11108;6
102000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;2
105000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
108800;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11114;5
108900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11105;3
112400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11109;2
113400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
