timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-14.0;42.0;-56.0
100;-61.0;51.0;-112.0
200;-37.0;51.0;-88.0
300;-132.0;36.0;-168.0
400;-176.0;48.0;-224.0
500;-223.0;57.0;-280.0
600;-337.0;55.0;-392.0
700;-238.0;58.0;-296.0
800;-242.0;54.0;-296.0
900;-170.0;54.0;-224.0
1000;-240.0;56.0;-296.0
1100;-240.0;56.0;-296.0
1200;-152.0;72.0;-224.0
1300;-240.0;56.0;-296.0
1400;-256.0;40.0;-296.0
1500;-144.0;56.0;-200.0
1600;-192.0;56.0;-248.0
1700;-193.0;55.0;-248.0
1800;-186.0;62.0;-248.0
1900;-194.0;54.0;-248.0
2000;-194.0;54.0;-248.0
2100;-196.0;52.0;-248.0
2200;-196.0;52.0;-248.0
2300;-100.0;52.0;-152.0
2400;-101.0;51.0;-152.0
2500;-530.0;54.0;-584.0
2600;-143.0;57.0;-200.0
2700;-442.0;54.0;-496.0
2800;-108.0;52.0;-160.0
2900;173.0;53.0;120.0
3000;-22.0;54.0;-76.0
3100;-104.0;56.0;-160.0
3200;-104.0;56.0;-160.0
3300;-104.0;56.0;-160.0
3400;-104.0;56.0;-160.0
3500;-74.0;58.0;-132.0
3600;-27.0;77.0;-104.0
3700;-22.0;82.0;-104.0
3800;-77.0;27.0;-104.0
3900;-42.0;62.0;-104.0
4000;-22.0;82.0;-104.0
4100;-77.0;27.0;-104.0
4200;-37.0;67.0;-104.0
4300;-22.0;82.0;-104.0
4400;-37.0;67.0;-104.0
4500;-24.0;52.0;-76.0
4600;4.0;52.0;-48.0
4700;19.0;67.0;-48.0
4800;-116.5;89.5;-206.0
4900;11.0;67.0;-56.0
5000;-414.0;67.0;-481.0
5100;63.5;89.5;-26.0
5200;-391.5;89.5;-481.0
5300;56.0;82.0;-26.0
5400;18.5;44.5;-26.0
5500;148.5;44.5;104.0
5600;106.0;67.0;39.0
5700;106.0;67.0;39.0
5800;106.0;67.0;39.0
5900;91.0;52.0;39.0
6000;8.5;67.0;-58.5
6100;1.0;59.5;-58.5
6200;106.0;67.0;39.0
6300;128.5;89.5;39.0
6400;8.5;67.0;-58.5
6500;-845284.0;67.0;-845351.0
6600;-284.0;67.0;-351.0
6700;178.5;74.5;104.0
6800;171.0;67.0;104.0
6900;253.5;52.0;201.5
7000;171.0;67.0;104.0
7100;178.5;74.5;104.0
7200;122.5;18.5;104.0
7300;165.0;61.0;104.0
7400;165.0;61.0;104.0
7500;61.5;-75.0;136.5
7600;332.0;163.0;169.0
7700;230.0;61.0;169.0
7800;149.5;78.0;71.5
7900;111.0;-58.0;169.0
8000;327.5;61.0;266.5
8100;264.0;95.0;169.0
8200;272.5;103.5;169.0
8300;247.0;78.0;169.0
8400;247.0;78.0;169.0
8500;262.5;61.0;201.5
8600;295.0;61.0;234.0
8700;392.5;61.0;331.5
8800;401.0;69.5;331.5
8900;380.0;146.0;234.0
9000;159.0;-75.0;234.0
9100;241.0;7.0;234.0
9200;422.5;91.0;331.5
