timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-12.0;48.0;-60.0
100;-138.0;54.0;-192.0
200;-18.0;60.0;-78.0
300;-274.5;57.0;-331.5
400;-318.0;90.0;-408.0
500;111.0;60.0;51.0
600;-291.0;66.0;-357.0
700;-297.0;60.0;-357.0
800;-288.0;69.0;-357.0
900;-373.5;60.0;-433.5
1000;-373.5;60.0;-433.5
1100;-288.0;69.0;-357.0
1200;-303.0;54.0;-357.0
1300;-288.0;69.0;-357.0
1400;-297.0;60.0;-357.0
1500;-339.0;18.0;-357.0
1600;-223.0;83.0;-306.0
1700;-273.5;58.0;-331.5
1800;-281.0;25.0;-306.0
1900;-134.0;172.0;-306.0
2000;-246.0;60.0;-306.0
2100;-246.0;60.0;-306.0
2200;-246.0;60.0;-306.0
2300;-246.0;60.0;-306.0
2400;-239.0;67.0;-306.0
2500;-248.5;32.0;-280.5
2600;-209.0;46.0;-255.0
2700;-318.0;200.0;-518.0
2800;-163.0;60.0;-223.0
2900;88.5;46.0;42.5
3000;-237.5;74.0;-311.5
3100;-135.0;88.0;-223.0
3200;-163.0;60.0;-223.0
3300;-275.0;-52.0;-223.0
3400;-163.0;60.0;-223.0
3500;-133.5;60.0;-193.5
3600;-437.0;81.0;-518.0
3700;-83.0;81.0;-164.0
3800;-33.5;130.5;-164.0
3900;-83.0;81.0;-164.0
4000;-61.0;103.0;-164.0
4100;-50.0;114.0;-164.0
4200;30.5;106.0;-75.5
4300;-124.0;106.0;-230.0
4400;-124.0;106.0;-230.0
4500;80.0;205.0;-125.0
4600;-159.0;106.0;-265.0
4700;-63.0;97.0;-160.0
4800;-231.0;97.0;-328.0
4900;-81.5;92.5;-174.0
5000;-164.0;106.0;-270.0
5100;-44.0;106.0;-150.0
5200;676.0;106.0;570.0
5300;-44.0;106.0;-150.0
5400;-26.0;124.0;-150.0
5500;-75.0;115.0;-190.0
5600;45.0;115.0;-70.0
5700;-355.0;115.0;-470.0
5800;-453.0;97.0;-550.0
5900;156.0;106.0;50.0
6000;49.5;119.5;-70.0
6100;-36.0;34.0;-70.0
6200;-84.0;106.0;-190.0
6300;36.0;106.0;-70.0
6400;36.0;106.0;-70.0
6500;76.0;106.0;-30.0
6600;5.0;115.0;-110.0
6700;125.0;115.0;10.0
6800;5.0;115.0;-110.0
6900;-332.5;137.5;-470.0
7000;134.0;124.0;10.0
7100;125.0;115.0;10.0
7200;98.0;88.0;10.0
7300;-427.0;43.0;-470.0
7400;-346.0;124.0;-470.0
7500;13.0;43.0;-30.0
7600;625.0;55.0;570.0
7700;95.0;125.0;-30.0
7800;95.0;125.0;-30.0
7900;229.0;139.0;90.0
8000;321.0;111.0;210.0
8100;201.0;111.0;90.0
8200;201.0;111.0;90.0
8300;194.0;104.0;90.0
8400;143.0;13.0;130.0
8500;255.0;125.0;130.0
8600;295.0;125.0;170.0
8700;295.0;125.0;170.0
8800;189.0;139.0;50.0
8900;228.0;58.0;170.0
9000;275.5;105.5;170.0
9100;361.0;191.0;170.0
9200;285.0;115.0;170.0
9300;224.0;134.0;90.0
9400;99.0;9.0;90.0
9500;444.0;154.0;290.0
9600;955.0;225.0;730.0
9700;30.0;260.0;-230.0
9800;440.0;190.0;250.0
9900;475.0;225.0;250.0
10000;440.5;310.5;130.0
10100;152.0;-98.0;250.0
10200;453.0;203.0;250.0
10300;573.0;203.0;370.0
10400;474.5;224.5;250.0
10500;800.0;590.0;210.0
10600;499.0;289.0;210.0
10700;1022.0;332.0;690.0
10800;456.0;246.0;210.0
10900;576.0;246.0;330.0
11000;567.0;117.0;450.0
11100;800.0;590.0;210.0
11200;155.0;-55.0;210.0
11300;619.0;289.0;330.0
11400;619.0;289.0;330.0
11500;702.0;332.0;370.0
