timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-25.5;42.0;-67.5
100;-85.0;42.0;-127.0
200;-88.0;-12.0;-76.0
300;-108.5;45.0;-153.5
400;-183.5;35.0;-218.5
500;53.0;44.0;9.0
600;-122.0;44.0;-166.0
700;-176.5;42.0;-218.5
800;19777.5;20048.0;-270.5
900;-287.0;48.0;-335.0
1000;-221.5;49.0;-270.5
1100;-178.5;49.0;-227.5
1200;-181.5;46.0;-227.5
1300;-181.5;46.0;-227.5
1400;-181.5;46.0;-227.5
1500;-179.5;48.0;-227.5
1600;-179.5;48.0;-227.5
1700;-115.0;48.0;-163.0
1800;-108.0;55.0;-163.0
1900;-179.5;48.0;-227.5
2000;-158.0;48.0;-206.0
2100;-138.5;46.0;-184.5
2200;-136.5;48.0;-184.5
2300;-74.0;46.0;-120.0
2400;-138.5;46.0;-184.5
2500;-138.5;46.0;-184.5
2600;-138.5;46.0;-184.5
2700;-368.5;43.0;-411.5
2800;-108.5;48.0;-156.5
2900;128.5;30.0;98.5
3000;-85.0;46.0;-131.0
3100;-61.5;44.0;-105.5
3200;-59.5;46.0;-105.5
3300;14.0;43.0;-29.0
3400;-59.5;46.0;-105.5
3500;-59.5;46.0;-105.5
3600;-38.5;67.0;-105.5
3700;38.0;67.0;-29.0
3800;-53.5;52.0;-105.5
3900;293.0;67.0;226.0
4000;-15.5;64.5;-80.0
4100;-74.0;57.0;-131.0
4200;23.5;78.0;-54.5
4300;117.5;95.5;22.0
4400;-46.0;85.0;-131.0
4500;41.0;95.5;-54.5
4600;23.5;78.0;-54.5
4700;-46.0;85.0;-131.0
4800;-78.5;78.0;-156.5
4900;30.5;85.0;-54.5
5000;177.0;92.0;85.0
5100;-418.0;85.0;-503.0
5200;114.0;85.0;29.0
5300;170.0;141.0;29.0
5400;198.0;85.0;113.0
5500;107.0;78.0;29.0
5600;121.0;92.0;29.0
5700;-173.5;85.0;-258.5
5800;-272.0;78.0;-350.0
5900;131.5;85.0;46.5
6000;70.5;85.0;-14.5
6100;203.0;95.5;107.5
6200;192.5;85.0;107.5
6300;192.5;85.0;107.5
6400;199.5;92.0;107.5
6500;108.0;92.0;16.0
6600;255.5;148.0;107.5
6700;199.5;92.0;107.5
6800;-253.0;36.0;-289.0
6900;206.5;99.0;107.5
7000;135.0;88.5;46.5
7100;260.5;92.0;168.5
7200;229.0;60.5;168.5
7300;646.5;81.5;565.0
7400;-326.0;85.0;-411.0
7500;345.0;85.0;260.0
7600;292.0;123.5;168.5
7700;253.5;85.0;168.5
7800;264.0;95.5;168.5
7900;162.0;85.0;77.0
8000;-129.0;99.0;-228.0
8100;-75.0;92.0;-167.0
8200;230.0;92.0;138.0
8300;-85.5;81.5;-167.0
8400;321.5;92.0;229.5
8500;-75.0;92.0;-167.0
8600;314.5;85.0;229.5
8700;318.0;88.5;229.5
8800;318.0;88.5;229.5
8900;230.0;92.0;138.0
9000;352.0;92.0;260.0
9100;453.0;71.0;382.0
9200;474.0;92.0;382.0
9300;375.5;85.0;290.5
9400;417.5;127.0;290.5
9500;382.5;92.0;290.5
9600;326.0;127.0;199.0
9700;418.5;128.0;290.5
9800;416.5;126.0;290.5
9900;99.5;126.0;-26.5
10000;535.0;182.0;353.0
10100;569.5;182.0;387.5
10200;580.0;192.5;387.5
10300;1021.5;185.5;836.0
10400;666.0;175.0;491.0
10500;573.0;185.5;387.5
10600;569.5;182.0;387.5
10700;1028.5;192.5;836.0
10800;569.5;182.0;387.5
10900;576.5;189.0;387.5
11000;586.5;164.5;422.0
11100;1094.0;189.0;905.0
11200;638.5;182.0;456.5
11300;638.5;182.0;456.5
11400;649.0;192.5;456.5
11500;638.5;182.0;456.5
11600;638.5;182.0;456.5
11700;752.5;192.5;560.0
11800;638.5;182.0;456.5
11900;742.0;182.0;560.0
12000;673.0;182.0;491.0
12100;742.5;217.0;525.5
12200;760.5;235.0;525.5
12300;1191.0;217.0;974.0
12400;766.5;241.0;525.5
12500;766.5;241.0;525.5
12600;372.0;229.0;143.0
12700;660.0;229.0;431.0
12800;306.0;235.0;71.0
12900;768.0;229.0;539.0
13000;804.0;229.0;575.0
13100;840.0;229.0;611.0
13200;852.0;241.0;611.0
13300;744.0;133.0;611.0
13400;840.0;229.0;611.0
13500;732.0;229.0;503.0
13600;840.0;229.0;611.0
13700;840.0;229.0;611.0
13800;744.0;133.0;611.0
13900;1182.0;211.0;971.0
14000;1005.0;250.0;755.0
14100;933.0;250.0;683.0
14200;924.0;241.0;683.0
14300;910.5;227.5;683.0
14400;744.0;241.0;503.0
14500;1005.0;214.0;791.0
14600;1392.0;241.0;1151.0
14700;789.0;214.0;575.0
14800;924.0;241.0;683.0
14900;807.0;232.0;575.0
15000;933.0;214.0;719.0
15100;1174.0;311.0;863.0
15200;1066.0;311.0;755.0
15300;1076.0;321.0;755.0
15400;1066.0;311.0;755.0
15500;1032.0;277.0;755.0
15600;1184.0;321.0;863.0
15700;1098.0;343.0;755.0
15800;1087.0;332.0;755.0
15900;1087.0;332.0;755.0
16000;1123.0;332.0;791.0
16100;1120.5;293.5;827.0
16200;1148.0;321.0;827.0
16300;1170.0;343.0;827.0
16400;1159.0;332.0;827.0
16500;1283.5;348.5;935.0
16600;1170.0;343.0;827.0
