timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-139.5;48.0;-187.5
100;-219.0;54.0;-273.0
200;-15.0;60.0;-75.0
300;-207.0;57.0;-264.0
400;-237.0;90.0;-327.0
500;111.0;60.0;51.0
600;-219.0;66.0;-285.0
700;-225.0;60.0;-285.0
800;-216.0;69.0;-285.0
900;-288.0;60.0;-348.0
1000;-288.0;60.0;-348.0
1100;-216.0;69.0;-285.0
1200;-231.0;54.0;-285.0
1300;-216.0;69.0;-285.0
1400;-225.0;60.0;-285.0
1500;-267.0;18.0;-285.0
1600;-160.0;83.0;-243.0
1700;-206.0;58.0;-264.0
1800;-218.0;25.0;-243.0
1900;-71.0;172.0;-243.0
2000;-183.0;60.0;-243.0
2100;-183.0;60.0;-243.0
2200;-183.0;60.0;-243.0
2300;-183.0;60.0;-243.0
2400;-176.0;67.0;-243.0
2500;-190.0;32.0;-222.0
2600;-155.0;46.0;-201.0
2700;-219.0;200.0;-419.0
2800;-109.0;60.0;-169.0
2900;102.0;46.0;56.0
3000;-170.0;74.0;-244.0
3100;-81.0;88.0;-169.0
3200;-109.0;60.0;-169.0
3300;-221.0;-52.0;-169.0
3400;-109.0;60.0;-169.0
3500;-84.0;60.0;-144.0
3600;-338.0;81.0;-419.0
3700;-38.0;81.0;-119.0
3800;11.5;130.5;-119.0
3900;-38.0;81.0;-119.0
4000;-16.0;103.0;-119.0
4100;-5.0;114.0;-119.0
4200;62.0;106.0;-44.0
4300;-13.0;106.0;-119.0
4400;-13.0;106.0;-119.0
4500;161.0;205.0;-44.0
4600;-38.0;106.0;-144.0
4700;28.0;97.0;-69.0
4800;-72.0;97.0;-169.0
4900;23.5;92.5;-69.0
5000;-5.5;106.0;-111.5
5100;77.0;106.0;-29.0
5200;572.0;106.0;466.0
5300;77.0;106.0;-29.0
5400;95.0;124.0;-29.0
5500;58.5;115.0;-56.5
5600;141.0;115.0;26.0
5700;-139.0;115.0;-254.0
5800;-217.0;97.0;-314.0
5900;242.0;106.0;136.0
6000;165.5;119.5;46.0
6100;80.0;34.0;46.0
6200;62.0;106.0;-44.0
6300;152.0;106.0;46.0
6400;152.0;106.0;46.0
6500;182.0;106.0;76.0
6600;131.0;115.0;16.0
6700;221.0;115.0;106.0
6800;131.0;115.0;16.0
6900;-116.5;137.5;-254.0
7000;230.0;124.0;106.0
7100;221.0;115.0;106.0
7200;194.0;88.0;106.0
7300;-211.0;43.0;-254.0
7400;-130.0;124.0;-254.0
7500;119.0;43.0;76.0
7600;581.0;55.0;526.0
7700;201.0;125.0;76.0
7800;201.0;125.0;76.0
7900;305.0;139.0;166.0
8000;367.0;111.0;256.0
8100;277.0;111.0;166.0
8200;277.0;111.0;166.0
8300;270.0;104.0;166.0
8400;209.0;13.0;196.0
8500;321.0;125.0;196.0
8600;351.0;125.0;226.0
8700;351.0;125.0;226.0
8800;275.0;139.0;136.0
8900;284.0;58.0;226.0
9000;331.5;105.5;226.0
9100;417.0;191.0;226.0
9200;341.0;115.0;226.0
9300;300.0;134.0;166.0
9400;175.0;9.0;166.0
9500;470.0;154.0;316.0
9600;871.0;225.0;646.0
9700;186.0;260.0;-74.0
9800;476.0;190.0;286.0
9900;511.0;225.0;286.0
10000;506.5;310.5;196.0
10100;188.0;-98.0;286.0
10200;489.0;203.0;286.0
10300;579.0;203.0;376.0
10400;510.5;224.5;286.0
10500;846.0;590.0;256.0
10600;545.0;289.0;256.0
10700;948.0;332.0;616.0
10800;502.0;246.0;256.0
10900;592.0;246.0;346.0
11000;553.0;117.0;436.0
11100;846.0;590.0;256.0
11200;201.0;-55.0;256.0
11300;635.0;289.0;346.0
11400;635.0;289.0;346.0
11500;708.0;332.0;376.0
11600;716.5;310.5;406.0
11700;695.0;289.0;406.0
11800;695.0;289.0;406.0
11900;695.0;289.0;406.0
12000;695.0;289.0;406.0
12100;802.0;396.0;406.0
12200;730.0;324.0;406.0
12300;346.0;-60.0;406.0
12400;370.0;324.0;46.0
12500;760.0;324.0;436.0
12600;487.0;324.0;163.0
12700;635.5;252.0;383.5
12800;754.0;276.0;478.0
12900;707.5;324.0;383.5
13000;802.0;324.0;478.0
13100;944.5;372.0;572.5
13200;754.0;276.0;478.0
13300;802.0;324.0;478.0
13400;802.0;324.0;478.0
13500;833.5;324.0;509.5
13600;865.0;324.0;541.0
13700;865.0;324.0;541.0
13800;865.0;324.0;541.0
13900;1196.5;372.0;824.5
14000;433.0;-108.0;541.0
14100;1057.0;516.0;541.0
14200;841.0;300.0;541.0
14300;913.0;372.0;541.0
14400;763.0;348.0;415.0
14500;848.5;276.0;572.5
14600;1111.0;444.0;667.0
14700;895.0;228.0;667.0
14800;1072.0;468.0;604.0
14900;1024.0;420.0;604.0
15000;904.0;300.0;604.0
15100;851.0;625.0;226.0
15200;1172.0;568.0;604.0
15300;1210.0;606.0;604.0
15400;1153.0;549.0;604.0
15500;1300.5;728.0;572.5
15600;1297.0;630.0;667.0
15700;1283.0;616.0;667.0
15800;1227.0;560.0;667.0
15900;1311.0;644.0;667.0
16000;1349.5;588.0;761.5
16100;1325.0;658.0;667.0
16200;1297.0;630.0;667.0
16300;1255.0;588.0;667.0
16400;1255.0;588.0;667.0
16500;1328.5;630.0;698.5
16600;1318.0;588.0;730.0
16700;1724.0;616.0;1108.0
16800;1346.0;616.0;730.0
16900;1332.0;602.0;730.0
17000;1332.0;602.0;730.0
17100;1440.5;616.0;824.5
17200;1374.0;644.0;730.0
17300;1374.0;644.0;730.0
17400;1086.0;644.0;442.0
17500;1388.0;616.0;772.0
17600;1449.0;644.0;805.0
17700;1449.0;644.0;805.0
17800;1477.0;672.0;805.0
17900;1449.0;644.0;805.0
18000;1449.0;644.0;805.0
18100;1225.0;420.0;805.0
18200;1421.0;616.0;805.0
18300;1421.0;616.0;805.0
18400;1407.0;602.0;805.0
18500;1524.0;686.0;838.0
18600;1139.0;664.0;475.0
18700;1579.0;642.0;937.0
18800;1513.0;642.0;871.0
18900;2041.0;576.0;1465.0
19000;1491.0;620.0;871.0
19100;1513.0;642.0;871.0
19200;1535.0;664.0;871.0
19300;1546.0;675.0;871.0
19400;1601.0;631.0;970.0
19500;1546.0;642.0;904.0
19600;1645.0;642.0;1003.0
19700;1645.0;642.0;1003.0
19800;1431.0;494.0;937.0
19900;1613.0;676.0;937.0
20000;1613.0;676.0;937.0
20100;1613.0;676.0;937.0
20200;1613.0;676.0;937.0
20300;1725.0;689.0;1036.0
20400;1587.0;650.0;937.0
20500;1620.0;650.0;970.0
20600;1679.0;676.0;1003.0
20700;1627.0;624.0;1003.0
20800;1653.0;650.0;1003.0
20900;1554.0;650.0;904.0
21000;1752.0;650.0;1102.0
21100;1614.0;611.0;1003.0
21200;1653.0;650.0;1003.0
21300;1653.0;650.0;1003.0
21400;1679.0;676.0;1003.0
21500;1764.0;728.0;1036.0
21600;1758.0;689.0;1069.0
21700;1719.0;650.0;1069.0
21800;-725551.0;832.0;-726383.0
21900;1485.0;416.0;1069.0
22000;1667.0;598.0;1069.0
22100;1693.0;624.0;1069.0
22200;1766.0;598.0;1168.0
22300;1500.0;497.0;1003.0
22400;1800.0;632.0;1168.0
22500;2163.0;632.0;1531.0
22600;2007.0;872.0;1135.0
22700;1857.0;722.0;1135.0
22800;1767.0;632.0;1135.0
22900;1767.0;632.0;1135.0
23000;1694.0;632.0;1062.0
23100;1334.0;632.0;702.0
23200;1533.0;461.0;1072.0
23300;1792.0;609.0;1183.0
23400;1884.5;701.5;1183.0
23500;1496.0;350.0;1146.0
23600;1884.5;627.5;1257.0
23700;2310.0;609.0;1701.0
23800;2273.0;1016.0;1257.0
23900;1931.0;674.0;1257.0
24000;1931.0;674.0;1257.0
24100;1931.0;674.0;1257.0
24200;1820.0;674.0;1146.0
24300;2000.0;743.0;1257.0
24400;1649.0;392.0;1257.0
24500;2091.0;797.0;1294.0
