timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9983;6
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;25
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
1500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
1800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10999;8
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;3
4200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;2
5000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10997;5
5700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11002;5
7600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;5
8900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;5
9400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;10
9600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;6
10000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;8
12100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;5
12600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;3
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;8
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
17400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11014;3
18500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;6
19800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
22300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
23000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11015;4
23100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11019;4
23200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
23900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;4
24300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;4
24400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;9
24600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;3
25100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
25500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11022;6
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
30400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;2
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
34000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
34400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11042;3
34500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
35700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11041;7
35800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11032;7
36500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;3
37800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;8
37900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
38400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;3
38400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11035;3
39100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;6
39900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;7
41500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
41800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;5
42800;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11051;5
43000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11039;5
44200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;8
44800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;8
45200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;6
46500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;9
49400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
50900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;5
53800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
54600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9987;6
57000;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11062;4
58100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;9
58400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;3
59500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;2
61600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
61700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11067;6
62000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;6
63700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;2
64300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11060;3
64900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;4
65300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;2
65500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
70000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11066;6
71500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11068;1
72300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;10
72800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
76500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;8
77300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;4
77800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
80300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;4
83600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;2
83700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;2
84400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;2
84600;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11090;6
85500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;7
85700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;3
85900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
87400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11082;3
87600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;5
87800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;5
87900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
88300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
90200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;10
90700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10014;2
90800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;6
91100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;3
91700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11088;3
92500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11100;7
93000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;8
95100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11091;7
95900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;3
96900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;6
96900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;8
97200;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11102;7
97400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11094;5
98700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
105900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;5
107000;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11112;7
107200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;3
111600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;5
114700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;3
115100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;9
116100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;8
117500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11112;6
119100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;10
121500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;5
122000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;10
122300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
122400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11127;7
122600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;9
122900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11119;8
124400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
124500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;2
126400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;6
126500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;6
126800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;5
127500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;10
127800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;2
129500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11135;3
129600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11126;5
130300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;2
131100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11136;4
131400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;2
132400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
134400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;11139;4
137700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;3
138000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11130;4
139400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;6
139400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;5
142000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
142200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;6
143700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
146700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;6
149100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
149500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;9
153200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;5
154600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
155300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;10
155500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;6
155700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
155800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
158200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;5
164200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11160;4
165300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;5
165500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;4
169400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;8
172700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;4
177700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;10
181600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;2
182700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
184100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
184700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;9
