timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;42.0;42.0;0.0
100;42.0;42.0;0.0
200;-12.0;-12.0;0.0
300;45.0;45.0;0.0
400;35.0;35.0;0.0
500;44.0;44.0;0.0
600;-1.0;44.0;-45.0
700;-16.5;42.0;-58.5
800;19989.5;20048.0;-58.5
900;-24.0;48.0;-72.0
1000;-9.5;49.0;-58.5
1100;-0.5;49.0;-49.5
1200;-3.5;46.0;-49.5
1300;-3.5;46.0;-49.5
1400;-3.5;46.0;-49.5
1500;-1.5;48.0;-49.5
1600;-1.5;48.0;-49.5
1700;12.0;48.0;-36.0
1800;19.0;55.0;-36.0
1900;-1.5;48.0;-49.5
2000;3.0;48.0;-45.0
2100;5.5;46.0;-40.5
2200;7.5;48.0;-40.5
2300;19.0;46.0;-27.0
2400;5.5;46.0;-40.5
2500;5.5;46.0;-40.5
2600;5.5;46.0;-40.5
2700;-54.5;43.0;-97.5
2800;35.5;48.0;-12.5
2900;102.5;30.0;72.5
3000;42.0;46.0;-4.0
3100;48.5;44.0;4.5
3200;50.5;46.0;4.5
3300;73.0;43.0;30.0
3400;50.5;46.0;4.5
3500;50.5;46.0;4.5
3600;71.5;67.0;4.5
3700;97.0;67.0;30.0
3800;56.5;52.0;4.5
3900;182.0;67.0;115.0
4000;77.5;64.5;13.0
4100;53.0;57.0;-4.0
4200;99.5;78.0;21.5
4300;142.5;95.5;47.0
4400;81.0;85.0;-4.0
4500;117.0;95.5;21.5
4600;99.5;78.0;21.5
4700;81.0;85.0;-4.0
4800;47.5;78.0;-30.5
4900;96.5;85.0;11.5
5000;183.0;92.0;91.0
5100;-97.0;85.0;-182.0
5200;150.0;85.0;65.0
5300;206.0;141.0;65.0
5400;189.0;85.0;104.0
5500;143.0;78.0;65.0
5600;157.0;92.0;65.0
5700;12.5;85.0;-72.5
5800;-41.0;78.0;-119.0
5900;167.5;85.0;82.5
6000;136.5;85.0;51.5
6100;209.0;95.5;113.5
6200;198.5;85.0;113.5
6300;198.5;85.0;113.5
6400;205.5;92.0;113.5
6500;159.0;92.0;67.0
6600;261.5;148.0;113.5
6700;205.5;92.0;113.5
6800;-52.0;36.0;-88.0
6900;212.5;99.0;113.5
7000;171.0;88.5;82.5
7100;236.5;92.0;144.5
7200;205.0;60.5;144.5
7300;427.5;81.5;346.0
7400;-65.0;85.0;-150.0
7500;276.0;85.0;191.0
7600;268.0;123.5;144.5
7700;229.5;85.0;144.5
7800;240.0;95.5;144.5
7900;183.0;85.0;98.0
8000;42.0;99.0;-57.0
8100;66.0;92.0;-26.0
8200;221.0;92.0;129.0
8300;55.5;81.5;-26.0
8400;267.5;92.0;175.5
8500;66.0;92.0;-26.0
8600;260.5;85.0;175.5
8700;264.0;88.5;175.5
8800;264.0;88.5;175.5
8900;221.0;92.0;129.0
9000;283.0;92.0;191.0
9100;324.0;71.0;253.0
9200;345.0;92.0;253.0
9300;291.5;85.0;206.5
9400;333.5;127.0;206.5
9500;298.5;92.0;206.5
9600;287.0;127.0;160.0
9700;334.5;128.0;206.5
9800;332.5;126.0;206.5
9900;165.5;126.0;39.5
10000;436.0;182.0;254.0
10100;455.5;182.0;273.5
10200;466.0;192.5;273.5
10300;712.5;185.5;527.0
10400;507.0;175.0;332.0
10500;459.0;185.5;273.5
10600;455.5;182.0;273.5
10700;719.5;192.5;527.0
10800;455.5;182.0;273.5
10900;462.5;189.0;273.5
11000;457.5;164.5;293.0
11100;755.0;189.0;566.0
11200;494.5;182.0;312.5
11300;494.5;182.0;312.5
11400;505.0;192.5;312.5
11500;494.5;182.0;312.5
11600;494.5;182.0;312.5
11700;563.5;192.5;371.0
11800;494.5;182.0;312.5
11900;553.0;182.0;371.0
12000;514.0;182.0;332.0
12100;568.5;217.0;351.5
12200;586.5;235.0;351.5
12300;822.0;217.0;605.0
12400;592.5;241.0;351.5
12500;592.5;241.0;351.5
12600;363.0;229.0;134.0
12700;531.0;229.0;302.0
12800;327.0;235.0;92.0
12900;594.0;229.0;365.0
13000;615.0;229.0;386.0
13100;636.0;229.0;407.0
13200;648.0;241.0;407.0
13300;540.0;133.0;407.0
13400;636.0;229.0;407.0
13500;573.0;229.0;344.0
13600;636.0;229.0;407.0
13700;636.0;229.0;407.0
13800;540.0;133.0;407.0
13900;828.0;211.0;617.0
14000;741.0;250.0;491.0
14100;699.0;250.0;449.0
14200;690.0;241.0;449.0
14300;676.5;227.5;449.0
14400;585.0;241.0;344.0
14500;726.0;214.0;512.0
14600;963.0;241.0;722.0
14700;600.0;214.0;386.0
14800;690.0;241.0;449.0
14900;618.0;232.0;386.0
15000;684.0;214.0;470.0
15100;865.0;311.0;554.0
15200;802.0;311.0;491.0
15300;812.0;321.0;491.0
15400;802.0;311.0;491.0
15500;768.0;277.0;491.0
15600;875.0;321.0;554.0
15700;834.0;343.0;491.0
15800;823.0;332.0;491.0
15900;823.0;332.0;491.0
16000;844.0;332.0;512.0
16100;826.5;293.5;533.0
16200;854.0;321.0;533.0
16300;876.0;343.0;533.0
16400;865.0;332.0;533.0
16500;944.5;348.5;596.0
16600;876.0;343.0;533.0
16700;901.0;431.0;470.0
16800;876.0;343.0;533.0
16900;939.0;343.0;596.0
17000;592.0;332.0;260.0
17100;907.0;332.0;575.0
17200;844.0;332.0;512.0
17300;634.0;332.0;302.0
17400;971.0;321.0;650.0
17500;914.5;332.0;582.5
17600;914.5;332.0;582.5
17700;982.0;332.0;650.0
17800;836.0;321.0;515.0
17900;914.5;332.0;582.5
18000;1004.5;332.0;672.5
18100;1010.5;315.5;695.0
18200;959.5;332.0;627.5
18300;970.5;343.0;627.5
18400;948.5;321.0;627.5
18500;990.5;363.0;627.5
18600;1058.0;363.0;695.0
18700;1117.5;422.5;695.0
18800;990.5;363.0;627.5
18900;982.5;422.5;560.0
19000;996.0;346.0;650.0
19100;1035.5;363.0;672.5
19200;1052.5;380.0;672.5
19300;1052.5;380.0;672.5
19400;1052.5;380.0;672.5
19500;985.0;380.0;605.0
19600;985.0;380.0;605.0
19700;785.5;405.5;380.0
19800;1136.0;463.5;672.5
19900;974.5;392.0;582.5
20000;1019.5;392.0;627.5
20100;1177.0;392.0;785.0
20200;1389.0;379.0;1010.0
20300;836.5;411.5;425.0
20400;1122.5;405.0;717.5
20500;1122.5;405.0;717.5
20600;1122.5;405.0;717.5
20700;1135.5;418.0;717.5
20800;1190.0;405.0;785.0
20900;1122.5;405.0;717.5
21000;1132.0;392.0;740.0
21100;875.0;405.0;470.0
21200;1206.5;444.0;762.5
21300;1154.5;392.0;762.5
21400;1063.5;301.0;762.5
21500;1109.0;346.5;762.5
21600;1154.5;392.0;762.5
21700;1154.5;392.0;762.5
21800;1222.0;392.0;830.0
21900;1222.0;392.0;830.0
22000;1073.0;288.0;785.0
22100;1199.5;392.0;807.5
22200;1206.0;398.5;807.5
22300;1583.0;483.0;1100.0
22400;1199.5;392.0;807.5
22500;1329.5;522.0;807.5
22600;1186.5;379.0;807.5
22700;1154.0;346.5;807.5
22800;1212.5;405.0;807.5
22900;1199.5;392.0;807.5
23000;1246.0;392.0;854.0
23100;997.0;392.0;605.0
23200;1353.5;457.0;896.5
23300;1301.5;405.0;896.5
23400;1652.5;411.5;1241.0
23500;1633.0;392.0;1241.0
23600;1308.0;411.5;896.5
23700;1301.5;405.0;896.5
23800;1301.5;405.0;896.5
23900;1421.5;445.5;976.0
24000;1434.5;432.0;1002.5
24100;1302.0;432.0;870.0
24200;1377.0;427.5;949.5
24300;1404.5;455.0;949.5
24400;1412.5;463.0;949.5
24500;1438.5;489.0;949.5
24600;1453.5;504.0;949.5
24700;1450.0;500.5;949.5
24800;1381.0;511.0;870.0
24900;1460.5;511.0;949.5
25000;1494.0;518.0;976.0
25100;1513.5;511.0;1002.5
25200;1649.0;567.0;1082.0
25300;1513.5;511.0;1002.5
25400;1513.5;511.0;1002.5
25500;1223.0;518.0;705.0
25600;1573.0;455.0;1118.0
25700;1540.5;511.0;1029.5
25800;1455.5;514.5;941.0
25900;1452.0;511.0;941.0
26000;1488.5;518.0;970.5
26100;1606.5;518.0;1088.5
26200;1216.0;511.0;705.0
26300;1688.0;511.0;1177.0
26400;1507.5;507.5;1000.0
26500;1901.5;518.0;1383.5
26600;1751.0;574.0;1177.0
26700;1606.5;518.0;1088.5
26800;1636.5;459.5;1177.0
26900;1232.0;527.0;705.0
27000;1733.5;527.0;1206.5
27100;1554.5;407.0;1147.5
27200;1674.5;527.0;1147.5
27300;1763.0;527.0;1236.0
27400;1674.5;527.0;1147.5
27500;1674.5;527.0;1147.5
27600;1674.5;527.0;1147.5
27700;1674.5;527.0;1147.5
27800;1539.5;392.0;1147.5
27900;1748.0;512.0;1236.0
28000;1663.5;575.0;1088.5
28100;1726.5;520.0;1206.5
28200;1737.5;531.0;1206.5
28300;1737.5;531.0;1206.5
28400;1632.5;514.5;1118.0
28500;1748.5;542.0;1206.5
28600;1721.0;514.5;1206.5
28700;1866.5;542.0;1324.5
28800;1737.5;531.0;1206.5
28900;2121.0;531.0;1590.0
29000;1783.5;547.5;1236.0
29100;1973.0;619.0;1354.0
29200;2180.0;531.0;1649.0
29300;1796.5;531.0;1265.5
29400;1796.5;531.0;1265.5
29500;2180.0;531.0;1649.0
29600;1807.5;542.0;1265.5
29700;1785.5;520.0;1265.5
29800;1884.5;619.0;1265.5
29900;1796.5;531.0;1265.5
30000;1662.0;514.5;1147.5
30100;1855.5;531.0;1324.5
30200;1855.5;531.0;1324.5
30300;1872.0;547.5;1324.5
30400;1941.5;617.0;1324.5
30500;1856.0;531.5;1324.5
30600;1869.5;545.0;1324.5
30700;1878.5;554.0;1324.5
30800;1869.5;545.0;1324.5
30900;1781.0;545.0;1236.0
31000;1899.0;545.0;1354.0
31100;1919.5;536.0;1383.5
31200;1826.5;531.5;1295.0
31300;1928.5;545.0;1383.5
31400;2312.0;545.0;1767.0
31500;1928.5;545.0;1383.5
31600;1928.5;545.0;1383.5
31700;1840.0;545.0;1295.0
31800;2017.0;545.0;1472.0
31900;1915.0;531.5;1383.5
32000;1856.0;531.5;1324.5
32100;1987.5;545.0;1442.5
32200;1996.5;554.0;1442.5
32300;1992.0;549.5;1442.5
32400;1992.0;549.5;1442.5
32500;2282.5;545.0;1737.5
32600;1915.5;473.0;1442.5
32700;1890.0;536.0;1354.0
32800;1914.5;472.0;1442.5
32900;2024.5;582.0;1442.5
33000;2296.0;824.0;1472.0
33100;2172.0;582.0;1590.0
33200;2083.5;582.0;1501.5
33300;2525.0;758.0;1767.0
33400;2105.5;604.0;1501.5
33500;2039.0;626.0;1413.0
33600;1811.5;428.0;1383.5
33700;2083.5;582.0;1501.5
33800;2094.5;593.0;1501.5
33900;2105.5;604.0;1501.5
34000;2206.0;675.0;1531.0
34100;2250.5;690.0;1560.5
34200;2220.5;660.0;1560.5
34300;2220.5;660.0;1560.5
34400;2220.5;660.0;1560.5
34500;2476.0;532.0;1944.0
34600;2660.0;716.0;1944.0
34700;2276.5;716.0;1560.5
34800;2188.0;716.0;1472.0
34900;2276.5;716.0;1560.5
35000;-707759.0;716.0;-708475.0
35100;2312.5;693.0;1619.5
35200;2247.0;716.0;1531.0
35300;2224.0;693.0;1531.0
35400;2324.0;704.5;1619.5
35500;2719.0;716.0;2003.0
35600;2335.5;716.0;1619.5
35700;2733.0;716.0;2017.0
35800;2213.0;716.0;1497.0
35900;2508.0;716.0;1792.0
36000;2449.0;716.0;1733.0
36100;2721.0;693.0;2028.0
36200;2478.5;716.0;1762.5
36300;2325.0;946.0;1379.0
36400;2639.5;877.0;1762.5
36500;2502.5;740.0;1762.5
36600;2482.5;720.0;1762.5
36700;2482.5;720.0;1762.5
36800;2482.5;720.0;1762.5
36900;2482.5;720.0;1762.5
37000;2512.0;720.0;1792.0
37100;2541.5;720.0;1821.5
37200;2511.5;690.0;1821.5
37300;2630.0;720.0;1910.0
37400;2521.5;700.0;1821.5
37500;2541.5;720.0;1821.5
37600;2433.0;700.0;1733.0
37700;2650.0;740.0;1910.0
37800;2637.5;816.0;1821.5
37900;2585.5;764.0;1821.5
38000;2647.0;796.0;1851.0
38100;2529.0;796.0;1733.0
38200;2676.5;796.0;1880.5
38300;2548.5;668.0;1880.5
38400;2345.5;797.5;1548.0
38500;2761.0;817.0;1944.0
38600;2741.5;797.5;1944.0
38700;2640.0;804.0;1836.0
38800;2646.5;810.5;1836.0
38900;2286.5;810.5;1476.0
39000;2299.5;823.5;1476.0
39100;2931.0;915.0;2016.0
39200;2882.0;866.0;2016.0
39300;2875.0;859.0;2016.0
39400;2407.0;859.0;1548.0
39500;2931.0;915.0;2016.0
39600;2875.0;859.0;2016.0
39700;2868.0;852.0;2016.0
39800;2889.0;873.0;2016.0
39900;2931.0;915.0;2016.0
40000;2967.0;915.0;2052.0
40100;2895.0;915.0;1980.0
40200;3003.0;915.0;2088.0
40300;2895.0;915.0;1980.0
40400;3111.0;915.0;2196.0
40500;2535.0;915.0;1620.0
40600;3003.0;915.0;2088.0
40700;3003.0;915.0;2088.0
40800;3003.0;915.0;2088.0
40900;3003.0;915.0;2088.0
41000;3039.0;915.0;2124.0
41100;3075.0;915.0;2160.0
41200;3183.0;915.0;2268.0
41300;3075.0;915.0;2160.0
41400;3183.0;915.0;2268.0
41500;3578.0;950.0;2628.0
41600;3115.0;955.0;2160.0
41700;3583.0;955.0;2628.0
41800;3183.0;915.0;2268.0
41900;3110.0;950.0;2160.0
42000;2966.0;950.0;2016.0
42100;3172.0;940.0;2232.0
42200;3094.0;970.0;2124.0
42300;3866.0;950.0;2916.0
42400;3197.0;965.0;2232.0
42500;3137.0;905.0;2232.0
42600;3192.0;960.0;2232.0
42700;3172.0;940.0;2232.0
42800;3162.0;930.0;2232.0
42900;3275.0;935.0;2340.0
43000;2850.0;990.0;1860.0
43100;3290.0;950.0;2340.0
43200;3275.0;935.0;2340.0
43300;3810.0;950.0;2860.0
43400;3210.0;870.0;2340.0
