timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;48.0;48.0;0.0
100;54.0;54.0;0.0
200;-6.0;60.0;-66.0
300;-148.5;57.0;-205.5
400;-162.0;90.0;-252.0
500;87.0;60.0;27.0
600;-307.0;66.0;-373.0
700;-313.0;60.0;-373.0
800;-304.0;69.0;-373.0
900;-388.0;60.0;-448.0
1000;-388.0;60.0;-448.0
1100;-304.0;69.0;-373.0
1200;-319.0;54.0;-373.0
1300;-304.0;69.0;-373.0
1400;-313.0;60.0;-373.0
1500;-355.0;18.0;-373.0
1600;-240.0;83.0;-323.0
1700;-290.0;58.0;-348.0
1800;-298.0;25.0;-323.0
1900;-151.0;172.0;-323.0
2000;-263.0;60.0;-323.0
2100;-263.0;60.0;-323.0
2200;-263.0;60.0;-323.0
2300;-263.0;60.0;-323.0
2400;-256.0;67.0;-323.0
2500;-266.0;32.0;-298.0
2600;-227.0;46.0;-273.0
2700;-331.0;200.0;-531.0
2800;-181.0;60.0;-241.0
2900;66.0;46.0;20.0
3000;-254.0;74.0;-328.0
3100;-153.0;88.0;-241.0
3200;-181.0;60.0;-241.0
3300;-293.0;-52.0;-241.0
3400;-181.0;60.0;-241.0
3500;-152.0;60.0;-212.0
3600;-450.0;81.0;-531.0
3700;-102.0;81.0;-183.0
3800;-52.5;130.5;-183.0
3900;-102.0;81.0;-183.0
4000;-80.0;103.0;-183.0
4100;-69.0;114.0;-183.0
4200;10.0;106.0;-96.0
4300;-143.0;106.0;-249.0
4400;-143.0;106.0;-249.0
4500;59.5;205.0;-145.5
4600;-177.5;106.0;-283.5
4700;-83.0;97.0;-180.0
4800;-249.0;97.0;-346.0
4900;-101.5;92.5;-194.0
5000;-176.0;106.0;-282.0
5100;-56.0;106.0;-162.0
5200;664.0;106.0;558.0
5300;-56.0;106.0;-162.0
5400;-38.0;124.0;-162.0
5500;-87.0;115.0;-202.0
5600;33.0;115.0;-82.0
5700;-367.0;115.0;-482.0
5800;-465.0;97.0;-562.0
5900;144.0;106.0;38.0
6000;37.5;119.5;-82.0
6100;-48.0;34.0;-82.0
