timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;6
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;8
400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;10
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;9
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;9
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11999;8
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12009;3
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;3
4200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
5000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11999;5
5700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12002;5
9600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
9900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;6
10000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
12100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;5
14000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;3
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;8
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;10
18500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;6
19800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
23900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
24300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
24400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
24600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;3
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;8
28000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
30400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;2
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;4
34000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
34400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12040;3
34500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
35700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12044;7
35800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12032;7
36500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;3
37800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
37900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
38400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;3
38400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12034;3
39100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;6
39900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
41500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
41800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;5
42800;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12048;5
43000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12039;5
45200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
46500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;9
49400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;9
50900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;5
53800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
54600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;6
56400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;3
57000;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12066;4
57300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
58400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9988;3
59500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;2
59700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;3
60300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;9
62000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;6
63700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;2
64300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12060;3
64900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;4
65300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;2
65500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
68000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;3
68800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
70000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12066;1
72300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;10
72800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;5
74000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;4
76300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
