timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;42.0;42.0;0.0
100;42.0;42.0;0.0
200;-12.0;-12.0;0.0
300;45.0;45.0;0.0
400;35.0;35.0;0.0
500;44.0;44.0;0.0
600;44.0;44.0;0.0
700;42.0;42.0;0.0
800;20048.0;20048.0;0.0
900;48.0;48.0;0.0
1000;49.0;49.0;0.0
1100;49.0;49.0;0.0
1200;46.0;46.0;0.0
1300;46.0;46.0;0.0
1400;46.0;46.0;0.0
1500;48.0;48.0;0.0
1600;48.0;48.0;0.0
1700;48.0;48.0;0.0
1800;55.0;55.0;0.0
1900;48.0;48.0;0.0
2000;48.0;48.0;0.0
2100;46.0;46.0;0.0
2200;48.0;48.0;0.0
2300;46.0;46.0;0.0
2400;46.0;46.0;0.0
2500;46.0;46.0;0.0
2600;46.0;46.0;0.0
2700;-95.5;43.0;-138.5
2800;4.5;48.0;-43.5
2900;81.5;30.0;51.5
3000;12.0;46.0;-34.0
3100;19.5;44.0;-24.5
3200;21.5;46.0;-24.5
3300;47.0;43.0;4.0
3400;21.5;46.0;-24.5
3500;21.5;46.0;-24.5
3600;42.5;67.0;-24.5
3700;71.0;67.0;4.0
3800;27.5;52.0;-24.5
3900;166.0;67.0;99.0
4000;49.5;64.5;-15.0
4100;23.0;57.0;-34.0
4200;72.5;78.0;-5.5
4300;118.5;95.5;23.0
4400;51.0;85.0;-34.0
4500;90.0;95.5;-5.5
4600;72.5;78.0;-5.5
4700;51.0;85.0;-34.0
4800;-77.0;78.0;-155.0
4900;-2.0;85.0;-87.0
5000;110.5;92.0;18.5
5100;-306.0;85.0;-391.0
5200;64.5;85.0;-20.5
5300;120.5;141.0;-20.5
5400;123.0;85.0;38.0
5500;57.5;78.0;-20.5
5600;71.5;92.0;-20.5
5700;-138.0;85.0;-223.0
5800;-211.0;78.0;-289.0
5900;82.0;85.0;-3.0
6000;38.0;85.0;-47.0
6100;136.5;95.5;41.0
6200;126.0;85.0;41.0
6300;126.0;85.0;41.0
6400;133.0;92.0;41.0
6500;67.0;92.0;-25.0
6600;189.0;148.0;41.0
6700;133.0;92.0;41.0
6800;-209.0;36.0;-245.0
6900;140.0;99.0;41.0
7000;85.5;88.5;-3.0
7100;177.0;92.0;85.0
7200;145.5;60.5;85.0
7300;452.5;81.5;371.0
7400;-248.0;85.0;-333.0
7500;236.0;85.0;151.0
7600;208.5;123.5;85.0
7700;170.0;85.0;85.0
7800;180.5;95.5;85.0
7900;104.0;85.0;19.0
8000;-102.0;99.0;-201.0
8100;-65.0;92.0;-157.0
8200;155.0;92.0;63.0
8300;-75.5;81.5;-157.0
8400;221.0;92.0;129.0
8500;-65.0;92.0;-157.0
8600;214.0;85.0;129.0
8700;217.5;88.5;129.0
8800;217.5;88.5;129.0
8900;155.0;92.0;63.0
9000;243.0;92.0;151.0
9100;310.0;71.0;239.0
9200;331.0;92.0;239.0
9300;258.0;85.0;173.0
9400;300.0;127.0;173.0
9500;265.0;92.0;173.0
9600;234.0;127.0;107.0
9700;301.0;128.0;173.0
9800;299.0;126.0;173.0
9900;-71.0;126.0;-197.0
10000;337.0;182.0;155.0
10100;369.0;182.0;187.0
10200;379.5;192.5;187.0
10300;788.5;185.5;603.0
10400;458.0;175.0;283.0
10500;372.5;185.5;187.0
10600;369.0;182.0;187.0
10700;795.5;192.5;603.0
10800;369.0;182.0;187.0
10900;376.0;189.0;187.0
11000;383.5;164.5;219.0
11100;856.0;189.0;667.0
11200;433.0;182.0;251.0
11300;433.0;182.0;251.0
11400;443.5;192.5;251.0
11500;433.0;182.0;251.0
11600;433.0;182.0;251.0
11700;539.5;192.5;347.0
11800;433.0;182.0;251.0
11900;529.0;182.0;347.0
12000;465.0;182.0;283.0
12100;532.0;217.0;315.0
12200;550.0;235.0;315.0
12300;948.0;217.0;731.0
12400;556.0;241.0;315.0
12500;556.0;241.0;315.0
12600;189.0;229.0;-40.0
12700;457.0;229.0;228.0
12800;128.0;235.0;-107.0
12900;557.5;229.0;328.5
13000;591.0;229.0;362.0
13100;624.5;229.0;395.5
13200;636.5;241.0;395.5
13300;528.5;133.0;395.5
13400;624.5;229.0;395.5
13500;524.0;229.0;295.0
13600;624.5;229.0;395.5
13700;624.5;229.0;395.5
13800;528.5;133.0;395.5
13900;941.5;211.0;730.5
14000;779.5;250.0;529.5
14100;712.5;250.0;462.5
14200;703.5;241.0;462.5
14300;690.0;227.5;462.5
14400;492.0;241.0;251.0
14500;777.0;214.0;563.0
14600;1194.0;241.0;953.0
14700;543.0;214.0;329.0
14800;687.0;241.0;446.0
14900;561.0;232.0;329.0
15000;699.0;214.0;485.0
15100;952.0;311.0;641.0
15200;835.0;311.0;524.0
15300;845.0;321.0;524.0
15400;835.0;311.0;524.0
15500;801.0;277.0;524.0
15600;962.0;321.0;641.0
15700;867.0;343.0;524.0
15800;856.0;332.0;524.0
15900;856.0;332.0;524.0
16000;895.0;332.0;563.0
16100;895.5;293.5;602.0
16200;923.0;321.0;602.0
16300;945.0;343.0;602.0
16400;934.0;332.0;602.0
16500;1067.5;348.5;719.0
16600;945.0;343.0;602.0
16700;916.0;431.0;485.0
16800;945.0;343.0;602.0
16900;1062.0;343.0;719.0
17000;427.0;332.0;95.0
17100;1012.0;332.0;680.0
17200;895.0;332.0;563.0
17300;505.0;332.0;173.0
17400;1118.0;321.0;797.0
17500;1012.0;332.0;680.0
17600;1012.0;332.0;680.0
17700;1129.0;332.0;797.0
17800;884.0;321.0;563.0
17900;1012.0;332.0;680.0
18000;1168.0;332.0;836.0
18100;1190.5;315.5;875.0
18200;1090.0;332.0;758.0
18300;1101.0;343.0;758.0
18400;1079.0;321.0;758.0
18500;1121.0;363.0;758.0
18600;1238.0;363.0;875.0
18700;1297.5;422.5;875.0
18800;1121.0;363.0;758.0
18900;1063.5;422.5;641.0
19000;1143.0;346.0;797.0
19100;1199.0;363.0;836.0
19200;1216.0;380.0;836.0
19300;1216.0;380.0;836.0
19400;1216.0;380.0;836.0
19500;1099.0;380.0;719.0
19600;1099.0;380.0;719.0
19700;734.5;405.5;329.0
19800;1299.5;463.5;836.0
19900;1072.0;392.0;680.0
20000;1150.0;392.0;758.0
20100;1423.0;392.0;1031.0
20200;1800.0;379.0;1421.0
20300;818.5;411.5;407.0
20400;1319.0;405.0;914.0
20500;1319.0;405.0;914.0
20600;1319.0;405.0;914.0
20700;1332.0;418.0;914.0
20800;1436.0;405.0;1031.0
20900;1319.0;405.0;914.0
21000;1345.0;392.0;953.0
21100;890.0;405.0;485.0
21200;1436.0;444.0;992.0
21300;1384.0;392.0;992.0
21400;1293.0;301.0;992.0
21500;1338.5;346.5;992.0
21600;1384.0;392.0;992.0
21700;1384.0;392.0;992.0
21800;1501.0;392.0;1109.0
21900;1501.0;392.0;1109.0
22000;1319.0;288.0;1031.0
22100;1462.0;392.0;1070.0
22200;1468.5;398.5;1070.0
22300;2060.0;483.0;1577.0
22400;1462.0;392.0;1070.0
22500;1592.0;522.0;1070.0
22600;1449.0;379.0;1070.0
22700;1416.5;346.5;1070.0
22800;1475.0;405.0;1070.0
22900;1462.0;392.0;1070.0
23000;1501.0;392.0;1109.0
23100;1109.0;392.0;717.0
23200;1614.0;457.0;1157.0
23300;1562.0;405.0;1157.0
23400;2088.5;411.5;1677.0
23500;2069.0;392.0;1677.0
23600;1568.5;411.5;1157.0
23700;1562.0;405.0;1157.0
23800;1562.0;405.0;1157.0
23900;1722.5;445.5;1277.0
24000;1749.0;432.0;1317.0
24100;1549.0;432.0;1117.0
24200;1664.5;427.5;1237.0
24300;1692.0;455.0;1237.0
24400;1700.0;463.0;1237.0
24500;1726.0;489.0;1237.0
24600;1741.0;504.0;1237.0
24700;1737.5;500.5;1237.0
24800;1628.0;511.0;1117.0
24900;1748.0;511.0;1237.0
25000;1795.0;518.0;1277.0
25100;1828.0;511.0;1317.0
25200;2004.0;567.0;1437.0
25300;1828.0;511.0;1317.0
25400;1828.0;511.0;1317.0
25500;1395.0;518.0;877.0
25600;1892.0;455.0;1437.0
25700;1828.0;511.0;1317.0
25800;1711.5;514.5;1197.0
25900;1708.0;511.0;1197.0
26000;1755.0;518.0;1237.0
26100;1915.0;518.0;1397.0
26200;1388.0;511.0;877.0
26300;2028.0;511.0;1517.0
26400;1784.5;507.5;1277.0
26500;2306.0;518.0;1788.0
26600;2103.0;574.0;1529.0
26700;1936.0;518.0;1418.0
26800;1988.5;459.5;1529.0
26900;1464.0;527.0;937.0
27000;2093.0;527.0;1566.0
27100;1899.0;407.0;1492.0
27200;2019.0;527.0;1492.0
27300;2130.0;527.0;1603.0
27400;2019.0;527.0;1492.0
27500;2019.0;527.0;1492.0
27600;2019.0;527.0;1492.0
27700;2019.0;527.0;1492.0
27800;1884.0;392.0;1492.0
27900;2115.0;512.0;1603.0
28000;1993.0;575.0;1418.0
28100;2086.0;520.0;1566.0
28200;2097.0;531.0;1566.0
28300;2097.0;531.0;1566.0
28400;1969.5;514.5;1455.0
28500;2108.0;542.0;1566.0
28600;2080.5;514.5;1566.0
28700;2256.0;542.0;1714.0
28800;2097.0;531.0;1566.0
28900;2578.0;531.0;2047.0
29000;2150.5;547.5;1603.0
29100;2370.0;619.0;1751.0
29200;2652.0;531.0;2121.0
29300;2171.0;531.0;1640.0
29400;2171.0;531.0;1640.0
29500;2652.0;531.0;2121.0
29600;2182.0;542.0;1640.0
29700;2160.0;520.0;1640.0
29800;2259.0;619.0;1640.0
29900;2171.0;531.0;1640.0
30000;2006.5;514.5;1492.0
30100;2245.0;531.0;1714.0
30200;2245.0;531.0;1714.0
30300;2261.5;547.5;1714.0
30400;2331.0;617.0;1714.0
30500;2245.5;531.5;1714.0
30600;2259.0;545.0;1714.0
30700;2268.0;554.0;1714.0
30800;2259.0;545.0;1714.0
30900;2148.0;545.0;1603.0
31000;2296.0;545.0;1751.0
31100;2324.0;536.0;1788.0
31200;2208.5;531.5;1677.0
31300;2333.0;545.0;1788.0
31400;2814.0;545.0;2269.0
31500;2333.0;545.0;1788.0
31600;2333.0;545.0;1788.0
31700;2222.0;545.0;1677.0
31800;2444.0;545.0;1899.0
31900;2319.5;531.5;1788.0
32000;2245.5;531.5;1714.0
32100;2407.0;545.0;1862.0
32200;2416.0;554.0;1862.0
32300;2411.5;549.5;1862.0
32400;2411.5;549.5;1862.0
32500;2777.0;545.0;2232.0
32600;2335.0;473.0;1862.0
32700;2287.0;536.0;1751.0
32800;2334.0;472.0;1862.0
32900;2444.0;582.0;1862.0
33000;2723.0;824.0;1899.0
33100;2629.0;582.0;2047.0
33200;2518.0;582.0;1936.0
33300;3027.0;758.0;2269.0
33400;2540.0;604.0;1936.0
33500;2451.0;626.0;1825.0
33600;2216.0;428.0;1788.0
33700;2518.0;582.0;1936.0
33800;2529.0;593.0;1936.0
33900;2540.0;604.0;1936.0
34000;2648.0;675.0;1973.0
34100;2700.0;690.0;2010.0
34200;2670.0;660.0;2010.0
34300;2670.0;660.0;2010.0
34400;2670.0;660.0;2010.0
34500;3023.0;532.0;2491.0
34600;3207.0;716.0;2491.0
34700;2726.0;716.0;2010.0
34800;2615.0;716.0;1899.0
34900;2726.0;716.0;2010.0
35000;-887827.0;716.0;-888543.0
35100;2777.0;693.0;2084.0
35200;2689.0;716.0;1973.0
35300;2666.0;693.0;1973.0
35400;2788.5;704.5;2084.0
35500;3281.0;716.0;2565.0
35600;2800.0;716.0;2084.0
35700;3287.0;716.0;2571.0
35800;2587.0;716.0;1871.0
35900;2972.0;716.0;2256.0
36000;2895.0;716.0;2179.0
36100;3257.0;693.0;2564.0
36200;2933.5;716.0;2217.5
36300;2663.0;946.0;1717.0
36400;3094.5;877.0;2217.5
36500;2957.5;740.0;2217.5
36600;2937.5;720.0;2217.5
36700;2937.5;720.0;2217.5
36800;2937.5;720.0;2217.5
36900;2937.5;720.0;2217.5
37000;2976.0;720.0;2256.0
37100;3014.5;720.0;2294.5
37200;2984.5;690.0;2294.5
37300;3130.0;720.0;2410.0
37400;2994.5;700.0;2294.5
37500;3014.5;720.0;2294.5
37600;2879.0;700.0;2179.0
37700;3150.0;740.0;2410.0
37800;3110.5;816.0;2294.5
37900;3058.5;764.0;2294.5
38000;3129.0;796.0;2333.0
38100;2975.0;796.0;2179.0
38200;3167.5;796.0;2371.5
38300;3039.5;668.0;2371.5
38400;2742.5;797.5;1945.0
38500;3202.0;817.0;2385.0
38600;3182.5;797.5;2385.0
38700;3069.0;804.0;2265.0
38800;3075.5;810.5;2265.0
38900;2675.5;810.5;1865.0
39000;2688.5;823.5;1865.0
39100;3380.0;915.0;2465.0
39200;3331.0;866.0;2465.0
39300;3324.0;859.0;2465.0
39400;2804.0;859.0;1945.0
39500;3380.0;915.0;2465.0
39600;3324.0;859.0;2465.0
39700;3317.0;852.0;2465.0
39800;3338.0;873.0;2465.0
39900;3380.0;915.0;2465.0
40000;3420.0;915.0;2505.0
40100;3340.0;915.0;2425.0
40200;3460.0;915.0;2545.0
40300;3340.0;915.0;2425.0
40400;3580.0;915.0;2665.0
40500;2940.0;915.0;2025.0
40600;3460.0;915.0;2545.0
40700;3460.0;915.0;2545.0
40800;3460.0;915.0;2545.0
40900;3460.0;915.0;2545.0
41000;3500.0;915.0;2585.0
41100;3540.0;915.0;2625.0
41200;3660.0;915.0;2745.0
41300;3540.0;915.0;2625.0
41400;3660.0;915.0;2745.0
41500;4095.0;950.0;3145.0
41600;3580.0;955.0;2625.0
41700;4085.0;955.0;3130.0
41800;3670.0;915.0;2755.0
41900;3592.5;950.0;2642.5
42000;3442.5;950.0;2492.5
42100;3657.5;940.0;2717.5
42200;3575.0;970.0;2605.0
42300;4380.0;950.0;3430.0
42400;3682.5;965.0;2717.5
42500;3622.5;905.0;2717.5
42600;3677.5;960.0;2717.5
42700;3657.5;940.0;2717.5
42800;3647.5;930.0;2717.5
42900;3765.0;935.0;2830.0
43000;3325.0;990.0;2335.0
43100;3765.0;950.0;2815.0
