timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;6
400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11999;8
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12009;11
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;3
4200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
4800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;4
4800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12011;11
5000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11999;5
5700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12002;5
9600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
9900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;8
9900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12016;12
10000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
12100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;5
12600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12008;3
14000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;3
14400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12016;11
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;8
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;10
18500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;6
19800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
23100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12019;2
23900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
24300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
24400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
24600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;3
26500;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12030;6
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;8
28000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
30400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;2
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;9
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;4
34000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
34500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
35700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12044;2
35700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12043;2
35800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12032;7
36500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;3
37800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
37900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
38400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;3
38400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12034;3
39100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;6
39900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
41500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
41700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12045;5
41800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;5
43000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12039;5
45200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
46500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;9
48100;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12051;7
49400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;9
50900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;5
51400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12046;4
52600;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12056;8
53600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12049;5
53800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
54600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;6
56400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;3
57000;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12066;2
57300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
58400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9988;3
59500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;2
59700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;3
60300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;9
62000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;6
63700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;2
64300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12060;3
64900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;4
65300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;2
65500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
68000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;3
68800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;3
70000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12066;5
70400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12074;5
71500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12067;4
72300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;10
72800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;5
74000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;4
76300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
76500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;8
76700;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12080;4
77200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12072;3
77800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;7
79000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;5
80400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;8
83700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;2
84400;;SUBMISSION;INTARIAN_PEPPER_ROOT;SEASHELLS;12088;5
85500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;7
85700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
85900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9987;5
