timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-139.5;48.0;-187.5
100;-417.0;54.0;-471.0
200;-81.0;60.0;-141.0
300;-331.5;57.0;-388.5
400;-441.0;90.0;-531.0
500;114.0;60.0;54.0
600;-400.0;66.0;-466.0
700;-406.0;60.0;-466.0
800;-397.0;69.0;-466.0
900;-503.5;60.0;-563.5
1000;-503.5;60.0;-563.5
1100;-397.0;69.0;-466.0
1200;-412.0;54.0;-466.0
1300;-397.0;69.0;-466.0
1400;-406.0;60.0;-466.0
1500;-448.0;18.0;-466.0
1600;-318.0;83.0;-401.0
1700;-375.5;58.0;-433.5
1800;-376.0;25.0;-401.0
1900;-229.0;172.0;-401.0
2000;-341.0;60.0;-401.0
2100;-341.0;60.0;-401.0
2200;-341.0;60.0;-401.0
2300;-341.0;60.0;-401.0
2400;-334.0;67.0;-401.0
2500;-336.5;32.0;-368.5
2600;-290.0;46.0;-336.0
2700;-469.0;200.0;-669.0
2800;-244.0;60.0;-304.0
2900;70.5;46.0;24.5
3000;-339.5;74.0;-413.5
3100;-216.0;88.0;-304.0
3200;-244.0;60.0;-304.0
3300;-356.0;-52.0;-304.0
3400;-244.0;60.0;-304.0
3500;-207.5;60.0;-267.5
3600;-588.0;81.0;-669.0
3700;-150.0;81.0;-231.0
3800;-100.5;130.5;-231.0
3900;-150.0;81.0;-231.0
4000;-128.0;103.0;-231.0
4100;-117.0;114.0;-231.0
4200;-15.5;106.0;-121.5
4300;-125.0;106.0;-231.0
4400;-125.0;106.0;-231.0
4500;83.5;205.0;-121.5
4600;-161.5;106.0;-267.5
4700;-61.0;97.0;-158.0
4800;-207.0;97.0;-304.0
4900;-65.5;92.5;-158.0
5000;-129.0;106.0;-235.0
5100;-12.0;106.0;-118.0
5200;690.0;106.0;584.0
5300;-12.0;106.0;-118.0
5400;6.0;124.0;-118.0
5500;-42.0;115.0;-157.0
5600;75.0;115.0;-40.0
5700;-317.0;115.0;-432.0
5800;-415.0;97.0;-512.0
5900;194.0;106.0;88.0
6000;87.5;119.5;-32.0
6100;2.0;34.0;-32.0
6200;-46.0;106.0;-152.0
6300;74.0;106.0;-32.0
6400;74.0;106.0;-32.0
6500;114.0;106.0;8.0
6600;43.0;115.0;-72.0
6700;163.0;115.0;48.0
6800;43.0;115.0;-72.0
6900;-294.5;137.5;-432.0
7000;172.0;124.0;48.0
7100;163.0;115.0;48.0
7200;136.0;88.0;48.0
7300;-389.0;43.0;-432.0
7400;-308.0;124.0;-432.0
7500;51.0;43.0;8.0
7600;663.0;55.0;608.0
7700;133.0;125.0;8.0
7800;133.0;125.0;8.0
7900;267.0;139.0;128.0
8000;359.0;111.0;248.0
8100;239.0;111.0;128.0
8200;239.0;111.0;128.0
8300;232.0;104.0;128.0
8400;181.0;13.0;168.0
8500;293.0;125.0;168.0
8600;333.0;125.0;208.0
8700;333.0;125.0;208.0
8800;227.0;139.0;88.0
8900;266.0;58.0;208.0
9000;313.5;105.5;208.0
9100;399.0;191.0;208.0
9200;323.0;115.0;208.0
9300;262.0;134.0;128.0
9400;137.0;9.0;128.0
9500;482.0;154.0;328.0
9600;993.0;225.0;768.0
9700;68.0;260.0;-192.0
9800;478.0;190.0;288.0
9900;513.0;225.0;288.0
10000;478.5;310.5;168.0
