timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;48.0;48.0;0.0
100;54.0;54.0;0.0
200;60.0;60.0;0.0
300;57.0;57.0;0.0
400;90.0;90.0;0.0
500;60.0;60.0;0.0
600;66.0;66.0;0.0
700;60.0;60.0;0.0
800;69.0;69.0;0.0
900;60.0;60.0;0.0
1000;60.0;60.0;0.0
1100;69.0;69.0;0.0
1200;54.0;54.0;0.0
1300;69.0;69.0;0.0
1400;60.0;60.0;0.0
1500;18.0;18.0;0.0
1600;83.0;83.0;0.0
1700;58.0;58.0;0.0
1800;25.0;25.0;0.0
1900;172.0;172.0;0.0
2000;60.0;60.0;0.0
2100;60.0;60.0;0.0
2200;60.0;60.0;0.0
2300;60.0;60.0;0.0
2400;67.0;67.0;0.0
2500;32.0;32.0;0.0
2600;46.0;46.0;0.0
2700;192.0;200.0;-8.0
2800;92.0;60.0;32.0
2900;114.0;46.0;68.0
3000;94.0;74.0;20.0
3100;120.0;88.0;32.0
3200;92.0;60.0;32.0
3300;-20.0;-52.0;32.0
3400;92.0;60.0;32.0
3500;96.0;60.0;36.0
3600;73.0;81.0;-8.0
3700;121.0;81.0;40.0
3800;170.5;130.5;40.0
3900;121.0;81.0;40.0
4000;143.0;103.0;40.0
4100;154.0;114.0;40.0
4200;158.0;106.0;52.0
4300;146.0;106.0;40.0
4400;146.0;106.0;40.0
4500;257.0;205.0;52.0
4600;142.0;106.0;36.0
4700;145.0;97.0;48.0
4800;129.0;97.0;32.0
4900;140.5;92.5;48.0
5000;174.5;106.0;68.5
5100;194.0;106.0;88.0
5200;311.0;106.0;205.0
5300;194.0;106.0;88.0
5400;212.0;124.0;88.0
5500;196.5;115.0;81.5
5600;216.0;115.0;101.0
5700;146.0;115.0;31.0
5800;110.0;97.0;13.0
5900;254.0;106.0;148.0
6000;240.5;119.5;121.0
6100;155.0;34.0;121.0
6200;200.0;106.0;94.0
6300;227.0;106.0;121.0
6400;227.0;106.0;121.0
6500;236.0;106.0;130.0
6600;227.0;115.0;112.0
6700;254.0;115.0;139.0
6800;227.0;115.0;112.0
6900;168.5;137.5;31.0
