timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;42.0;42.0;0.0
100;42.0;42.0;0.0
200;-12.0;-12.0;0.0
300;45.0;45.0;0.0
400;35.0;35.0;0.0
500;44.0;44.0;0.0
600;44.0;44.0;0.0
700;42.0;42.0;0.0
800;20048.0;20048.0;0.0
900;48.0;48.0;0.0
1000;49.0;49.0;0.0
1100;49.0;49.0;0.0
1200;46.0;46.0;0.0
1300;46.0;46.0;0.0
1400;46.0;46.0;0.0
1500;48.0;48.0;0.0
1600;48.0;48.0;0.0
1700;48.0;48.0;0.0
1800;55.0;55.0;0.0
1900;48.0;48.0;0.0
2000;48.0;48.0;0.0
2100;46.0;46.0;0.0
2200;48.0;48.0;0.0
2300;46.0;46.0;0.0
2400;46.0;46.0;0.0
2500;46.0;46.0;0.0
2600;46.0;46.0;0.0
2700;31.0;43.0;-12.0
2800;76.0;48.0;28.0
2900;98.0;30.0;68.0
3000;78.0;46.0;32.0
3100;80.0;44.0;36.0
3200;82.0;46.0;36.0
3300;91.0;43.0;48.0
3400;82.0;46.0;36.0
3500;82.0;46.0;36.0
3600;103.0;67.0;36.0
3700;115.0;67.0;48.0
3800;88.0;52.0;36.0
3900;155.0;67.0;88.0
4000;104.5;64.5;40.0
4100;89.0;57.0;32.0
4200;122.0;78.0;44.0
4300;151.5;95.5;56.0
4400;117.0;85.0;32.0
4500;139.5;95.5;44.0
4600;122.0;78.0;44.0
4700;117.0;85.0;32.0
4800;88.0;78.0;10.0
4900;119.0;85.0;34.0
5000;187.5;92.0;95.5
5100;2.0;85.0;-83.0
5200;163.5;85.0;78.5
5300;219.5;141.0;78.5
5400;189.0;85.0;104.0
5500;156.5;78.0;78.5
5600;170.5;92.0;78.5
5700;71.0;85.0;-14.0
5800;31.0;78.0;-47.0
5900;181.0;85.0;96.0
6000;159.0;85.0;74.0
6100;213.5;95.5;118.0
6200;203.0;85.0;118.0
6300;203.0;85.0;118.0
6400;210.0;92.0;118.0
6500;177.0;92.0;85.0
6600;266.0;148.0;118.0
6700;210.0;92.0;118.0
6800;11.0;36.0;-25.0
6900;217.0;99.0;118.0
7000;184.5;88.5;96.0
7100;232.0;92.0;140.0
7200;200.5;60.5;140.0
7300;364.5;81.5;283.0
7400;16.0;85.0;-69.0
7500;258.0;85.0;173.0
7600;263.5;123.5;140.0
7700;225.0;85.0;140.0
7800;235.5;95.5;140.0
7900;192.0;85.0;107.0
8000;96.0;99.0;-3.0
8100;111.0;92.0;19.0
8200;221.0;92.0;129.0
8300;100.5;81.5;19.0
8400;254.0;92.0;162.0
8500;111.0;92.0;19.0
8600;247.0;85.0;162.0
8700;250.5;88.5;162.0
8800;250.5;88.5;162.0
8900;221.0;92.0;129.0
9000;265.0;92.0;173.0
9100;288.0;71.0;217.0
9200;309.0;92.0;217.0
9300;269.0;85.0;184.0
9400;311.0;127.0;184.0
9500;276.0;92.0;184.0
9600;278.0;127.0;151.0
9700;312.0;128.0;184.0
9800;310.0;126.0;184.0
9900;188.0;126.0;62.0
10000;409.0;182.0;227.0
10100;424.0;182.0;242.0
10200;434.5;192.5;242.0
10300;622.5;185.5;437.0
10400;462.0;175.0;287.0
10500;427.5;185.5;242.0
10600;424.0;182.0;242.0
10700;629.5;192.5;437.0
10800;424.0;182.0;242.0
10900;431.0;189.0;242.0
11000;421.5;164.5;257.0
11100;656.0;189.0;467.0
11200;454.0;182.0;272.0
11300;454.0;182.0;272.0
11400;464.5;192.5;272.0
11500;454.0;182.0;272.0
11600;454.0;182.0;272.0
11700;509.5;192.5;317.0
11800;454.0;182.0;272.0
11900;499.0;182.0;317.0
12000;469.0;182.0;287.0
12100;519.0;217.0;302.0
12200;537.0;235.0;302.0
12300;714.0;217.0;497.0
12400;543.0;241.0;302.0
12500;543.0;241.0;302.0
12600;363.0;229.0;134.0
12700;495.0;229.0;266.0
12800;336.0;235.0;101.0
12900;544.5;229.0;315.5
13000;561.0;229.0;332.0
13100;577.5;229.0;348.5
13200;589.5;241.0;348.5
13300;481.5;133.0;348.5
13400;577.5;229.0;348.5
13500;528.0;229.0;299.0
13600;577.5;229.0;348.5
13700;577.5;229.0;348.5
13800;481.5;133.0;348.5
13900;724.5;211.0;513.5
14000;664.5;250.0;414.5
14100;631.5;250.0;381.5
14200;622.5;241.0;381.5
14300;609.0;227.5;381.5
14400;496.0;241.0;255.0
14500;645.0;214.0;431.0
14600;892.0;241.0;651.0
14700;513.0;214.0;299.0
14800;606.0;241.0;365.0
14900;531.0;232.0;299.0
15000;601.0;214.0;387.0
15100;786.0;311.0;475.0
15200;720.0;311.0;409.0
15300;730.0;321.0;409.0
15400;720.0;311.0;409.0
15500;686.0;277.0;409.0
15600;796.0;321.0;475.0
15700;752.0;343.0;409.0
15800;741.0;332.0;409.0
15900;741.0;332.0;409.0
16000;763.0;332.0;431.0
16100;746.5;293.5;453.0
16200;774.0;321.0;453.0
16300;796.0;343.0;453.0
16400;785.0;332.0;453.0
16500;867.5;348.5;519.0
16600;796.0;343.0;453.0
16700;818.0;431.0;387.0
16800;796.0;343.0;453.0
16900;862.0;343.0;519.0
17000;499.0;332.0;167.0
17100;829.0;332.0;497.0
17200;763.0;332.0;431.0
17300;543.0;332.0;211.0
17400;896.0;321.0;575.0
17500;836.5;332.0;504.5
17600;836.5;332.0;504.5
17700;907.0;332.0;575.0
17800;755.0;321.0;434.0
17900;836.5;332.0;504.5
18000;930.5;332.0;598.5
18100;937.5;315.5;622.0
18200;883.5;332.0;551.5
18300;894.5;343.0;551.5
18400;872.5;321.0;551.5
18500;914.5;363.0;551.5
18600;985.0;363.0;622.0
18700;1044.5;422.5;622.0
18800;914.5;363.0;551.5
18900;903.5;422.5;481.0
19000;921.0;346.0;575.0
19100;961.5;363.0;598.5
19200;978.5;380.0;598.5
19300;978.5;380.0;598.5
19400;978.5;380.0;598.5
19500;908.0;380.0;528.0
19600;908.0;380.0;528.0
19700;698.5;405.5;293.0
19800;1062.0;463.5;598.5
19900;847.0;392.0;455.0
20000;905.0;392.0;513.0
20100;1108.0;392.0;716.0
20200;1385.0;379.0;1006.0
20300;663.5;411.5;252.0
20400;1034.0;405.0;629.0
20500;1034.0;405.0;629.0
20600;1034.0;405.0;629.0
20700;1047.0;418.0;629.0
20800;1121.0;405.0;716.0
20900;1034.0;405.0;629.0
21000;1050.0;392.0;658.0
21100;715.0;405.0;310.0
21200;1131.0;444.0;687.0
21300;1079.0;392.0;687.0
21400;988.0;301.0;687.0
21500;1033.5;346.5;687.0
21600;1079.0;392.0;687.0
21700;1079.0;392.0;687.0
21800;1166.0;392.0;774.0
21900;1166.0;392.0;774.0
22000;1004.0;288.0;716.0
22100;1137.0;392.0;745.0
22200;1143.5;398.5;745.0
22300;1605.0;483.0;1122.0
22400;1137.0;392.0;745.0
22500;1267.0;522.0;745.0
22600;1124.0;379.0;745.0
22700;1091.5;346.5;745.0
22800;1150.0;405.0;745.0
22900;1137.0;392.0;745.0
23000;1190.0;392.0;798.0
23100;876.0;392.0;484.0
23200;1304.0;457.0;847.0
23300;1252.0;405.0;847.0
23400;1687.5;411.5;1276.0
23500;1668.0;392.0;1276.0
23600;1258.5;411.5;847.0
23700;1252.0;405.0;847.0
23800;1252.0;405.0;847.0
23900;1391.5;445.5;946.0
24000;1411.0;432.0;979.0
24100;1246.0;432.0;814.0
24200;1340.5;427.5;913.0
24300;1368.0;455.0;913.0
24400;1376.0;463.0;913.0
24500;1402.0;489.0;913.0
24600;1417.0;504.0;913.0
24700;1413.5;500.5;913.0
24800;1325.0;511.0;814.0
24900;1424.0;511.0;913.0
25000;1464.0;518.0;946.0
25100;1490.0;511.0;979.0
25200;1645.0;567.0;1078.0
25300;1490.0;511.0;979.0
25400;1490.0;511.0;979.0
25500;1128.0;518.0;610.0
25600;1569.0;455.0;1114.0
25700;1517.0;511.0;1006.0
25800;1412.5;514.5;898.0
25900;1409.0;511.0;898.0
26000;1452.0;518.0;934.0
26100;1596.0;518.0;1078.0
26200;1121.0;511.0;610.0
26300;1697.0;511.0;1186.0
26400;1477.5;507.5;970.0
26500;1956.0;518.0;1438.0
26600;1760.0;574.0;1186.0
26700;1596.0;518.0;1078.0
26800;1645.5;459.5;1186.0
26900;1137.0;527.0;610.0
27000;1749.0;527.0;1222.0
27100;1557.0;407.0;1150.0
27200;1677.0;527.0;1150.0
27300;1785.0;527.0;1258.0
27400;1677.0;527.0;1150.0
27500;1677.0;527.0;1150.0
27600;1677.0;527.0;1150.0
27700;1677.0;527.0;1150.0
27800;1542.0;392.0;1150.0
27900;1770.0;512.0;1258.0
28000;1653.0;575.0;1078.0
28100;1742.0;520.0;1222.0
28200;1753.0;531.0;1222.0
28300;1753.0;531.0;1222.0
28400;1628.5;514.5;1114.0
28500;1764.0;542.0;1222.0
28600;1736.5;514.5;1222.0
28700;1908.0;542.0;1366.0
28800;1753.0;531.0;1222.0
28900;2221.0;531.0;1690.0
29000;1805.5;547.5;1258.0
29100;2021.0;619.0;1402.0
29200;2293.0;531.0;1762.0
29300;1825.0;531.0;1294.0
29400;1825.0;531.0;1294.0
29500;2293.0;531.0;1762.0
29600;1836.0;542.0;1294.0
29700;1814.0;520.0;1294.0
29800;1913.0;619.0;1294.0
29900;1825.0;531.0;1294.0
30000;1664.5;514.5;1150.0
30100;1897.0;531.0;1366.0
30200;1897.0;531.0;1366.0
30300;1913.5;547.5;1366.0
30400;1983.0;617.0;1366.0
30500;1897.5;531.5;1366.0
30600;1911.0;545.0;1366.0
30700;1920.0;554.0;1366.0
30800;1911.0;545.0;1366.0
30900;1803.0;545.0;1258.0
31000;1947.0;545.0;1402.0
31100;1974.0;536.0;1438.0
31200;1861.5;531.5;1330.0
31300;1983.0;545.0;1438.0
31400;2451.0;545.0;1906.0
31500;1983.0;545.0;1438.0
31600;1983.0;545.0;1438.0
31700;1875.0;545.0;1330.0
31800;2091.0;545.0;1546.0
31900;1969.5;531.5;1438.0
32000;1897.5;531.5;1366.0
32100;2055.0;545.0;1510.0
32200;2064.0;554.0;1510.0
32300;2059.5;549.5;1510.0
32400;2059.5;549.5;1510.0
32500;2415.0;545.0;1870.0
32600;1983.0;473.0;1510.0
32700;1938.0;536.0;1402.0
32800;1982.0;472.0;1510.0
32900;2092.0;582.0;1510.0
33000;2370.0;824.0;1546.0
33100;2272.0;582.0;1690.0
33200;2164.0;582.0;1582.0
33300;2664.0;758.0;1906.0
33400;2186.0;604.0;1582.0
33500;2100.0;626.0;1474.0
33600;1866.0;428.0;1438.0
33700;2164.0;582.0;1582.0
33800;2175.0;593.0;1582.0
33900;2186.0;604.0;1582.0
34000;2293.0;675.0;1618.0
34100;2344.0;690.0;1654.0
34200;2314.0;660.0;1654.0
34300;2314.0;660.0;1654.0
34400;2314.0;660.0;1654.0
34500;2654.0;532.0;2122.0
34600;2838.0;716.0;2122.0
34700;2370.0;716.0;1654.0
34800;2262.0;716.0;1546.0
34900;2370.0;716.0;1654.0
35000;-864114.0;716.0;-864830.0
35100;2419.0;693.0;1726.0
35200;2334.0;716.0;1618.0
35300;2311.0;693.0;1618.0
35400;2430.5;704.5;1726.0
35500;2910.0;716.0;2194.0
35600;2442.0;716.0;1726.0
35700;2924.0;716.0;2208.0
35800;2274.0;716.0;1558.0
35900;2634.0;716.0;1918.0
36000;2562.0;716.0;1846.0
36100;2899.0;693.0;2206.0
36200;2598.0;716.0;1882.0
36300;2360.0;946.0;1414.0
36400;2759.0;877.0;1882.0
36500;2622.0;740.0;1882.0
36600;2602.0;720.0;1882.0
36700;2602.0;720.0;1882.0
36800;2602.0;720.0;1882.0
36900;2602.0;720.0;1882.0
37000;2638.0;720.0;1918.0
37100;2674.0;720.0;1954.0
37200;2644.0;690.0;1954.0
37300;2782.0;720.0;2062.0
37400;2654.0;700.0;1954.0
37500;2674.0;720.0;1954.0
37600;2546.0;700.0;1846.0
37700;2802.0;740.0;2062.0
37800;2770.0;816.0;1954.0
37900;2718.0;764.0;1954.0
38000;2786.0;796.0;1990.0
38100;2610.0;796.0;1814.0
38200;2810.0;796.0;2014.0
38300;2682.0;668.0;2014.0
38400;2371.5;797.5;1574.0
38500;2831.0;817.0;2014.0
38600;2811.5;797.5;2014.0
38700;2698.0;804.0;1894.0
38800;2704.5;810.5;1894.0
38900;2304.5;810.5;1494.0
39000;2317.5;823.5;1494.0
39100;3009.0;915.0;2094.0
39200;2960.0;866.0;2094.0
39300;2953.0;859.0;2094.0
39400;2433.0;859.0;1574.0
39500;3009.0;915.0;2094.0
39600;2953.0;859.0;2094.0
39700;2946.0;852.0;2094.0
39800;2967.0;873.0;2094.0
39900;3009.0;915.0;2094.0
40000;3049.0;915.0;2134.0
40100;2969.0;915.0;2054.0
40200;3089.0;915.0;2174.0
40300;2969.0;915.0;2054.0
40400;3209.0;915.0;2294.0
40500;2569.0;915.0;1654.0
40600;3089.0;915.0;2174.0
40700;3089.0;915.0;2174.0
40800;3089.0;915.0;2174.0
40900;3089.0;915.0;2174.0
41000;3129.0;915.0;2214.0
41100;3169.0;915.0;2254.0
41200;3289.0;915.0;2374.0
41300;3169.0;915.0;2254.0
41400;3289.0;915.0;2374.0
41500;3724.0;950.0;2774.0
41600;3209.0;955.0;2254.0
41700;3714.0;955.0;2759.0
41800;3299.0;915.0;2384.0
41900;3221.5;950.0;2271.5
42000;3071.5;950.0;2121.5
42100;3286.5;940.0;2346.5
42200;3204.0;970.0;2234.0
42300;4009.0;950.0;3059.0
42400;3311.5;965.0;2346.5
42500;3251.5;905.0;2346.5
42600;3306.5;960.0;2346.5
42700;3286.5;940.0;2346.5
42800;3276.5;930.0;2346.5
42900;3394.0;935.0;2459.0
43000;2954.0;990.0;1964.0
43100;3394.0;950.0;2444.0
43200;3379.0;935.0;2444.0
43300;3914.0;950.0;2964.0
43400;3314.0;870.0;2444.0
43500;3394.0;950.0;2444.0
43600;3384.0;940.0;2444.0
43700;3384.0;940.0;2444.0
43800;3264.0;940.0;2324.0
