timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9983;6
1500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
1800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10999;8
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;3
4200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;2
4800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;7
5000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10997;5
5700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11002;5
7600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;5
8900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;5
9400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;10
9600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;6
10000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;8
12100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;5
12600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;3
14400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11016;11
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;8
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
17400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11014;3
18500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;6
19800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
22300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
23000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11015;4
23100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11019;4
23200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
23900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;4
24300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;4
24400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;9
24600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;3
25100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
25500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11022;6
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
30000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11032;11
30400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;2
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
