day,timestamp,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,simple_mid,microprice,wall_mid,mm_mid,spread,imb_l1,imbalance,ofi_5,micro_minus_mid,fair_dev_wall,z20,rolling_vol_20,fwd_ret_1,fwd_ret_5
-1,0,9982.0000,21.0000,10000.0000,13.0000,9991.0000,9991.0000,9993.1176,9992.5000,9991.0000,18.0000,0.2353,-0.2364,0.0000,2.1176,-1.5000,,,1.0000,2.0000
-1,100,9984.0000,15.0000,10000.0000,15.0000,9992.0000,9992.0000,9992.0000,9993.5000,9992.0000,16.0000,0.0000,-0.4643,13.0000,0.0000,-1.5000,,,1.0000,2.0000
-1,200,9985.0000,15.0000,10001.0000,15.0000,9993.0000,9993.0000,9993.0000,9991.5000,9993.0000,16.0000,0.0000,0.5000,13.0000,0.0000,1.5000,,,-0.5000,0.0000
-1,300,9982.0000,27.0000,10003.0000,27.0000,9992.5000,9992.5000,9992.5000,9992.5000,9992.5000,21.0000,0.0000,0.0000,-17.0000,0.0000,0.0000,,,5.5000,2.0000
-1,400,9995.0000,8.0000,10001.0000,12.0000,9998.0000,9998.0000,9997.4000,9993.5000,9993.0000,6.0000,-0.2000,0.0976,3.0000,-0.6000,4.5000,,,-5.0000,-5.0000
-1,500,9985.0000,11.0000,10001.0000,11.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,-4.0000,0.0000,-0.5000,,,1.0000,0.0000
-1,600,9986.0000,13.0000,10002.0000,13.0000,9994.0000,9994.0000,9994.0000,9995.0000,9994.0000,16.0000,0.0000,-0.4902,-15.0000,0.0000,-1.0000,,,-1.0000,0.5000
-1,700,9985.0000,11.0000,10001.0000,11.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,-17.0000,0.0000,-0.5000,,,1.5000,-1.0000
-1,800,9985.0000,12.0000,10004.0000,27.0000,9994.5000,9994.5000,9990.8462,9993.5000,9994.5000,19.0000,-0.3846,0.1818,3.0000,-3.6538,1.0000,,,-1.5000,0.0000
-1,900,9985.0000,12.0000,10001.0000,12.0000,9993.0000,9993.0000,9993.0000,9991.5000,9993.0000,16.0000,0.0000,0.4667,-5.0000,0.0000,1.5000,,,0.0000,0.0000
-1,1000,9985.0000,14.0000,10001.0000,14.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,2.0000,0.0000,-0.5000,,,1.5000,-5.0000
-1,1100,9985.0000,13.0000,10004.0000,28.0000,9994.5000,9994.5000,9991.0244,9993.5000,9994.5000,19.0000,-0.3659,0.1884,-15.0000,-3.4756,1.0000,,,-2.5000,0.0000
-1,1200,9983.0000,28.0000,10001.0000,12.0000,9992.0000,9992.0000,9995.6000,9993.5000,9992.0000,18.0000,0.4000,-0.1765,-14.0000,3.6000,-1.5000,,,2.5000,0.0000
-1,1300,9985.0000,13.0000,10004.0000,23.0000,9994.5000,9994.5000,9991.8611,9993.5000,9994.5000,19.0000,-0.2778,0.2203,-3.0000,-2.6389,1.0000,,,-1.5000,-4.0000
-1,1400,9985.0000,10.0000,10001.0000,10.0000,9993.0000,9993.0000,9993.0000,9993.5000,9993.0000,16.0000,0.0000,0.0000,-8.0000,0.0000,-0.5000,,,-5.0000,0.0000
-1,1500,9985.0000,12.0000,9991.0000,4.0000,9988.0000,9988.0000,9989.5000,9993.5000,9993.0000,6.0000,0.5000,-0.0465,-2.0000,1.5000,-5.5000,,,6.5000,5.0000
-1,1600,9985.0000,14.0000,10004.0000,23.0000,9994.5000,9994.5000,9992.1892,9993.5000,9994.5000,19.0000,-0.2432,0.2333,11.0000,-2.3108,1.0000,,,-2.5000,-1.5000
-1,1700,9983.0000,24.0000,10001.0000,13.0000,9992.0000,9992.0000,9994.6757,9992.0000,9992.0000,18.0000,0.2973,0.2973,11.0000,2.6757,0.0000,,,-1.5000,1.0000
-1,1800,9986.0000,13.0000,9995.0000,4.0000,9990.5000,9990.5000,9992.8824,9993.5000,9995.0000,9.0000,0.5294,0.1233,27.0000,2.3824,-3.0000,,,2.5000,3.0000
-1,2000,9985.0000,13.0000,10001.0000,13.0000,9993.0000,9993.0000,9993.0000,9994.5000,9993.0000,16.0000,0.0000,-0.4583,3.0000,0.0000,-1.5000,0.0254,,0.0000,-2.0000
