day;product;counterparty;side;n_trades;total_qty;mean_trade_price;signed_flow;horizon_pnl_500;horizon_pnl_2000
1;HYDROGEL_PACK;Mark 14;buyer;183;729;9983.8615;729;6052.5;6575.5
1;HYDROGEL_PACK;Mark 14;seller;187;738;10004.4986;-738;6207.5;6150.0
1;HYDROGEL_PACK;Mark 22;buyer;3;11;10010.0909;11;35.0;0.0
1;HYDROGEL_PACK;Mark 22;seller;2;7;9979.7143;-7;35.0;53.0
1;HYDROGEL_PACK;Mark 38;buyer;189;745;10004.2658;745;-6242.5;-6203.0
1;HYDROGEL_PACK;Mark 38;seller;186;740;9984.2514;-740;-6087.5;-6575.5
1;VELVETFRUIT_EXTRACT;Mark 01;buyer;76;426;5243.3826;426;1419.0;1396.5
1;VELVETFRUIT_EXTRACT;Mark 01;seller;81;458;5250.2052;-458;1307.0;1510.0
1;VELVETFRUIT_EXTRACT;Mark 14;buyer;114;630;5245.2778;630;1628.0;1533.0
1;VELVETFRUIT_EXTRACT;Mark 14;seller;97;513;5248.4815;-513;1174.5;592.5
1;VELVETFRUIT_EXTRACT;Mark 22;buyer;10;61;5238.377;61;25.5;84.5
1;VELVETFRUIT_EXTRACT;Mark 22;seller;40;274;5244.2263;-274;-354.5;-329.0
1;VELVETFRUIT_EXTRACT;Mark 49;buyer;6;38;5250.8158;38;43.0;-41.5
1;VELVETFRUIT_EXTRACT;Mark 49;seller;34;342;5250.1257;-342;-499.0;-437.0
1;VELVETFRUIT_EXTRACT;Mark 55;buyer;186;1011;5249.3007;1011;-2461.0;-2024.0
1;VELVETFRUIT_EXTRACT;Mark 55;seller;198;1098;5244.582;-1098;-3036.5;-2939.0
1;VELVETFRUIT_EXTRACT;Mark 67;buyer;58;519;5248.0848;519;754.0;654.0
1;VEV_4000;Mark 14;buyer;91;185;1239.9189;185;1898.0;1937.5
1;VEV_4000;Mark 14;seller;72;147;1258.4694;-147;1571.5;1561.0
1;VEV_4000;Mark 22;seller;1;1;1233.0;-1;1.0;-5.5
1;VEV_4000;Mark 38;buyer;73;148;1258.2973;148;-1572.5;-1555.5
1;VEV_4000;Mark 38;seller;91;185;1239.9189;-185;-1898.0;-1937.5
1;VEV_4500;Mark 22;seller;1;1;733.0;-1;1.0;-5.5
1;VEV_4500;Mark 38;buyer;1;1;733.0;1;-1.0;5.5
1;VEV_5000;Mark 22;seller;1;1;238.0;-1;0.5;-6.0
1;VEV_5000;Mark 38;buyer;1;1;238.0;1;-0.5;6.0
1;VEV_5100;Mark 22;seller;1;1;152.0;-1;1.0;-4.5
1;VEV_5100;Mark 38;buyer;1;1;152.0;1;-1.0;4.5
1;VEV_5200;Mark 14;buyer;6;21;86.5714;21;8.5;-10.5
1;VEV_5200;Mark 22;seller;7;22;86.5909;-22;-8.0;7.5
1;VEV_5200;Mark 38;buyer;1;1;87.0;1;-0.5;3.0
1;VEV_5300;Mark 01;buyer;32;110;43.4909;110;78.5;36.5
