counterparty;day;hour_bucket;n_trades;total_qty
Mark 01;1;0;75;292
Mark 01;1;1;62;244
Mark 01;1;2;27;114
Mark 01;1;3;41;175
Mark 01;1;4;51;226
Mark 01;1;5;65;261
Mark 01;1;6;61;241
Mark 01;1;7;64;256
Mark 01;1;8;53;219
Mark 01;1;9;51;233
Mark 01;2;0;66;297
Mark 01;2;1;46;223
Mark 01;2;2;61;243
Mark 01;2;3;82;330
Mark 01;2;4;60;263
Mark 01;2;5;60;253
Mark 01;2;6;50;198
Mark 01;2;7;53;220
Mark 01;2;8;45;159
Mark 01;2;9;50;228
Mark 01;3;0;71;263
Mark 01;3;1;58;245
Mark 01;3;2;62;253
Mark 01;3;3;91;334
Mark 01;3;4;56;221
Mark 01;3;5;91;320
Mark 01;3;6;86;296
Mark 01;3;7;72;246
Mark 01;3;8;81;318
Mark 01;3;9;52;257
Mark 14;1;0;75;277
Mark 14;1;1;84;326
Mark 14;1;2;81;303
Mark 14;1;3;87;353
Mark 14;1;4;67;264
Mark 14;1;5;71;261
Mark 14;1;6;70;283
Mark 14;1;7;80;333
Mark 14;1;8;74;314
Mark 14;1;9;75;298
Mark 14;2;0;47;202
Mark 14;2;1;66;252
Mark 14;2;2;76;303
Mark 14;2;3;67;267
Mark 14;2;4;68;253
Mark 14;2;5;74;327
Mark 14;2;6;69;265
Mark 14;2;7;55;245
Mark 14;2;8;74;301
Mark 14;2;9;72;321
Mark 14;3;0;66;287
Mark 14;3;1;77;297
Mark 14;3;2;74;318
Mark 14;3;3;93;352
Mark 14;3;4;84;314
Mark 14;3;5;60;250
Mark 14;3;6;66;273
Mark 14;3;7;82;341
Mark 14;3;8;66;269
Mark 14;3;9;72;269
Mark 22;1;0;72;288
Mark 22;1;1;52;189
Mark 22;1;2;17;61
Mark 22;1;3;35;136
Mark 22;1;4;37;106
Mark 22;1;5;61;241
Mark 22;1;6;55;199
Mark 22;1;7;57;212
Mark 22;1;8;46;179
Mark 22;1;9;42;195
Mark 22;2;0;49;189
Mark 22;2;1;32;139
Mark 22;2;2;55;203
Mark 22;2;3;71;270
Mark 22;2;4;52;197
Mark 22;2;5;52;208
Mark 22;2;6;39;139
Mark 22;2;7;41;145
Mark 22;2;8;37;124
Mark 22;2;9;43;190
Mark 22;3;0;66;234
Mark 22;3;1;52;200
Mark 22;3;2;55;205
Mark 22;3;3;90;306
Mark 22;3;4;48;177
Mark 22;3;5;82;288
Mark 22;3;6;81;267
Mark 22;3;7;63;193
Mark 22;3;8;67;246
Mark 22;3;9;35;163
Mark 38;1;0;57;183
Mark 38;1;1;60;212
Mark 38;1;2;56;174
Mark 38;1;3;64;224
Mark 38;1;4;46;127
Mark 38;1;5;52;169
Mark 38;1;6;48;162
Mark 38;1;7;55;196
Mark 38;1;8;46;161
Mark 38;1;9;60;215
Mark 38;2;0;28;90
Mark 38;2;1;46;142
Mark 38;2;2;51;180
Mark 38;2;3;46;140
Mark 38;2;4;43;142
Mark 38;2;5;48;176
Mark 38;2;6;50;167
Mark 38;2;7;38;151
Mark 38;2;8;46;154
Mark 38;2;9;43;158
Mark 38;3;0;41;152
Mark 38;3;1;65;213
Mark 38;3;2;48;181
Mark 38;3;3;68;215
Mark 38;3;4;55;170
Mark 38;3;5;38;132
Mark 38;3;6;44;161
Mark 38;3;7;43;141
Mark 38;3;8;42;142
Mark 38;3;9;51;170
Mark 49;1;0;6;48
Mark 49;1;1;5;40
Mark 49;1;2;5;54
Mark 49;1;3;4;43
Mark 49;1;4;3;22
Mark 49;1;5;5;46
Mark 49;1;6;2;23
Mark 49;1;7;1;13
Mark 49;1;8;7;69
Mark 49;1;9;2;22
Mark 49;2;0;2;22
Mark 49;2;1;7;67
Mark 49;2;2;5;53
Mark 49;2;3;3;30
Mark 49;2;4;4;46
Mark 49;2;5;1;13
Mark 49;2;6;2;18
Mark 49;2;7;8;75
Mark 49;2;8;5;60
Mark 49;2;9;6;56
Mark 49;3;0;3;26
Mark 49;3;1;3;23
Mark 49;3;2;4;44
Mark 49;3;3;4;26
Mark 49;3;4;3;35
Mark 49;3;5;1;7
Mark 49;3;6;4;41
Mark 49;3;7;7;74
Mark 49;3;8;5;34
Mark 49;3;9;5;56
Mark 55;1;0;35;191
Mark 55;1;1;42;216
Mark 55;1;2;42;222
Mark 55;1;3;31;179
Mark 55;1;4;49;281
Mark 55;1;5;39;202
Mark 55;1;6;37;215
Mark 55;1;7;35;200
Mark 55;1;8;44;242
Mark 55;1;9;30;161
Mark 55;2;0;48;274
Mark 55;2;1;41;238
Mark 55;2;2;46;250
Mark 55;2;3;39;232
Mark 55;2;4;35;188
Mark 55;2;5;38;215
Mark 55;2;6;35;191
Mark 55;2;7;40;226
Mark 55;2;8;42;212
Mark 55;2;9;47;263
Mark 55;3;0;38;208
Mark 55;3;1;32;181
Mark 55;3;2;43;237
Mark 55;3;3;43;223
Mark 55;3;4;40;215
Mark 55;3;5;43;220
Mark 55;3;6;27;141
Mark 55;3;7;51;272
Mark 55;3;8;44;234
Mark 55;3;9;42;222
Mark 67;1;0;8;65
Mark 67;1;1;5;49
Mark 67;1;2;8;74
Mark 67;1;3;6;54
