ts;day;side;qty;price;counterparty;mid_pre;mid_post_5;mid_post_20;mid_post_100;mid_post_500;spread_pre;imb1_pre;imb2_pre;imb3_pre;depth_bid_pre;depth_ask_pre;microprice_pre;inventory_day_pre;inventory_day;inventory_cum_pre;inventory_cum;trades_since_last_5;trades_since_last_20;trades_since_last_100;trades_other_mark_since_last_5;trades_other_mark_since_last_20;trades_other_mark_since_last_100;recent_ret_5;recent_ret_20;recent_ret_100;realised_vol_100;aggressor;adverse_select_5;adverse_select_20;adverse_select_100
19300;1;buy;5;5226.0;Mark 55;5228.5;5228.5;5228.5;5239.5;5245.5;5.0;0.5;0.0;0.0;57.0;57.0;5229.75;0;5;0;5;0;0;0;0;1;5;1.0;-3.0;-17.5;1.2518937802126051;sell;2.5;2.5;13.5
20200;1;buy;5;5224.0;Mark 55;5226.5;5227.5;5227.5;5237.5;5241.5;5.0;0.6;0.0;0.0;60.0;60.0;5228.0;5;10;5;10;0;1;1;0;0;4;-3.0;-5.0;-17.0;1.1979815013529715;sell;3.5;3.5;13.5
29300;1;buy;4;5237.0;Mark 55;5239.5;5241.5;5232.0;5234.5;5239.5;5.0;0.4483;0.0;0.0;63.0;63.0;5240.620689655172;10;14;10;14;0;0;2;0;0;0;-3.0;4.0;11.0;1.2979306676234101;sell;4.5;-5.0;-2.5
51700;1;buy;4;5243.0;Mark 55;5244.5;5246.5;5245.5;5245.5;5248.5;5.0;-0.5789;0.0;0.0;60.0;60.0;5243.0526315789475;14;18;14;18;0;0;0;0;1;5;-1.0;-1.0;16.5;1.2512619892159138;ambiguous;3.5;2.5;2.5
59600;1;buy;4;5244.0;Mark 55;5246.5;5246.5;5245.5;5244.5;5270.5;5.0;0.0;0.0;0.0;72.0;72.0;5246.5;18;22;18;22;0;0;1;0;0;1;0.0;0.0;2.0;1.1610670638962273;sell;2.5;1.5;0.5
60300;1;buy;5;5245.0;Mark 55;5247.5;5246.5;5243.5;5242.5;5267.5;5.0;0.0;0.0;0.0;52.0;52.0;5247.5;22;27;22;27;0;1;2;0;0;0;0.5;2.0;1.5;1.1622308430766732;sell;1.5;-1.5;-2.5
62100;1;buy;6;5243.0;Mark 55;5244.5;5243.5;5241.5;5243.5;5263.5;5.0;0.5526;0.0;0.0;59.0;59.0;5245.881578947368;27;33;27;33;0;1;2;0;0;0;-1.0;-2.0;-2.0;1.134667645726512;ambiguous;0.5;-1.5;0.5
63200;1;buy;8;5240.0;Mark 55;5242.0;5243.5;5244.5;5237.5;5260.0;6.0;0.0;0.0;0.0;61.0;61.0;5242.0;33;41;33;41;0;1;3;0;0;0;-1.0;-4.5;-3.5;1.112946143098127;ambiguous;3.5;4.5;-2.5
64200;1;sell;6;5245.0;Mark 55;5241.5;5243.5;5242.0;5237.0;5264.5;5.0;0.0;0.0;0.0;53.0;53.0;5241.5;41;35;41;35;0;1;4;0;0;0;-2.0;-2.0;-5.0;0.9679065963549488;buy;1.5;3.0;8.0
65700;1;buy;8;5240.0;Mark 55;5243.5;5242.0;5248.5;5237.5;5256.5;3.0;-0.4615;-0.358;0.0598;62.0;55.0;5242.807692307692;35;43;35;43;0;1;5;0;0;0;-1.0;0.0;-2.0;0.9997959183652217;sell;2.0;8.5;-2.5
67700;1;sell;4;5250.0;Mark 55;5246.5;5246.5;5244.5;5237.5;5257.5;5.0;0.0;0.0;0.0;55.0;55.0;5246.5;43;39;43;39;0;1;6;0;0;0;0.0;4.0;-1.0;1.1168584140658504;buy;3.5;5.5;12.5
74300;1;sell;6;5238.0;Mark 55;5237.0;5240.0;5239.5;5232.5;5262.0;6.0;0.0;0.0;0.0;55.0;55.0;5237.0;39;33;39;33;0;0;2;0;2;2;2.0;-6.5;-5.5;1.2037166536469932;ambiguous;-2.0;-1.5;5.5
74400;1;buy;4;5235.0;Mark 55;5235.5;5239.5;5237.5;5232.5;5261.5;5.0;0.0;0.0;0.0;57.0;57.0;5235.5;33;37;33;37;1;1;3;0;2;2;0.0;-6.0;-9.0;1.1941854845598807;ambiguous;4.5;2.5;-2.5
77300;1;sell;8;5241.0;Mark 55;5238.5;5236.5;5239.5;5239.5;5264.5;5.0;-0.4458;0.0;0.0;60.0;60.0;5237.385542168675;37;29;37;29;0;0;3;0;0;2;2.0;-2.0;-6.0;1.172652883084203;buy;4.5;1.5;1.5
87900;1;buy;3;5239.0;Mark 55;5241.5;5242.5;5243.0;5242.5;5257.5;5.0;0.0;0.0;0.0;49.0;49.0;5241.5;29;32;29;32;0;0;0;0;0;4;1.0;6.0;5.0;1.1448059018911438;sell;3.5;4.0;3.5
91100;1;sell;6;5244.0;Mark 55;5242.5;5241.5;5244.0;5248.5;5258.5;5.0;0.0;0.0;0.0;54.0;54.0;5242.5;32;26;32;26;0;0;1;0;0;4;-1.0;0.0;6.0;1.0642793532627846;ambiguous;2.5;0.0;-4.5
92000;1;sell;8;5243.0;Mark 55;5240.5;5243.5;5245.5;5244.0;5259.5;5.0;0.4943;0.0;0.0;65.0;65.0;5241.735632183908;26;18;26;18;0;1;2;0;0;4;-0.5;-2.0;3.0;1.053656887922043;buy;-0.5;-2.5;-1.0
100500;1;sell;4;5248.0;Mark 55;5246.5;5248.0;5245.5;5267.5;5265.5;5.0;-0.45;0.0;0.0;58.0;58.0;5245.375;18;14;18;14;0;0;2;0;0;2;-2.0;1.0;2.0;1.1099167134082581;ambiguous;0.0;2.5;-19.5
104400;1;sell;6;5252.0;Mark 55;5249.5;5250.5;5259.0;5265.5;5254.5;5.0;-0.4945;0.0;0.0;68.0;68.0;5248.263736263736;14;8;14;8;0;0;1;0;0;0;2.0;4.0;6.0;1.0969948096907849;buy;1.5;-7.0;-13.5
112000;1;buy;3;5260.0;Mark 55;5262.5;5264.5;5264.5;5263.5;5254.5;5.0;0.52;0.0;0.0;57.0;57.0;5263.8;8;11;8;11;0;0;1;0;1;3;-2.0;-7.5;18.5;1.1339255551291907;sell;4.5;4.5;3.5
118800;1;buy;3;5257.0;Mark 55;5258.5;5258.0;5260.5;5264.5;5249.5;5.0;0.5263;0.0;0.0;58.0;58.0;5259.815789473684;11;14;11;14;0;0;1;0;0;2;3.0;2.5;-8.0;1.1757376165475881;ambiguous;1.0;3.5;7.5
125600;1;sell;3;5265.0;Mark 55;5263.0;5263.5;5266.5;5260.5;5246.5;6.0;0.0;0.0;0.0;61.0;61.0;5263.0;14;11;14;11;0;0;1;0;0;1;-1.5;-2.5;5.5;1.0466128361202924;ambiguous;1.5;-1.5;4.5
134000;1;buy;8;5264.0;Mark 55;5267.0;5261.5;5262.5;5262.0;5242.5;6.0;0.0;0.0;0.0;59.0;59.0;5267.0;11;19;11;19;0;0;1;0;1;3;1.5;4.5;3.5;0.9981106526897475;sell;-2.5;-1.5;-2.0
135500;1;buy;7;5257.0;Mark 55;5258.5;5262.5;5259.5;5261.5;5236.5;5.0;0.4848;0.0;0.0;49.0;49.0;5259.712121212121;19;26;19;26;0;1;2;1;1;4;-3.0;-7.0;-4.5;1.0325287901455042;ambiguous;5.5;2.5;4.5
140000;1;sell;5;5261.0;Mark 55;5257.5;5255.5;5259.5;5267.0;5238.5;5.0;0.575;0.0;0.0;63.0;63.0;5258.9375;26;21;26;21;0;0;2;1;1;6;0.5;1.0;-4.0;1.2384349191106345;buy;5.5;1.5;-6.0
140100;1;sell;4;5260.0;Mark 55;5258.5;5255.5;5259.5;5266.0;5238.5;5.0;0.475;0.0;0.0;59.0;59.0;5259.6875;21;17;21;17;1;1;3;1;1;6;0.0;2.0;-4.5;1.233150906022776;ambiguous;4.5;0.5;-6.0
141000;1;sell;4;5260.0;Mark 55;5255.5;5258.5;5264.5;5265.5;5239.0;5.0;0.4878;0.0;0.0;61.0;61.0;5256.719512195122;17;13;17;13;0;2;4;0;1;6;0.0;-3.0;-11.0;1.1967032904743342;buy;1.5;-4.5;-5.5
142000;1;sell;6;5262.0;Mark 55;5259.0;5262.5;5262.0;5259.0;5238.5;6.0;0.0;0.0;0.0;62.0;62.0;5259.0;13;7;13;7;0;3;5;0;0;4;0.5;0.5;-3.5;1.2190668008406036;buy;-0.5;0.0;3.0
