ts;day;side;qty;price;counterparty;mid_pre;mid_post_5;mid_post_20;mid_post_100;mid_post_500;spread_pre;imb1_pre;imb2_pre;imb3_pre;depth_bid_pre;depth_ask_pre;microprice_pre;inventory_day_pre;inventory_day;inventory_cum_pre;inventory_cum;trades_since_last_5;trades_since_last_20;trades_since_last_100;trades_other_mark_since_last_5;trades_other_mark_since_last_20;trades_other_mark_since_last_100;recent_ret_5;recent_ret_20;recent_ret_100;realised_vol_100;aggressor;adverse_select_5;adverse_select_20;adverse_select_100
14800;1;sell;4;42.0;Mark 01;43.0;43.0;42.0;43.0;45.0;2.0;0.0;0.0;0.0;20.0;20.0;43.0;0;-4;0;-4;0;0;0;0;0;0;0.0;-1.0;-6.0;0.5283513870958392;sell;-1.0;0.0;-1.0
16700;1;sell;2;41.0;Mark 01;42.0;42.0;41.0;41.0;45.0;2.0;0.0;0.0;0.0;25.0;25.0;42.0;-4;-6;-4;-6;0;1;1;0;0;0;0.0;-1.0;-7.0;0.5174241808026544;sell;-1.0;0.0;0.0
40400;1;sell;4;41.0;Mark 01;42.0;42.0;41.0;47.0;46.0;2.0;0.0;0.0;0.0;30.0;30.0;42.0;-6;-10;-6;-10;0;0;0;0;0;0;0.0;1.0;-1.0;0.526949473263535;sell;-1.0;0.0;-6.0
74100;1;sell;3;42.0;Mark 01;43.0;44.0;44.0;41.0;53.5;2.0;0.0;0.0;0.0;17.0;17.0;43.0;-10;-13;-10;-13;0;0;0;0;0;0;0.0;-2.5;-2.0;0.4015072103909453;sell;-2.0;-2.0;1.0
85300;1;sell;2;42.0;Mark 14;42.0;43.0;44.0;46.0;51.5;2.0;0.3548;0.0;0.0;21.0;21.0;42.354838709677416;-13;-15;-13;-15;0;0;0;0;0;0;-0.5;0.0;-3.0;0.5356869554443542;ambiguous;-1.0;-2.0;-4.0
89800;1;sell;4;45.0;Mark 01;46.0;46.0;45.0;47.0;51.0;2.0;0.0;0.0;0.0;23.0;23.0;46.0;-15;-19;-15;-19;0;0;1;0;0;0;0.5;1.0;2.0;0.5942450941447567;sell;-1.0;0.0;-2.0
135900;1;sell;3;52.0;Mark 01;52.5;53.0;51.0;52.5;42.0;3.0;0.0;0.0;0.0;16.0;16.0;52.5;-19;-22;-19;-22;0;0;0;0;0;0;1.5;-2.0;-0.5;0.4897688049454811;ambiguous;-1.0;1.0;-0.5
150600;1;sell;2;53.0;Mark 01;53.5;54.0;50.0;49.0;44.0;3.0;0.0;0.0;0.0;25.0;25.0;53.5;-22;-24;-22;-24;0;0;0;0;0;0;-0.5;0.5;3.5;0.40980732878991505;ambiguous;-1.0;3.0;4.0
170500;1;sell;3;46.0;Mark 14;46.5;46.0;47.0;46.0;46.0;1.0;0.5238;-0.1351;-0.1351;16.0;21.0;46.76190476190476;-24;-27;-24;-27;0;0;0;0;0;0;-0.5;-1.0;-2.5;0.4839532981774744;sell;0.0;-1.0;0.0
172500;1;sell;5;46.0;Mark 01;47.0;46.0;45.0;45.0;46.0;2.0;-0.6667;0.0;0.0;25.0;25.0;46.333333333333336;-27;-32;-27;-32;0;1;1;0;0;0;0.0;0.0;-2.0;0.47630306072130635;sell;0.0;1.0;1.0
190100;1;sell;3;42.0;Mark 01;43.0;42.0;42.0;43.0;50.0;2.0;0.0;0.0;0.0;21.0;21.0;43.0;-32;-35;-32;-35;0;0;0;0;0;0;-1.0;3.0;-2.0;0.5984795209241631;sell;0.0;0.0;-1.0
195600;1;sell;3;41.0;Mark 01;42.0;41.0;43.0;46.0;50.0;2.0;0.0;0.0;0.0;23.0;23.0;42.0;-35;-38;-35;-38;0;0;1;0;0;0;1.0;0.0;0.0;0.5222329678670935;sell;0.0;-2.0;-5.0
252500;1;sell;2;53.0;Mark 01;54.0;54.0;54.0;50.0;56.0;2.0;0.0;0.0;0.0;21.0;21.0;54.0;-38;-40;-38;-40;0;0;0;0;0;0;0.0;1.0;2.0;0.47630306072130635;sell;-1.0;-1.0;3.0
