ts;day;side;qty;price;counterparty;mid_pre;mid_post_5;mid_post_20;mid_post_100;mid_post_500;spread_pre;imb1_pre;imb2_pre;imb3_pre;depth_bid_pre;depth_ask_pre;microprice_pre;inventory_day_pre;inventory_day;inventory_cum_pre;inventory_cum;trades_since_last_5;trades_since_last_20;trades_since_last_100;trades_other_mark_since_last_5;trades_other_mark_since_last_20;trades_other_mark_since_last_100;recent_ret_5;recent_ret_20;recent_ret_100;realised_vol_100;aggressor;adverse_select_5;adverse_select_20;adverse_select_100
5100;1;buy;4;9960.0;Mark 22;9962.0;9952.0;9949.0;9957.0;9948.0;16.0;0.0;0.0;0.0;41.0;41.0;9962.0;0;4;0;4;0;0;0;0;0;0;-2.0;2.0;;1.890396783746735;ambiguous;-8.0;-11.0;-3.0
6200;1;buy;5;9955.0;Mark 14;9949.0;9945.0;9945.0;9956.0;9950.0;16.0;0.0;0.0;0.0;38.0;38.0;9949.0;4;9;4;9;0;1;1;0;0;0;-1.0;-16.0;;2.165951618170353;ambiguous;-10.0;-10.0;1.0
15000;1;buy;4;9966.0;Mark 14;9958.0;9957.0;9947.0;9952.0;9938.5;16.0;0.0;0.0;0.0;40.0;40.0;9958.0;9;13;9;13;0;0;2;0;0;0;1.0;-5.0;-4.0;2.2038496709405764;buy;-9.0;-19.0;-14.0
22800;1;sell;6;9946.0;Mark 14;9958.0;9951.0;9953.0;9956.0;9965.0;16.0;0.0;0.0;0.0;39.0;39.0;9958.0;13;7;13;7;0;0;1;0;0;0;0.0;-2.0;-2.0;1.992307418064975;sell;-5.0;-7.0;-10.0
30800;1;sell;2;9940.0;Mark 14;9946.0;9947.0;9956.0;9945.0;9985.0;16.0;0.0;0.0;0.0;39.0;39.0;9946.0;7;5;7;5;0;0;1;0;0;0;-1.0;0.0;-14.0;2.0288828642806704;ambiguous;-7.0;-16.0;-5.0
31400;1;buy;3;9953.0;Mark 14;9947.0;9945.5;9955.0;9944.0;9973.0;16.0;0.0;0.0;0.0;34.0;34.0;9947.0;5;8;5;8;0;1;2;0;0;0;1.0;3.0;-11.0;2.082339830448552;ambiguous;-7.5;2.0;-9.0
32000;1;sell;5;9938.0;Mark 14;9945.5;9952.0;9951.0;9951.0;9970.0;15.0;0.0;0.0;0.0;37.0;37.0;9945.5;8;3;8;3;0;2;3;0;0;0;0.5;1.5;-14.0;2.078072635639077;sell;-14.0;-13.0;-13.0
33600;1;sell;6;9948.0;Mark 14;9956.0;9950.0;9954.0;9962.5;9975.0;16.0;0.0;0.0;0.0;33.0;33.0;9956.0;3;-3;3;-3;0;1;3;0;0;0;3.0;11.0;5.0;2.0306924597624594;sell;-2.0;-6.0;-14.5
37400;1;sell;4;9936.0;Mark 14;9946.0;9951.0;9943.0;9969.0;9963.5;16.0;0.0;0.0;0.0;33.0;33.0;9946.0;-3;-7;-3;-7;0;0;4;0;0;0;0.5;-9.0;1.0;1.973280862810546;sell;-15.0;-7.0;-33.0
40900;1;buy;5;9951.0;Mark 14;9945.0;9944.0;9953.0;9979.0;9957.0;16.0;0.0;0.0;0.0;33.0;33.0;9945.0;-7;-2;-7;-2;0;0;4;0;0;0;2.0;-2.5;-1.0;1.9475182316282003;ambiguous;-7.0;2.0;28.0
41300;1;buy;5;9953.0;Mark 14;9945.0;9946.0;9959.0;9976.0;9958.0;16.0;0.0;0.0;0.0;32.0;32.0;9945.0;-2;3;-2;3;1;1;5;0;0;0;0.0;-4.5;-2.0;1.8707196151160006;buy;-7.0;6.0;23.0
43900;1;sell;6;9952.0;Mark 14;9960.0;9967.0;9969.0;9966.0;9968.0;16.0;0.0;0.0;0.0;34.0;34.0;9960.0;3;-3;3;-3;0;0;3;0;0;0;0.0;12.0;6.0;2.0819968164725067;sell;-15.0;-17.0;-14.0
45200;1;sell;2;9961.0;Mark 14;9972.0;9972.0;9973.0;9946.0;9962.0;16.0;0.0;0.0;0.0;37.0;37.0;9972.0;-3;-5;-3;-5;0;1;4;0;0;0;4.0;15.0;21.0;2.205469451264092;sell;-11.0;-12.0;15.0
48300;1;sell;3;9960.0;Mark 14;9969.0;9966.0;9980.0;9954.0;9954.0;16.0;0.0;0.0;0.0;41.0;41.0;9969.0;-5;-8;-5;-8;0;0;4;0;0;0;0.0;-3.0;23.5;2.258925545009426;sell;-6.0;-20.0;6.0
52400;1;sell;5;9961.0;Mark 14;9971.0;9969.0;9954.0;9940.0;9952.0;16.0;0.0;0.0;0.0;42.0;42.0;9971.0;-8;-13;-8;-13;0;0;3;0;0;0;-2.0;-9.0;10.0;2.3213760700248094;sell;-8.0;7.0;21.0
