file;n_rows
Mark_01_VELVETFRUIT_EXTRACT.csv;504
Mark_01_VEV_5200.csv;11
Mark_01_VEV_5300.csv;132
Mark_01_VEV_5400.csv;263
Mark_01_VEV_5500.csv;299
Mark_01_VEV_6000.csv;317
Mark_01_VEV_6500.csv;317
Mark_14_HYDROGEL_PACK.csv;1003
Mark_14_VELVETFRUIT_EXTRACT.csv;647
Mark_14_VEV_4000.csv;439
Mark_14_VEV_5200.csv;33
Mark_14_VEV_5300.csv;30
Mark_14_VEV_5400.csv;13
Mark_14_VEV_5500.csv;7
Mark_22_HYDROGEL_PACK.csv;19
Mark_22_VELVETFRUIT_EXTRACT.csv;126
Mark_22_VEV_4000.csv;3
Mark_22_VEV_4500.csv;3
Mark_22_VEV_5000.csv;3
Mark_22_VEV_5100.csv;3
Mark_22_VEV_5200.csv;47
Mark_22_VEV_5300.csv;164
Mark_22_VEV_5400.csv;276
Mark_22_VEV_5500.csv;306
Mark_22_VEV_6000.csv;317
Mark_22_VEV_6500.csv;317
Mark_38_HYDROGEL_PACK.csv;1022
Mark_38_VEV_4000.csv;442
Mark_38_VEV_4500.csv;3
Mark_38_VEV_5000.csv;3
Mark_38_VEV_5100.csv;3
Mark_38_VEV_5200.csv;3
Mark_38_VEV_5300.csv;2
Mark_49_VELVETFRUIT_EXTRACT.csv;122
Mark_55_VELVETFRUIT_EXTRACT.csv;1198
Mark_67_VELVETFRUIT_EXTRACT.csv;165
