day,product,side,counterparty,n_trades,total_qty,total_horizon_pnl,mean_horizon_pnl
0,VELVETFRUIT_EXTRACT,buyer,_anon_,445,2689.0,334.5,0.1244
0,VELVETFRUIT_EXTRACT,seller,_anon_,445,2689.0,-334.5,-0.1244
0,VEV_5400,buyer,_anon_,64,218.0,133.5,0.6124
0,VEV_5400,seller,_anon_,64,218.0,-133.5,-0.6124
0,VEV_5500,buyer,_anon_,81,281.0,151.5,0.5391
0,VEV_5500,seller,_anon_,81,281.0,-151.5,-0.5391
0,VEV_6000,buyer,_anon_,91,320.0,160.0,0.5
0,VEV_6000,seller,_anon_,91,320.0,-160.0,-0.5
0,VEV_6500,buyer,_anon_,91,320.0,160.0,0.5
0,VEV_6500,seller,_anon_,91,320.0,-160.0,-0.5
0,HYDROGEL_PACK,buyer,_anon_,323,1344.0,-1009.5,-0.7511
0,HYDROGEL_PACK,seller,_anon_,323,1344.0,1009.5,0.7511
0,VEV_4000,buyer,_anon_,172,351.0,-27.0,-0.0769
0,VEV_4000,seller,_anon_,172,351.0,27.0,0.0769
0,VEV_5300,buyer,_anon_,37,128.0,102.0,0.7969
0,VEV_5300,seller,_anon_,37,128.0,-102.0,-0.7969
0,VEV_5200,buyer,_anon_,3,15.0,12.5,0.8333
0,VEV_5200,seller,_anon_,3,15.0,-12.5,-0.8333
1,VEV_5400,buyer,_anon_,81,286.0,170.0,0.5944
1,VEV_5400,seller,_anon_,81,286.0,-170.0,-0.5944
1,VEV_5500,buyer,_anon_,92,321.0,167.5,0.5218
1,VEV_5500,seller,_anon_,92,321.0,-167.5,-0.5218
1,VEV_6000,buyer,_anon_,98,345.0,172.5,0.5
1,VEV_6000,seller,_anon_,98,345.0,-172.5,-0.5
1,VEV_6500,buyer,_anon_,98,345.0,172.5,0.5
1,VEV_6500,seller,_anon_,98,345.0,-172.5,-0.5
1,HYDROGEL_PACK,buyer,_anon_,375,1485.0,-155.0,-0.1044
1,HYDROGEL_PACK,seller,_anon_,375,1485.0,155.0,0.1044
1,VEV_4000,buyer,_anon_,164,333.0,325.5,0.9775
1,VEV_4000,seller,_anon_,164,333.0,-325.5,-0.9775
1,VELVETFRUIT_EXTRACT,buyer,_anon_,450,2685.0,1408.5,0.5246
1,VELVETFRUIT_EXTRACT,seller,_anon_,450,2685.0,-1408.5,-0.5246
1,VEV_5300,buyer,_anon_,39,130.0,97.5,0.75
1,VEV_5300,seller,_anon_,39,130.0,-97.5,-0.75
1,VEV_5200,buyer,_anon_,7,22.0,8.0,0.3636
1,VEV_5200,seller,_anon_,7,22.0,-8.0,-0.3636
1,VEV_4500,buyer,_anon_,1,1.0,-1.0,-1.0
1,VEV_4500,seller,_anon_,1,1.0,1.0,1.0
1,VEV_5000,buyer,_anon_,1,1.0,-0.5,-0.5
1,VEV_5000,seller,_anon_,1,1.0,0.5,0.5
1,VEV_5100,buyer,_anon_,1,1.0,-1.0,-1.0
1,VEV_5100,seller,_anon_,1,1.0,1.0,1.0
2,VELVETFRUIT_EXTRACT,buyer,_anon_,477,2895.0,227.5,0.0786
2,VELVETFRUIT_EXTRACT,seller,_anon_,477,2895.0,-227.5,-0.0786
2,VEV_4000,buyer,_anon_,128,256.0,59.0,0.2305
2,VEV_4000,seller,_anon_,128,256.0,-59.0,-0.2305
2,HYDROGEL_PACK,buyer,_anon_,311,1244.0,-487.5,-0.3919
2,HYDROGEL_PACK,seller,_anon_,311,1244.0,487.5,0.3919
2,VEV_5400,buyer,_anon_,80,283.0,161.5,0.5707
2,VEV_5400,seller,_anon_,80,283.0,-161.5,-0.5707
2,VEV_5500,buyer,_anon_,94,335.0,165.5,0.494
2,VEV_5500,seller,_anon_,94,335.0,-165.5,-0.494
2,VEV_6000,buyer,_anon_,95,337.0,168.5,0.5
2,VEV_6000,seller,_anon_,95,337.0,-168.5,-0.5
2,VEV_6500,buyer,_anon_,95,337.0,168.5,0.5
2,VEV_6500,seller,_anon_,95,337.0,-168.5,-0.5
2,VEV_5300,buyer,_anon_,45,162.0,104.5,0.6451
2,VEV_5300,seller,_anon_,45,162.0,-104.5,-0.6451
2,VEV_5200,buyer,_anon_,8,26.0,27.0,1.0385
2,VEV_5200,seller,_anon_,8,26.0,-27.0,-1.0385
