day;product;side;counterparty;n_trades;total_qty;mean_trade_price;signed_flow;horizon_pnl_500;horizon_pnl_2000;mean_horizon_pnl_500
1;VEV_5400;buyer;Mark 01;76;267.0;14.569288;267.0;169.0;190.5;0.633
1;VEV_5400;seller;Mark 22;81;286.0;14.86014;-286.0;-170.0;-187.5;-0.5944
1;VEV_5500;buyer;Mark 01;89;310.0;5.954839;310.0;162.0;163.5;0.5226
1;VEV_5500;seller;Mark 22;92;321.0;5.990654;-321.0;-167.5;-160.0;-0.5218
1;VEV_6000;buyer;Mark 01;98;345.0;0.0;345.0;172.5;172.5;0.5
1;VEV_6000;seller;Mark 22;98;345.0;0.0;-345.0;-172.5;-172.5;-0.5
1;VEV_6500;buyer;Mark 01;98;345.0;0.0;345.0;172.5;172.5;0.5
1;VEV_6500;seller;Mark 22;98;345.0;0.0;-345.0;-172.5;-172.5;-0.5
1;HYDROGEL_PACK;buyer;Mark 38;189;745.0;10004.265772;745.0;-6242.5;-6203.0;-8.3792
1;HYDROGEL_PACK;seller;Mark 22;2;7.0;9979.714286;-7.0;35.0;53.0;5.0
1;VEV_4000;buyer;Mark 38;73;148.0;1258.297297;148.0;-1572.5;-1555.5;-10.625
1;VEV_4000;seller;Mark 14;72;147.0;1258.469388;-147.0;1571.5;1561.0;10.6905
1;VELVETFRUIT_EXTRACT;buyer;Mark 55;186;1011.0;5249.300692;1011.0;-2461.0;-2024.0;-2.4342
1;VELVETFRUIT_EXTRACT;seller;Mark 01;81;458.0;5250.20524;-458.0;1307.0;1510.0;2.8537
1;HYDROGEL_PACK;seller;Mark 14;187;738.0;10004.498645;-738.0;6207.5;6150.0;8.4112
1;VELVETFRUIT_EXTRACT;seller;Mark 49;34;342.0;5250.125731;-342.0;-499.0;-437.0;-1.4591
1;VELVETFRUIT_EXTRACT;buyer;Mark 67;58;519.0;5248.084778;519.0;754.0;654.0;1.4528
1;VELVETFRUIT_EXTRACT;buyer;Mark 01;76;426.0;5243.382629;426.0;1419.0;1396.5;3.331
1;VELVETFRUIT_EXTRACT;seller;Mark 55;198;1098.0;5244.581967;-1098.0;-3036.5;-2939.0;-2.7655
1;VEV_5300;buyer;Mark 01;32;110.0;43.490909;110.0;78.5;36.5;0.7136
1;VEV_5300;seller;Mark 22;39;130.0;44.207692;-130.0;-97.5;-63.5;-0.75
1;VEV_4000;buyer;Mark 14;91;185.0;1239.918919;185.0;1898.0;1937.5;10.2595
1;VEV_4000;seller;Mark 38;91;185.0;1239.918919;-185.0;-1898.0;-1937.5;-10.2595
1;VELVETFRUIT_EXTRACT;seller;Mark 22;40;274.0;5244.226277;-274.0;-354.5;-329.0;-1.2938
1;VELVETFRUIT_EXTRACT;buyer;Mark 14;114;630.0;5245.277778;630.0;1628.0;1533.0;2.5841
1;HYDROGEL_PACK;buyer;Mark 14;183;729.0;9983.861454;729.0;6052.5;6575.5;8.3025
1;HYDROGEL_PACK;seller;Mark 38;186;740.0;9984.251351;-740.0;-6087.5;-6575.5;-8.2264
1;VELVETFRUIT_EXTRACT;buyer;Mark 22;10;61.0;5238.377049;61.0;25.5;84.5;0.418
1;VEV_5500;buyer;Mark 14;3;11.0;7.0;11.0;5.5;-3.5;0.5
1;VELVETFRUIT_EXTRACT;seller;Mark 14;97;513.0;5248.481481;-513.0;1174.5;592.5;2.2895
1;VEV_5300;buyer;Mark 14;6;19.0;48.526316;19.0;19.0;25.0;1.0
1;VELVETFRUIT_EXTRACT;buyer;Mark 49;6;38.0;5250.815789;38.0;43.0;-41.5;1.1316
1;VEV_5400;buyer;Mark 14;5;19.0;18.947368;19.0;1.0;-3.0;0.0526
1;VEV_5200;buyer;Mark 14;6;21.0;86.571429;21.0;8.5;-10.5;0.4048
1;VEV_5200;seller;Mark 22;7;22.0;86.590909;-22.0;-8.0;7.5;-0.3636
1;VEV_4000;seller;Mark 22;1;1.0;1233.0;-1.0;1.0;-5.5;1.0
1;VEV_4500;buyer;Mark 38;1;1.0;733.0;1.0;-1.0;5.5;-1.0
1;VEV_4500;seller;Mark 22;1;1.0;733.0;-1.0;1.0;-5.5;1.0
1;VEV_5000;buyer;Mark 38;1;1.0;238.0;1.0;-0.5;6.0;-0.5
1;VEV_5000;seller;Mark 22;1;1.0;238.0;-1.0;0.5;-6.0;0.5
1;VEV_5100;buyer;Mark 38;1;1.0;152.0;1.0;-1.0;4.5;-1.0
1;VEV_5100;seller;Mark 22;1;1.0;152.0;-1.0;1.0;-4.5;1.0
1;VEV_5200;buyer;Mark 38;1;1.0;87.0;1.0;-0.5;3.0;-0.5
1;VEV_5300;buyer;Mark 38;1;1.0;41.0;1.0;0.0;2.0;0.0
1;HYDROGEL_PACK;buyer;Mark 22;3;11.0;10010.090909;11.0;35.0;0.0;3.1818
2;VELVETFRUIT_EXTRACT;buyer;Mark 67;61;567.0;5257.075838;567.0;545.0;445.5;0.9612
2;VELVETFRUIT_EXTRACT;seller;Mark 49;37;400.0;5256.43;-400.0;-387.5;-433.5;-0.9688
2;VEV_4000;buyer;Mark 14;64;132.0;1245.719697;132.0;1312.0;1250.0;9.9394
2;VEV_4000;seller;Mark 38;64;132.0;1245.719697;-132.0;-1312.0;-1250.0;-9.9394
2;VELVETFRUIT_EXTRACT;buyer;Mark 01;91;505.0;5255.611881;505.0;1249.0;938.5;2.4733
2;VELVETFRUIT_EXTRACT;seller;Mark 55;193;1099.0;5254.837125;-1099.0;-2406.0;-2098.0;-2.1893
2;VELVETFRUIT_EXTRACT;buyer;Mark 55;218;1190.0;5260.042857;1190.0;-2728.5;-2519.0;-2.2929
2;VELVETFRUIT_EXTRACT;seller;Mark 14;118;627.0;5260.102073;-627.0;1349.5;1317.0;2.1523
2;VEV_4000;buyer;Mark 38;64;124.0;1264.258065;124.0;-1253.0;-1186.0;-10.1048
