day;counterparty;hour_bucket;n_trades
1;Mark 01;0;75
1;Mark 22;0;72
1;Mark 38;0;57
1;Mark 14;0;75
1;Mark 55;0;35
1;Mark 49;0;6
1;Mark 67;0;8
1;Mark 55;1;42
1;Mark 14;1;84
1;Mark 38;1;60
1;Mark 01;1;62
1;Mark 67;1;5
1;Mark 49;1;5
1;Mark 22;1;52
1;Mark 38;2;56
1;Mark 14;2;81
1;Mark 55;2;42
1;Mark 22;2;17
1;Mark 01;2;27
1;Mark 67;2;8
1;Mark 49;2;5
1;Mark 38;3;64
1;Mark 14;3;87
1;Mark 01;3;41
1;Mark 22;3;35
1;Mark 55;3;31
1;Mark 67;3;6
1;Mark 49;3;4
1;Mark 14;4;67
1;Mark 55;4;49
1;Mark 01;4;51
1;Mark 38;4;46
1;Mark 22;4;37
1;Mark 49;4;3
1;Mark 67;4;1
1;Mark 14;5;71
1;Mark 38;5;52
1;Mark 01;5;65
1;Mark 22;5;61
1;Mark 55;5;39
1;Mark 67;5;7
1;Mark 49;5;5
1;Mark 55;6;37
1;Mark 01;6;61
1;Mark 14;6;70
1;Mark 38;6;48
1;Mark 22;6;55
1;Mark 67;6;5
1;Mark 49;6;2
1;Mark 38;7;55
1;Mark 14;7;80
1;Mark 01;7;64
1;Mark 22;7;57
1;Mark 55;7;35
1;Mark 67;7;2
1;Mark 49;7;1
1;Mark 14;8;74
1;Mark 38;8;46
1;Mark 01;8;53
1;Mark 22;8;46
1;Mark 55;8;44
1;Mark 67;8;10
1;Mark 49;8;7
1;Mark 38;9;60
1;Mark 14;9;75
1;Mark 55;9;30
1;Mark 01;9;51
1;Mark 22;9;42
1;Mark 67;9;6
1;Mark 49;9;2
2;Mark 67;0;4
2;Mark 49;0;2
2;Mark 14;0;47
2;Mark 38;0;28
2;Mark 01;0;66
2;Mark 55;0;48
2;Mark 22;0;49
2;Mark 38;1;46
2;Mark 14;1;66
2;Mark 22;1;32
2;Mark 01;1;46
2;Mark 55;1;41
2;Mark 67;1;8
2;Mark 49;1;7
2;Mark 14;2;76
2;Mark 38;2;51
2;Mark 22;2;55
2;Mark 55;2;46
2;Mark 01;2;61
2;Mark 49;2;5
2;Mark 67;2;4
2;Mark 14;3;67
2;Mark 38;3;46
2;Mark 01;3;82
2;Mark 55;3;39
2;Mark 22;3;71
2;Mark 67;3;6
2;Mark 49;3;3
2;Mark 14;4;68
2;Mark 55;4;35
2;Mark 38;4;43
2;Mark 01;4;60
2;Mark 22;4;52
2;Mark 67;4;6
2;Mark 49;4;4
2;Mark 55;5;38
2;Mark 14;5;74
2;Mark 38;5;48
2;Mark 01;5;60
2;Mark 22;5;52
2;Mark 67;5;3
2;Mark 49;5;1
2;Mark 38;6;50
2;Mark 14;6;69
2;Mark 01;6;50
2;Mark 22;6;39
2;Mark 55;6;35
2;Mark 67;6;7
2;Mark 49;6;2
2;Mark 67;7;9
2;Mark 22;7;41
2;Mark 14;7;55
2;Mark 55;7;40
2;Mark 01;7;53
2;Mark 38;7;38
2;Mark 49;7;8
2;Mark 38;8;46
2;Mark 14;8;74
2;Mark 55;8;42
2;Mark 01;8;45
2;Mark 22;8;37
2;Mark 67;8;5
2;Mark 49;8;5
2;Mark 14;9;72
2;Mark 55;9;47
2;Mark 01;9;50
2;Mark 38;9;43
2;Mark 67;9;9
2;Mark 49;9;6
2;Mark 22;9;43
3;Mark 14;0;66
3;Mark 38;0;41
3;Mark 55;0;38
3;Mark 01;0;71
3;Mark 67;0;5
3;Mark 22;0;66
3;Mark 49;0;3
3;Mark 14;1;77
3;Mark 38;1;65
3;Mark 55;1;32
3;Mark 01;1;58
3;Mark 67;1;5
3;Mark 49;1;3
3;Mark 22;1;52
3;Mark 38;2;48
3;Mark 14;2;74
3;Mark 01;2;62
3;Mark 55;2;43
3;Mark 67;2;6
3;Mark 49;2;4
3;Mark 22;2;55
3;Mark 55;3;43
3;Mark 49;3;4
3;Mark 14;3;93
3;Mark 38;3;68
3;Mark 01;3;91
3;Mark 22;3;90
3;Mark 67;3;3
3;Mark 38;4;55
3;Mark 14;4;84
3;Mark 55;4;40
3;Mark 67;4;4
3;Mark 22;4;48
3;Mark 49;4;3
3;Mark 01;4;56
3;Mark 14;5;60
3;Mark 38;5;38
3;Mark 55;5;43
3;Mark 01;5;91
3;Mark 22;5;82
3;Mark 67;5;3
3;Mark 49;5;1
3;Mark 14;6;66
3;Mark 55;6;27
3;Mark 01;6;86
3;Mark 38;6;44
3;Mark 22;6;81
3;Mark 67;6;4
3;Mark 49;6;4
3;Mark 14;7;82
3;Mark 22;7;63
3;Mark 01;7;72
3;Mark 67;7;8
3;Mark 49;7;7
3;Mark 38;7;43
3;Mark 55;7;51
3;Mark 55;8;44
3;Mark 01;8;81
3;Mark 38;8;42
3;Mark 14;8;66
3;Mark 22;8;67
3;Mark 49;8;5
3;Mark 67;8;3
3;Mark 55;9;42
3;Mark 14;9;72
3;Mark 01;9;52
3;Mark 38;9;51
3;Mark 67;9;5
3;Mark 49;9;5
3;Mark 22;9;35
