mark;source_product;target_product;side;horizon;n;mean_resp;t_stat;baseline_mean;lift_pct
Mark 22;VEV_5200;VEV_4000;seller;5;46;5.08696;20.845;-0.00282;216.1
Mark 14;VEV_5200;VEV_4000;buyer;5;33;5.06061;18.084;-0.00282;215.0
Mark 22;VEV_5200;VEV_4500;seller;5;46;3.78261;15.223;-0.00267;168.1
Mark 14;VEV_5200;VEV_4500;buyer;5;33;3.75758;13.825;-0.00267;167.0
Mark 22;VEV_5200;VEV_4000;seller;20;46;5.95652;7.269;-0.01147;137.5
Mark 22;VEV_5200;VEV_5000;seller;5;46;1.43478;6.622;-0.00332;71.0
Mark 14;VEV_5200;VEV_4000;buyer;20;33;5.72727;5.916;-0.01147;132.2
Mark 22;VEV_5200;VEV_4500;seller;20;46;4.77174;5.870;-0.01107;111.6
Mark 14;VEV_5200;VEV_5000;buyer;5;33;1.40909;5.839;-0.00332;69.8
Mark 22;VEV_5200;VEV_5100;seller;5;46;1.00000;5.056;-0.00430;56.2
Mark 14;VEV_5200;VEV_4500;buyer;20;33;4.45455;4.678;-0.01107;104.2
Mark 22;VEV_5200;VEV_4000;seller;100;46;6.86957;4.571;-0.07858;76.2
Mark 14;VEV_5200;VEV_5100;buyer;5;33;1.01515;4.526;-0.00430;57.0
