mark;product;side;n_prints;mean_qty;lambda_h1;lambda_h5;lambda_h20;lambda_h100
Mark 01;VELVETFRUIT_EXTRACT;buyer;260;5.450;0.05020;0.05186;-0.01758;-0.09606
Mark 01;VELVETFRUIT_EXTRACT;seller;244;5.635;0.03550;0.00047;0.02019;0.11853
Mark 01;VEV_5200;buyer;11;3.091;-0.01667;-0.15833;0.15606;0.72348
Mark 01;VEV_5300;buyer;132;3.326;-0.04078;-0.05619;-0.05543;-0.03630
Mark 01;VEV_5400;buyer;263;3.464;-0.00982;-0.00504;0.00212;-0.02028
Mark 01;VEV_5500;buyer;299;3.485;-0.00279;-0.00817;0.00753;-0.01265
Mark 01;VEV_6000;buyer;317;3.486;0.00000;0.00000;0.00000;0.00000
Mark 01;VEV_6500;buyer;317;3.486;0.00000;0.00000;0.00000;0.00000
Mark 14;HYDROGEL_PACK;buyer;496;4.010;0.05788;0.03743;0.15057;0.35129
Mark 14;HYDROGEL_PACK;seller;507;4.010;0.01765;0.02724;0.06433;0.19885
Mark 14;VELVETFRUIT_EXTRACT;buyer;316;5.573;-0.03705;-0.01064;-0.04279;-0.27145
Mark 14;VELVETFRUIT_EXTRACT;seller;331;5.326;-0.01395;-0.05439;-0.10657;-0.13068
Mark 14;VEV_4000;buyer;232;1.974;-0.01832;-0.07687;-0.09447;-0.02802
Mark 14;VEV_4000;seller;207;1.990;0.04227;-0.08535;-0.20209;0.38849
Mark 14;VEV_5200;buyer;33;3.697;0.04621;-0.05253;-0.00076;0.07854
Mark 14;VEV_5300;buyer;30;3.500;-0.08083;-0.11444;-0.08500;0.20417
Mark 14;VEV_5400;buyer;13;3.692;-0.08718;-0.10641;-0.11026;-0.32179
Mark 14;VEV_5500;buyer;7;3.857;-0.05000;-0.06429;-0.09286;-0.13571
Mark 22;HYDROGEL_PACK;buyer;11;3.818;-1.00076;-0.91742;-2.17121;-4.67045
Mark 22;HYDROGEL_PACK;seller;8;4.000;-0.85208;-0.74792;-0.10833;0.57083
Mark 22;VELVETFRUIT_EXTRACT;buyer;25;5.840;-0.09195;-0.08764;0.19140;0.41379
Mark 22;VELVETFRUIT_EXTRACT;seller;101;6.901;-0.24101;-0.25084;-0.24016;-0.09042
Mark 22;VEV_4000;buyer;1;3.000;-2.00000;-0.50000;0.33333;4.00000
Mark 22;VEV_4000;seller;2;1.500;-6.37500;-3.37500;-5.12500;-13.87500
Mark 22;VEV_4500;buyer;1;3.000;-1.50000;0.00000;1.00000;4.33333
Mark 22;VEV_4500;seller;2;1.500;-4.62500;-2.12500;-4.12500;-12.37500
Mark 22;VEV_5000;buyer;1;3.000;-0.50000;0.83333;1.83333;5.16667
Mark 22;VEV_5000;seller;2;1.500;-1.62500;-0.50000;-2.50000;-10.50000
Mark 22;VEV_5100;buyer;1;3.000;-0.50000;0.83333;1.50000;4.50000
Mark 22;VEV_5100;seller;2;1.500;-1.12500;-0.12500;-1.87500;-8.87500
Mark 22;VEV_5200;buyer;1;3.000;-0.33333;0.66667;1.16667;3.33333
Mark 22;VEV_5200;seller;46;3.457;-0.05091;0.07011;-0.08025;-0.50109
Mark 22;VEV_5300;buyer;1;3.000;-0.16667;0.16667;0.50000;1.83333
Mark 22;VEV_5300;seller;163;3.344;0.04177;0.06350;0.04519;-0.05726
Mark 22;VEV_5400;seller;276;3.475;0.01347;0.00981;0.00317;0.03448
Mark 22;VEV_5500;seller;306;3.493;0.00387;0.00945;-0.00523;0.01547
Mark 22;VEV_6000;seller;317;3.486;0.00000;0.00000;0.00000;0.00000
Mark 22;VEV_6500;seller;317;3.486;0.00000;0.00000;0.00000;0.00000
Mark 38;HYDROGEL_PACK;buyer;515;4.010;-0.00414;-0.01519;-0.06165;-0.20463
Mark 38;HYDROGEL_PACK;seller;507;4.006;-0.03491;-0.01672;-0.10020;-0.24234
Mark 38;VEV_4000;buyer;209;1.986;0.01914;0.11683;0.24920;-0.25199
Mark 38;VEV_4000;seller;233;1.979;0.02682;0.07868;0.09263;0.01073
Mark 38;VEV_4500;buyer;2;1.500;4.62500;2.12500;4.12500;12.37500
Mark 38;VEV_4500;seller;1;3.000;1.50000;0.00000;-1.00000;-4.33333
Mark 38;VEV_5000;buyer;2;1.500;1.62500;0.50000;2.50000;10.50000
Mark 38;VEV_5000;seller;1;3.000;0.50000;-0.83333;-1.83333;-5.16667
Mark 38;VEV_5100;buyer;2;1.500;1.12500;0.12500;1.87500;8.87500
Mark 38;VEV_5100;seller;1;3.000;0.50000;-0.83333;-1.50000;-4.50000
Mark 38;VEV_5200;buyer;2;1.500;0.50000;0.12500;1.00000;6.25000
Mark 38;VEV_5200;seller;1;3.000;0.33333;-0.66667;-1.16667;-3.33333
Mark 38;VEV_5300;buyer;1;1.000;1.00000;0.50000;2.50000;8.00000
Mark 38;VEV_5300;seller;1;3.000;0.16667;-0.16667;-0.50000;-1.83333
Mark 49;VELVETFRUIT_EXTRACT;buyer;17;6.765;-0.19331;-0.29218;-0.37045;-0.64642
Mark 49;VELVETFRUIT_EXTRACT;seller;105;10.200;-0.20208;-0.19934;-0.20819;-0.18992
Mark 55;VELVETFRUIT_EXTRACT;buyer;598;5.441;0.00560;0.04263;0.06927;0.02963
Mark 55;VELVETFRUIT_EXTRACT;seller;600;5.495;0.00525;-0.00636;0.01537;0.15794
Mark 67;VELVETFRUIT_EXTRACT;buyer;165;9.152;0.23791;0.23947;0.27530;0.25652
