day;timestamp;S;check;strike_a;strike_b;strike_c;lhs;rhs;edge
1;200;5246.5;intrinsic_floor;4500;;;746.0;746.5;0.5
1;300;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;400;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;500;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;700;5245.5;intrinsic_floor;4500;;;745.0;745.5;0.5
1;900;5245.5;intrinsic_floor;4500;;;745.0;745.5;0.5
1;1000;5247.0;intrinsic_floor;4000;;;1246.5;1247.0;0.5
1;1100;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;1300;5249.5;intrinsic_floor;4500;;;749.0;749.5;0.5
1;1400;5251.0;intrinsic_floor;4000;;;1250.5;1251.0;0.5
1;1600;5250.5;intrinsic_floor;4500;;;750.0;750.5;0.5
1;1700;5251.5;intrinsic_floor;4500;;;751.0;751.5;0.5
1;2000;5251.5;intrinsic_floor;4000;;;1250.5;1251.5;1.0
1;2000;5251.5;intrinsic_floor;4500;;;750.0;751.5;1.5
1;2100;5250.0;intrinsic_floor;4000;;;1249.5;1250.0;0.5
1;2300;5249.5;intrinsic_floor;4500;;;749.0;749.5;0.5
1;2400;5250.5;intrinsic_floor;4500;;;750.0;750.5;0.5
1;2500;5251.5;intrinsic_floor;4500;;;751.0;751.5;0.5
1;2600;5249.0;intrinsic_floor;4000;;;1248.5;1249.0;0.5
1;2900;5249.5;intrinsic_floor;4500;;;749.0;749.5;0.5
1;3300;5254.0;intrinsic_floor;4000;;;1253.5;1254.0;0.5
1;3600;5253.5;intrinsic_floor;4500;;;753.0;753.5;0.5
1;3700;5252.0;intrinsic_floor;4000;;;1251.5;1252.0;0.5
1;4000;5252.5;intrinsic_floor;4500;;;752.0;752.5;0.5
1;4300;5252.5;intrinsic_floor;4500;;;752.0;752.5;0.5
1;4500;5254.5;intrinsic_floor;4000;;;1249.0;1254.5;5.5
1;4500;5254.5;intrinsic_floor;4500;;;750.0;754.5;4.5
1;4900;5252.5;intrinsic_floor;4500;;;752.0;752.5;0.5
1;5000;5252.0;intrinsic_floor;4000;;;1251.5;1252.0;0.5
1;5500;5254.5;intrinsic_floor;4500;;;754.0;754.5;0.5
1;5800;5253.5;intrinsic_floor;4500;;;753.0;753.5;0.5
1;6100;5252.5;intrinsic_floor;4500;;;752.0;752.5;0.5
1;6200;5252.5;intrinsic_floor;4500;;;752.0;752.5;0.5
1;6300;5252.5;intrinsic_floor;4500;;;752.0;752.5;0.5
1;6400;5252.0;intrinsic_floor;4000;;;1251.5;1252.0;0.5
1;6800;5248.5;intrinsic_floor;4500;;;748.0;748.5;0.5
1;6900;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;7000;5248.5;intrinsic_floor;4500;;;748.0;748.5;0.5
1;7100;5248.5;intrinsic_floor;4500;;;748.0;748.5;0.5
1;7200;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;7300;5246.5;intrinsic_floor;4500;;;746.0;746.5;0.5
1;7700;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;7900;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;8100;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;8300;5247.5;intrinsic_floor;4500;;;747.0;747.5;0.5
1;8400;5248.5;intrinsic_floor;4500;;;748.0;748.5;0.5
1;8600;5245.0;intrinsic_floor;4000;;;1244.5;1245.0;0.5
1;8800;5245.5;intrinsic_floor;4500;;;745.0;745.5;0.5
1;9200;5247.0;intrinsic_floor;4000;;;1246.5;1247.0;0.5
1;9600;5246.5;intrinsic_floor;4000;;;1241.0;1246.5;5.5
1;9600;5246.5;intrinsic_floor;4500;;;742.0;746.5;4.5
1;10000;5245.5;intrinsic_floor;4000;;;1244.5;1245.5;1.0
1;10000;5245.5;intrinsic_floor;4500;;;745.0;745.5;0.5
1;10800;5242.5;intrinsic_floor;4500;;;742.0;742.5;0.5
1;10900;5243.5;intrinsic_floor;4500;;;743.0;743.5;0.5
1;11100;5244.5;intrinsic_floor;4500;;;744.0;744.5;0.5
1;11300;5243.5;intrinsic_floor;4500;;;743.0;743.5;0.5
1;11800;5241.5;intrinsic_floor;4000;;;1236.0;1241.5;5.5
1;11800;5241.5;intrinsic_floor;4500;;;737.5;741.5;4.0
1;11900;5242.5;intrinsic_floor;4500;;;742.0;742.5;0.5
1;12200;5241.5;intrinsic_floor;4500;;;741.0;741.5;0.5
1;12400;5241.5;intrinsic_floor;4500;;;741.0;741.5;0.5
1;12500;5240.5;intrinsic_floor;4500;;;740.0;740.5;0.5
1;13000;5240.5;intrinsic_floor;4500;;;740.0;740.5;0.5
1;13200;5239.5;intrinsic_floor;4500;;;739.0;739.5;0.5
1;13700;5238.5;intrinsic_floor;4500;;;738.0;738.5;0.5
1;14300;5235.5;intrinsic_floor;4500;;;735.0;735.5;0.5
1;14800;5234.5;intrinsic_floor;4000;;;1229.0;1234.5;5.5
1;14800;5234.5;intrinsic_floor;4500;;;730.5;734.5;4.0
1;14900;5234.5;intrinsic_floor;4500;;;734.0;734.5;0.5
1;15100;5234.5;intrinsic_floor;4500;;;734.0;734.5;0.5
1;15400;5233.5;intrinsic_floor;4500;;;733.0;733.5;0.5
1;15600;5231.5;intrinsic_floor;4000;;;1231.0;1231.5;0.5
1;15600;5231.5;intrinsic_floor;4500;;;731.0;731.5;0.5
1;16000;5233.5;intrinsic_floor;4500;;;733.0;733.5;0.5
1;16200;5232.5;intrinsic_floor;4500;;;732.0;732.5;0.5
1;16500;5232.5;intrinsic_floor;4500;;;732.0;732.5;0.5
1;16700;5231.5;intrinsic_floor;4000;;;1226.0;1231.5;5.5
1;16700;5231.5;intrinsic_floor;4500;;;727.5;731.5;4.0
1;17200;5232.5;intrinsic_floor;4500;;;732.0;732.5;0.5
1;18200;5231.5;intrinsic_floor;4500;;;731.0;731.5;0.5
1;18600;5229.5;intrinsic_floor;4000;;;1228.0;1229.5;1.5
1;18600;5229.5;intrinsic_floor;4500;;;728.0;729.5;1.5
1;18900;5228.5;intrinsic_floor;4500;;;728.0;728.5;0.5
1;19300;5228.5;intrinsic_floor;4500;;;728.0;728.5;0.5
