pair;alpha;beta;adf_t_pool;half_life_ticks;residual_std;in_sample_sharpe;beta_d1;beta_d2;beta_d3;beta_drift_d2;beta_drift_d3;day_2_oos_sharpe;day_3_oos_sharpe;ship_grade
VE~HYDROGEL;6213.7318;-0.09666;-5.616;328.0;1.1564;-3.479;0.07137;-0.119254;-0.202727;2.671;3.841;-1.108;-2.294;C
VEV_4000~VE;-4001.0822;1.000208;-174.058;nan;0.8589;-35.413;0.999699;0.999753;1.000886;0.0;0.001;-19.698;-20.527;D
VEV_4500~VE;-4499.6437;0.999934;-173.834;nan;0.7713;-43.624;0.999538;0.9995;1.000294;0.0;0.001;-24.665;-24.964;D
VEV_5000~VE;-4800.5513;0.962659;-48.545;4.4;0.7093;-16.2;0.92767;0.950387;0.959599;0.024;0.034;-19.591;-16.511;B
VEV_5100~VE;-4435.387;0.875869;-18.573;30.2;0.6497;-0.724;0.811037;0.87028;0.842995;0.073;0.039;-5.923;-5.911;B
VEV_5200~VE;-3509.0967;0.685658;-9.53;114.5;0.5431;-0.137;0.582985;0.668867;0.624925;0.147;0.072;-0.598;-0.836;B
VEV_5300~VE;-2214.7857;0.4299;-7.558;181.2;0.4214;-0.147;0.369622;0.402682;0.3466;0.089;0.062;-0.592;-0.326;B
VEV_5400~VE;-926.3875;0.178941;-7.742;173.5;0.2318;-0.21;0.162858;0.169088;0.133103;0.038;0.183;-0.801;-0.301;B
VEV_5500~VE;-414.0099;0.079791;-8.19;156.1;0.1563;-0.208;0.07406;0.070121;0.044722;0.053;0.396;-1.368;-1.822;C
VEV_6000~VE;0.5;0.0;nan;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;nan;nan;F
VEV_6500~VE;0.5;0.0;nan;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;nan;nan;F
VEV_4500~VEV_4000;-499.0684;0.999253;-172.452;0.1;0.4087;-85.094;0.999158;0.99928;0.998882;0.0;0.0;-46.866;-47.798;B
VEV_5100~VEV_5000;-69.482;0.917182;-17.937;32.3;0.3978;-0.128;0.876495;0.915898;0.879568;0.045;0.004;-1.285;-1.076;B
VEV_5500~VEV_5400;-1.7905;0.514522;-28.184;13.1;0.1751;-6.857;0.478967;0.438167;0.346796;0.085;0.276;-6.644;-4.869;B
