day;timestamp;strike;log_moneyness;iv;iv_fit;iv_resid
1;0;5000;0.04783733;0.24275997;0.24879647407182495;-0.006036504071824961
1;0;5100;0.0280347;0.24434634;0.23970631017858798;0.004640029821412012
1;0;5200;0.00861662;0.24516615;0.2361571063101109;0.009009043689889112
1;0;5300;-0.01043158;0.24424583;0.23783654026196077;0.0064092897380392255
1;0;5400;-0.02912371;0.22958829;0.24445355625587617;-0.01486526625587617
1;0;5500;-0.04747285;0.25204015;0.25573660081930183;-0.003696450819301811
1;0;6000;-0.13448423;0.38022889;0.3738144523836743;0.006414437616325708
1;0;6500;-0.21452694;0.57474587;0.576620449718663;-0.0018745797186630053
1;100;4500;0.15329317;0.4343418;0.43125209923476265;0.0030897007652373465
1;100;5000;0.04793265;0.24807648;0.25921636447873864;-0.011139884478738649
1;100;5100;0.02813003;0.24747418;0.24613380362217774;0.00134037637782225
1;100;5200;0.00871194;0.24783698;0.2392207992457376;0.008616180754262404
1;100;5300;-0.01033625;0.2437258;0.23813069338914247;0.00559510661085752
1;100;5400;-0.02902839;0.22927586;0.24254039536030034;-0.013264535360300339
1;100;5500;-0.04737753;0.25183889;0.2521484325806819;-0.00030954258068194296
1;100;6000;-0.1343889;0.3802589;0.36891693543038073;0.011341964569619278
1;100;6500;-0.21443161;0.57492451;0.5801938766580776;-0.0052693666580776455
1;200;5000;0.04812328;0.23921306;0.24675589520702945;-0.007542835207029447
1;200;5100;0.02832065;0.24368309;0.23805741018835558;0.005625679811644413
1;200;5200;0.00890256;0.24583145;0.23485397386178752;0.010977476138212483
1;200;5300;-0.01014563;0.24250739;0.23683573712205463;0.0056716528779453546
1;200;5400;-0.02883777;0.22848546;0.24371395448172328;-0.015228494481723281
1;200;5500;-0.0471869;0.25125548;0.2552192126751652;-0.003963732675165199
1;200;6000;-0.13419828;0.38004713;0.3738897301834314;0.006157399816568598
1;200;6500;-0.21424099;0.57487125;0.5765683962804528;-0.0016971462804528104
1;300;5000;0.04831386;0.24991007;0.2536057964067655;-0.0036957264067654927
1;300;5100;0.02851123;0.24483392;0.24301883898881116;0.0018150810111888516
1;300;5200;0.00909315;0.247408;0.23818913376375356;0.009218866236246431
1;300;5300;-0.00995505;0.24487836;0.2387925842693411;0.006085775730658882
1;300;5400;-0.02864718;0.23026034;0.24452715392057744;-0.014266813920577437
1;300;5500;-0.04699632;0.25067104;0.25511103257579487;-0.00443999257579486
1;300;6000;-0.1340077;0.3798353;0.3721271571776298;0.007708142822370201
1;300;6500;-0.2140504;0.57481827;0.5772436028973265;-0.002425332897326493
1;400;5000;0.04831386;0.25008953;0.2537879139680188;-0.0036983839680188035
1;400;5100;0.02851123;0.24500974;0.2431933553114811;0.0018163846885189128
1;400;5200;0.00909315;0.24758568;0.2383601830179258;0.0092254969820742
1;400;5300;-0.00995505;0.24505421;0.2389640678973939;0.006090142102606083
1;400;5400;-0.02864718;0.23042569;0.2447027564779811;-0.014277066477981104
1;400;5500;-0.04699632;0.25085106;0.25529423625535885;-0.004443176255358838
1;400;6000;-0.1340077;0.38010807;0.3723943930510207;0.007713676948979342
1;400;6500;-0.2140504;0.57523106;0.5776581340208198;-0.002427074020819764
1;500;5000;0.04831386;0.24045006;0.24824641110539167;-0.0077963511053916745
1;500;5100;0.02851123;0.24518594;0.23942445749444843;0.005761482505551557
1;500;5200;0.00909315;0.24596166;0.23610868256382211;0.009852977436177884
1;500;5300;-0.00995505;0.24523045;0.2379886474405532;0.007241802559446786
1;500;5400;-0.02864718;0.23059141;0.24477505296914043;-0.014183642969140431
1;500;5500;-0.04699632;0.25103146;0.2561979867480425;-0.005166526748042521
1;500;6000;-0.1340077;0.38038143;0.37458321029948966;0.005798219700510365
1;500;6500;-0.2140504;0.57564475;0.577152711379112;-0.0015079613791119106
1;600;4000;0.27098088;2.5000005;2.278372481343437;0.2216280186565629
