set,timestamp,delta_total,total,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT
prices_round_2_day_0,984800,-1038800.0,-937571.0,20235.0,-957806.0
prices_round_2_day_0,967700,-1037400.0,-938000.0,19958.0,-957958.0
prices_round_2_day_0,931300,-1034286.0,-937970.0,20078.0,-958048.0
prices_round_2_day_0,793800,-1023807.0,-941502.0,16970.0,-958472.0
prices_round_2_day_0,773700,-1022311.5,-941818.0,16654.0,-958472.0
prices_round_2_day_0,576400,-1006240.0,-947426.0,11791.0,-959217.0
prices_round_2_day_0,576600,-1005680.0,-947426.0,11791.0,-959217.0
prices_round_2_day_0,506800,-1000511.0,-948146.0,11149.0,-959295.0
prices_round_2_day_0,273800,-981948.0,-953864.0,6058.0,-959922.0
prices_round_2_day_0,259900,-980880.0,-954486.0,5536.0,-960022.0
prices_round_2_day_0,191700,-975312.0,-956392.0,3701.0,-960093.0
prices_round_2_day_0,73400,-966028.5,-958686.5,1570.5,-960257.0
prices_round_2_day_0,537600,-965387.5,-910145.0,11509.0,-921654.0
prices_round_2_day_0,954600,-959097.0,-861053.0,19193.0,-880246.0
prices_round_2_day_0,950600,-958337.0,-860094.0,20152.0,-880246.0
prices_round_2_day_0,328400,-949288.5,-915924.0,6970.0,-922894.0
prices_round_2_day_0,35000,-926656.5,-923586.0,716.0,-924302.0
prices_round_2_day_0,144700,-923016.5,-908660.5,2923.5,-911584.0
prices_round_2_day_0,542500,-801235.5,55236.5,11118.0,44118.5
prices_round_2_day_0,593800,-799998.5,60478.5,12188.0,48290.5
prices_round_2_day_0,733000,-779454.0,-704068.0,-764058.0,59990.0
prices_round_2_day_0,729400,-769226.0,-694486.5,-754200.0,59713.5
prices_round_2_day_0,767400,-709858.0,-630517.0,-693405.0,62888.0
prices_round_2_day_0,447400,-500390.0,45766.0,9523.0,36243.0
prices_round_2_day_0,819200,-470472.5,-385514.0,-452614.0,67100.0
