set,timestamp,delta_total,total,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT
prices_round_2_day_1,679100,-1094160.0,-1026246.0,13881.0,-1040127.0
prices_round_2_day_1,553900,-1083782.0,-1028317.0,12034.0,-1040351.0
prices_round_2_day_1,524300,-1081800.0,-1028661.0,11708.0,-1040369.0
prices_round_2_day_1,483100,-1078629.5,-1029727.5,10788.5,-1040516.0
prices_round_2_day_1,415300,-1033207.0,-991637.0,8950.0,-1000587.0
prices_round_2_day_1,536500,-1028774.0,-974403.0,11816.0,-986219.0
prices_round_2_day_1,283700,-996239.0,-968729.0,5952.0,-974681.0
prices_round_2_day_1,559900,-976320.0,-919556.0,12272.0,-931828.0
prices_round_2_day_1,541700,-975162.0,-920137.0,11858.0,-931995.0
prices_round_2_day_1,143800,-946373.5,-933553.0,2676.0,-936229.0
prices_round_2_day_1,333200,-933208.0,-900445.0,7228.0,-907673.0
prices_round_2_day_1,331800,-933116.5,-900538.5,7134.5,-907673.0
prices_round_2_day_1,915900,-876657.0,-782660.5,19934.5,-802595.0
prices_round_2_day_1,40300,-821540.0,-818813.0,1023.0,-819836.0
prices_round_2_day_1,449300,-650678.0,44344.0,9039.0,35305.0
prices_round_2_day_1,910200,-510144.5,-416551.0,-490175.0,73624.0
prices_round_2_day_1,271200,-500220.0,-474135.0,-494070.0,19935.0
prices_round_2_day_1,21800,-450180.0,1000.0,428.0,572.0
prices_round_2_day_1,194300,-430129.0,17949.0,3684.0,14265.0
prices_round_2_day_1,389700,-429630.5,38595.5,8209.5,30386.0
prices_round_2_day_1,916800,-390550.5,-295979.5,-370124.0,74144.5
prices_round_2_day_1,17000,-390192.0,689.0,284.0,405.0
prices_round_2_day_1,438100,-380038.0,43649.0,9291.0,34358.0
prices_round_2_day_1,15600,-364276.5,-363775.0,296.0,-364071.0
prices_round_2_day_1,90800,-320098.0,7530.0,1778.0,5752.0
