set,timestamp,delta_total,total,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT
prices_round_2_day_-1,792000,-943360.0,-863189.0,17217.0,-880406.0
prices_round_2_day_-1,424000,-913910.0,-872106.0,8977.0,-881083.0
prices_round_2_day_-1,398200,-911824.0,-872581.0,8538.0,-881119.0
prices_round_2_day_-1,322400,-905759.0,-874269.5,6944.5,-881214.0
prices_round_2_day_-1,309600,-904840.0,-874504.0,6704.0,-881208.0
prices_round_2_day_-1,696800,-900435.0,-831156.0,14286.0,-845442.0
prices_round_2_day_-1,199100,-896848.0,-876711.0,4549.0,-881260.0
prices_round_2_day_-1,143900,-891603.5,-877962.0,3271.0,-881233.0
prices_round_2_day_-1,80800,-886848.0,-879716.0,1512.0,-881228.0
prices_round_2_day_-1,914300,-869747.0,-777226.0,19559.0,-796785.0
prices_round_2_day_-1,164100,-781060.0,-766011.0,3644.0,-769655.0
prices_round_2_day_-1,32700,-739165.5,-737057.0,844.0,-737901.0
prices_round_2_day_-1,82500,-710035.0,-702670.0,-708062.0,5392.0
prices_round_2_day_-1,875100,-649895.0,-561158.0,-631087.0,69929.0
prices_round_2_day_-1,718800,-520002.0,71975.0,14927.0,57048.0
prices_round_2_day_-1,172600,-509671.5,-493395.0,-506251.0,12856.0
prices_round_2_day_-1,56300,-499885.0,-495169.0,-498446.0,3277.0
prices_round_2_day_-1,21800,-462742.0,-461449.0,832.0,-462281.0
prices_round_2_day_-1,822500,-389459.0,-306289.0,-372269.0,65980.0
prices_round_2_day_-1,518900,-350192.5,52081.5,11405.5,40676.0
prices_round_2_day_-1,543800,-249914.0,54656.0,11975.0,42681.0
prices_round_2_day_-1,976300,-129493.0,99396.0,20723.0,78673.0
prices_round_2_day_-1,586100,-80000.0,-21048.0,-67250.0,46202.0
prices_round_2_day_-1,396100,-50157.5,38977.5,8536.5,30441.0
prices_round_2_day_-1,563700,-39948.0,16578.0,-27645.0,44223.0
