set,timestamp,delta_total,total,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT
prices_round_2_day_-1,792000,-943360.0,-861651.0,17217.0,-878868.0
prices_round_2_day_-1,696800,-935520.0,-864812.0,14286.0,-879098.0
prices_round_2_day_-1,398200,-911824.0,-871330.0,8538.0,-879868.0
prices_round_2_day_-1,309600,-904840.0,-873380.0,6704.0,-880084.0
prices_round_2_day_-1,199100,-896848.0,-875712.0,4549.0,-880261.0
prices_round_2_day_-1,80800,-886848.0,-878850.0,1512.0,-880362.0
prices_round_2_day_-1,32700,-882575.0,-879668.0,844.0,-880512.0
prices_round_2_day_-1,21800,-881578.0,-879680.0,832.0,-880512.0
prices_round_2_day_-1,914300,-869747.0,-775645.0,19559.0,-795204.0
prices_round_2_day_-1,424000,-868208.0,-825141.0,8977.0,-834118.0
prices_round_2_day_-1,164100,-848008.0,-831977.0,3644.0,-835621.0
prices_round_2_day_-1,143900,-847021.5,-832350.0,3271.0,-835621.0
prices_round_2_day_-1,322400,-837827.0,-805207.5,6944.5,-812152.0
prices_round_2_day_-1,82500,-710031.0,-701824.0,-708062.0,6238.0
prices_round_2_day_-1,875100,-649895.0,-559712.0,-631087.0,71375.0
prices_round_2_day_-1,718800,-519996.0,73484.0,14927.0,58557.0
prices_round_2_day_-1,172600,-509640.0,-492352.0,-506251.0,13899.0
prices_round_2_day_-1,56300,-499885.0,-494294.0,-498446.0,4152.0
prices_round_2_day_-1,822500,-389444.0,-304808.0,-372269.0,67461.0
prices_round_2_day_-1,518900,-350192.5,53272.5,11405.5,41867.0
prices_round_2_day_-1,543800,-249911.5,55856.0,11975.0,43881.0
prices_round_2_day_-1,976300,-129498.0,101004.0,20723.0,80281.0
prices_round_2_day_-1,586100,-80000.0,-19799.0,-67250.0,47451.0
prices_round_2_day_-1,396100,-50157.5,40228.5,8536.5,31692.0
prices_round_2_day_-1,563700,-39948.0,17738.0,-27645.0,45383.0
