product,day,bucket,n,sum_h5000,mean_h5000
HYDROGEL_PACK,0,first_100_ticks,2,731.0,365.5
HYDROGEL_PACK,0,spread_gt_2,401,71700.0,178.80299251870323
HYDROGEL_PACK,0,spread_gt_3,401,71700.0,178.80299251870323
HYDROGEL_PACK,0,BUY_above_mid,169,-30158.5,-178.4526627218935
HYDROGEL_PACK,0,SELL_below_mid,155,98001.0,632.2645161290322
HYDROGEL_PACK,1,first_30_ticks,16,5318.0,332.375
HYDROGEL_PACK,1,first_100_ticks,16,5318.0,332.375
HYDROGEL_PACK,1,spread_gt_2,227,58020.5,255.59691629955947
HYDROGEL_PACK,1,spread_gt_3,227,58020.5,255.59691629955947
HYDROGEL_PACK,1,BUY_above_mid,64,44661.5,697.8359375
HYDROGEL_PACK,1,SELL_below_mid,95,8438.0,88.82105263157895
HYDROGEL_PACK,2,first_30_ticks,5,2003.5,400.7
HYDROGEL_PACK,2,first_100_ticks,15,6631.5,442.1
HYDROGEL_PACK,2,spread_gt_2,250,27301.5,109.206
HYDROGEL_PACK,2,spread_gt_3,250,27301.5,109.206
HYDROGEL_PACK,2,BUY_above_mid,87,13396.0,153.97701149425288
HYDROGEL_PACK,2,SELL_below_mid,104,11281.5,108.47596153846153
VELVETFRUIT_EXTRACT,0,BUY_when_imb<-0.3,21,565.0,26.904761904761905
VELVETFRUIT_EXTRACT,0,SELL_when_imb>0.3,39,3190.5,81.8076923076923
VELVETFRUIT_EXTRACT,0,BUY_when_imb<-0.5,13,79.0,6.076923076923077
VELVETFRUIT_EXTRACT,0,SELL_when_imb>0.5,17,2674.5,157.3235294117647
VELVETFRUIT_EXTRACT,0,first_30_ticks,1,42.0,42.0
VELVETFRUIT_EXTRACT,0,first_100_ticks,6,-6.5,-1.0833333333333333
VELVETFRUIT_EXTRACT,0,spread_gt_2,421,16150.0,38.36104513064133
VELVETFRUIT_EXTRACT,0,spread_gt_3,287,14494.0,50.501742160278745
VELVETFRUIT_EXTRACT,0,BUY_above_mid,227,2513.0,11.070484581497798
VELVETFRUIT_EXTRACT,0,SELL_below_mid,180,11345.5,63.03055555555556
VELVETFRUIT_EXTRACT,1,BUY_when_imb<-0.3,33,3668.0,111.15151515151516
VELVETFRUIT_EXTRACT,1,SELL_when_imb>0.3,24,642.5,26.770833333333332
VELVETFRUIT_EXTRACT,1,BUY_when_imb<-0.5,14,3281.0,234.35714285714286
VELVETFRUIT_EXTRACT,1,SELL_when_imb>0.5,14,520.0,37.142857142857146
VELVETFRUIT_EXTRACT,1,first_30_ticks,2,-2.0,-1.0
VELVETFRUIT_EXTRACT,1,first_100_ticks,4,279.5,69.875
VELVETFRUIT_EXTRACT,1,spread_gt_2,412,-7327.5,-17.785194174757283
VELVETFRUIT_EXTRACT,1,spread_gt_3,280,2347.5,8.383928571428571
VELVETFRUIT_EXTRACT,1,BUY_above_mid,240,23929.0,99.70416666666667
VELVETFRUIT_EXTRACT,1,SELL_below_mid,174,-11972.0,-68.80459770114942
VELVETFRUIT_EXTRACT,2,BUY_when_imb<-0.3,32,6385.0,199.53125
VELVETFRUIT_EXTRACT,2,SELL_when_imb>0.3,35,-7370.0,-210.57142857142858
VELVETFRUIT_EXTRACT,2,BUY_when_imb<-0.5,21,5323.0,253.47619047619048
VELVETFRUIT_EXTRACT,2,SELL_when_imb>0.5,15,-6483.5,-432.23333333333335
VELVETFRUIT_EXTRACT,2,first_30_ticks,2,281.5,140.75
VELVETFRUIT_EXTRACT,2,first_100_ticks,6,72.0,12.0
VELVETFRUIT_EXTRACT,2,spread_gt_2,449,-17260.0,-38.44097995545657
VELVETFRUIT_EXTRACT,2,spread_gt_3,305,-3243.5,-10.634426229508197
VELVETFRUIT_EXTRACT,2,BUY_above_mid,218,49015.5,224.84174311926606
VELVETFRUIT_EXTRACT,2,SELL_below_mid,202,-43351.0,-214.6089108910891
VEV_4000,0,first_30_ticks,1,-13.5,-13.5
VEV_4000,0,first_100_ticks,1,-13.5,-13.5
VEV_4000,0,spread_gt_2,86,236.0,2.744186046511628
VEV_4000,0,spread_gt_3,86,236.0,2.744186046511628
VEV_4000,0,BUY_above_mid,86,236.0,2.744186046511628
VEV_4000,1,first_100_ticks,2,61.0,30.5
VEV_4000,1,spread_gt_2,87,2582.5,29.683908045977013
VEV_4000,1,spread_gt_3,87,2582.5,29.683908045977013
VEV_4000,1,BUY_above_mid,87,2582.5,29.683908045977013
VEV_4000,2,spread_gt_2,86,5291.0,61.52325581395349
VEV_4000,2,spread_gt_3,86,5291.0,61.52325581395349
VEV_4000,2,BUY_above_mid,86,5291.0,61.52325581395349
VEV_4500,0,first_30_ticks,1,-15.0,-15.0
VEV_4500,0,first_100_ticks,1,-15.0,-15.0
VEV_4500,0,spread_gt_2,77,704.0,9.142857142857142
VEV_4500,0,spread_gt_3,77,704.0,9.142857142857142
VEV_4500,0,BUY_above_mid,77,704.0,9.142857142857142
VEV_4500,1,first_100_ticks,2,60.0,30.0
VEV_4500,1,spread_gt_2,84,2749.0,32.726190476190474
VEV_4500,1,spread_gt_3,84,2749.0,32.726190476190474
VEV_4500,1,BUY_above_mid,84,2749.0,32.726190476190474
VEV_4500,2,spread_gt_2,72,3519.5,48.88194444444444
VEV_4500,2,spread_gt_3,72,3519.5,48.88194444444444
VEV_4500,2,BUY_above_mid,72,3519.5,48.88194444444444
VEV_5000,0,first_30_ticks,1,-18.0,-18.0
VEV_5000,0,first_100_ticks,1,-18.0,-18.0
VEV_5000,0,spread_gt_2,23,-328.5,-14.282608695652174
VEV_5000,0,BUY_above_mid,34,-380.5,-11.191176470588236
VEV_5000,0,SELL_below_mid,4,-87.0,-21.75
VEV_5000,1,spread_gt_2,24,-864.5,-36.020833333333336
VEV_5000,1,spread_gt_3,1,-32.0,-32.0
VEV_5000,1,BUY_above_mid,53,626.0,11.81132075471698
VEV_5000,1,SELL_below_mid,2,-47.0,-23.5
VEV_5000,2,spread_gt_2,14,-1211.0,-86.5
VEV_5000,2,BUY_above_mid,34,1086.5,31.955882352941178
VEV_5000,2,SELL_below_mid,3,-469.5,-156.5
VEV_5100,0,first_30_ticks,1,-15.0,-15.0
VEV_5100,0,first_100_ticks,1,-15.0,-15.0
VEV_5100,0,spread_gt_2,37,-3037.0,-82.08108108108108
VEV_5100,0,spread_gt_3,30,-3112.0,-103.73333333333333
VEV_5100,0,BUY_above_mid,10,-83.5,-8.35
VEV_5100,0,SELL_below_mid,45,-3220.0,-71.55555555555556
VEV_5100,1,spread_gt_2,14,1939.5,138.53571428571428
VEV_5100,1,spread_gt_3,14,1939.5,138.53571428571428
VEV_5100,1,BUY_above_mid,62,3007.0,48.5
VEV_5100,1,SELL_below_mid,1,-22.0,-22.0
VEV_5100,2,BUY_when_imb<-0.3,1,135.0,135.0
VEV_5100,2,spread_gt_2,17,396.0,23.294117647058822
VEV_5100,2,spread_gt_3,17,396.0,23.294117647058822
VEV_5100,2,BUY_above_mid,56,-1882.0,-33.607142857142854
VEV_5200,0,first_30_ticks,1,-13.5,-13.5
VEV_5200,0,first_100_ticks,1,-13.5,-13.5
VEV_5200,0,spread_gt_2,9,298.5,33.166666666666664
VEV_5200,0,BUY_above_mid,30,1086.0,36.2
VEV_5200,0,SELL_below_mid,7,-47.5,-6.785714285714286
VEV_5200,1,BUY_above_mid,51,-634.0,-12.431372549019608
VEV_5200,1,SELL_below_mid,15,-199.5,-13.3
VEV_5200,2,BUY_when_imb<-0.3,1,490.0,490.0
VEV_5200,2,spread_gt_2,2,910.0,455.0
VEV_5200,2,BUY_above_mid,49,2187.5,44.642857142857146
VEV_5300,0,BUY_when_imb<-0.3,1,0.0,0.0
VEV_5300,0,BUY_when_imb<-0.5,1,0.0,0.0
VEV_5300,0,first_30_ticks,1,-12.0,-12.0
VEV_5300,0,first_100_ticks,1,-12.0,-12.0
VEV_5300,0,BUY_above_mid,27,177.5,6.574074074074074
VEV_5300,1,SELL_when_imb>0.3,1,100.0,100.0
VEV_5300,1,first_100_ticks,3,45.0,15.0
VEV_5300,1,BUY_above_mid,28,1284.5,45.875
VEV_5300,1,SELL_below_mid,45,2024.0,44.977777777777774
VEV_5300,2,BUY_when_imb<-0.3,4,1920.0,480.0
VEV_5300,2,BUY_when_imb<-0.5,2,960.0,480.0
VEV_5300,2,BUY_above_mid,30,5591.0,186.36666666666667
VEV_5400,0,SELL_when_imb>0.3,1,110.0,110.0
VEV_5400,0,SELL_when_imb>0.5,1,110.0,110.0
VEV_5400,0,first_30_ticks,11,1135.0,103.18181818181819
VEV_5400,0,first_100_ticks,17,1567.0,92.17647058823529
VEV_5400,0,BUY_above_mid,40,1875.0,46.875
VEV_5400,0,SELL_below_mid,17,1567.0,92.17647058823529
VEV_5400,1,BUY_above_mid,36,3458.0,96.05555555555556
VEV_5400,1,SELL_below_mid,22,2087.0,94.86363636363636
VEV_5400,2,SELL_below_mid,26,632.5,24.326923076923077
VEV_5500,0,BUY_above_mid,1,7.5,7.5
VEV_5500,0,SELL_below_mid,19,1025.5,53.973684210526315
VEV_5500,1,BUY_above_mid,3,140.0,46.666666666666664
VEV_5500,1,SELL_below_mid,11,200.5,18.227272727272727
VEV_5500,2,SELL_below_mid,17,1568.0,92.23529411764706
