timestamp,day,product,side,trade_class,price,quantity,mid_0,bid_1,ask_1,spread_0,buyer,seller,markout_h1,next_mid_move_h1,same_side_move_h1,opp_side_move_h1,markout_h5,next_mid_move_h5,same_side_move_h5,opp_side_move_h5,markout_h10,next_mid_move_h10,same_side_move_h10,opp_side_move_h10,markout_h20,next_mid_move_h20,same_side_move_h20,opp_side_move_h20
6400,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12000.0,4,12006.5,12000,12013,13,,,-6.5,0.0,0,0,-6.5,0.0,0,0,-7.5,-1.0,-1,-1,-10.0,-3.5,-5,-2
10100,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12017.0,6,12009.0,12001,12017,16,,,-6.5,1.5,0,3,-6.5,1.5,0,3,-5.5,2.5,1,4,-4.5,3.5,2,5
20200,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12016.0,5,12015.0,12014,12016,2,,,-2.0,-1.0,,0,6.0,7.0,14,0,5.5,6.5,12,1,6.5,7.5,13,2
21900,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12015.0,3,12021.5,12015,12028,13,,,-7.0,-0.5,3,-4,-7.5,-1.0,-1,-1,-7.5,-1.0,-1,-1,-8.5,-2.0,-2,-2
22800,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12029.0,4,12021.0,12013,12029,16,,,-6.5,1.5,0,3,-5.5,2.5,1,4,-5.5,2.5,1,4,-4.5,3.5,2,5
28800,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12035.0,4,12028.5,12022,12035,13,,,-5.0,1.5,3,0,-11.0,-4.5,-10,1,-5.5,1.0,1,1,-4.5,2.0,2,2
34000,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12027.0,6,12035.5,12027,12044,17,,,-9.0,-0.5,-1,0,-7.5,1.0,-1,3,2.0,10.5,2,,-9.0,-0.5,1,-2
40400,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12034.0,6,12042.0,12034,12050,16,,,0.0,8.0,0,,-6.5,1.5,0,3,-9.0,-1.0,-1,-1,-2.0,6.0,-2,
41300,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12035.0,7,12041.5,12035,12048,13,,,-8.0,-1.5,0,-3,-6.5,0.0,0,0,-7.5,-1.0,-1,-1,-10.0,-3.5,-2,-5
43600,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12039.0,4,12038.0,12037,12039,2,,,4.5,5.5,11,0,7.0,8.0,15,1,5.5,6.5,12,1,5.0,6.0,13,-1
47700,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12044.0,4,12042.5,12041,12044,3,,,3.5,5.0,10,0,4.5,6.0,11,1,4.5,6.0,11,1,5.5,7.0,12,2
49600,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12043.0,3,12049.5,12043,12056,13,,,-6.5,0.0,0,0,-7.5,-1.0,-1,-1,-6.0,0.5,2,-1,-8.5,-2.0,-2,-2
49800,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12046.0,3,12044.5,12043,12046,3,,,3.5,5.0,10,0,4.5,6.0,11,1,6.0,7.5,14,1,5.5,7.0,15,-1
53200,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12060.0,4,12053.5,12047,12060,13,,,-8.0,-1.5,0,-3,-13.0,-6.5,,0,-4.0,2.5,4,1,-6.0,0.5,2,-1
59600,0,ASH_COATED_OSMIUM,buy,external_trade,10002.0,7,9994.0,9986,10002,16,,,-8.0,0.0,0,0,-7.0,1.0,1,1,-7.0,1.0,1,1,3.0,11.0,3,
65600,0,ASH_COATED_OSMIUM,sell,external_trade,9995.0,4,10001.5,9995,10008,13,,,-6.0,0.5,-3,4,-2.0,4.5,6,3,-2.0,4.5,6,3,3.5,10.0,6,14
65700,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12062.0,2,12059.0,12056,12062,6,,,1.5,4.5,6,3,6.0,9.0,14,4,4.5,7.5,11,4,4.0,7.0,12,2
66100,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12060.0,7,12066.5,12060,12073,13,,,-8.0,-1.5,0,-3,-8.0,-1.5,0,-3,-6.0,0.5,2,-1,-8.5,-2.0,-2,-2
68300,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12062.0,6,12068.5,12062,12075,13,,,-8.0,-1.5,0,-3,-6.5,0.0,0,0,-9.0,-2.5,-1,-4,-8.5,-2.0,-2,-2
71000,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12078.0,7,12071.0,12064,12078,14,,,-6.5,0.5,0,1,0.0,7.0,0,,-6.0,1.0,1,1,-5.0,2.0,2,2
76200,0,ASH_COATED_OSMIUM,sell,external_trade,9993.0,7,10001.0,9993,10009,16,,,-9.5,-1.5,0,-3,-10.0,-2.0,-2,-2,-10.0,-2.0,-2,-2,-13.0,-5.0,-10,0
77000,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12084.0,3,12077.0,12070,12084,14,,,-8.0,-1.0,0,-2,-6.5,0.5,0,1,-6.0,1.0,1,1,-5.0,2.0,2,2
79700,0,ASH_COATED_OSMIUM,buy,external_trade,10004.0,2,9998.0,9992,10004,12,,,-2.5,3.5,8,-1,-2.0,4.0,6,2,-2.0,4.0,6,2,-5.0,1.0,3,-1
87800,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12081.0,4,12087.5,12081,12094,13,,,-1.5,5.0,0,10,-6.0,0.5,2,-1,-7.5,-1.0,-1,-1,-7.0,-0.5,1,-2
90600,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12097.0,5,12090.5,12084,12097,13,,,-6.5,0.0,0,0,-1.0,5.5,1,10,-5.5,1.0,1,1,-6.0,0.5,2,-1
92400,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12087.0,1,12094.0,12086,12102,16,,,-5.5,1.5,0,3,-7.0,0.0,0,0,0.0,7.0,-1,,-7.5,-0.5,-2,1
93300,0,ASH_COATED_OSMIUM,sell,external_trade,9994.0,2,10002.0,9994,10010,16,,,-9.0,-1.0,0,-2,-7.0,1.0,1,1,-7.5,0.5,3,-2,-14.0,-6.0,,2
99500,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12093.0,3,12099.5,12093,12106,13,,,-8.0,-1.5,0,-3,,,,,,,,,,,,
