timestamp,day,product,side,trade_class,price,quantity,mid_0,bid_1,ask_1,spread_0,buyer,seller,markout_h1,next_mid_move_h1,same_side_move_h1,opp_side_move_h1,markout_h5,next_mid_move_h5,same_side_move_h5,opp_side_move_h5,markout_h10,next_mid_move_h10,same_side_move_h10,opp_side_move_h10,markout_h20,next_mid_move_h20,same_side_move_h20,opp_side_move_h20
1000,0,ASH_COATED_OSMIUM,sell,external_trade,9993.0,3,10002.0,9993,10011,18,,,-16.0,-7.0,,2,-7.0,2.0,1,3,-8.0,1.0,0,2,-8.0,1.0,0,2
3100,0,ASH_COATED_OSMIUM,buy,external_trade,10012.0,6,10003.0,9994,10012,18,,,-10.5,-1.5,0,-3,-11.0,-2.0,-3,-1,-20.0,-11.0,,-2,-16.5,-7.5,-14,-1
5600,0,ASH_COATED_OSMIUM,sell,external_trade,9991.0,8,10000.0,9991,10009,18,,,-10.0,-1.0,-2,0,-11.0,-2.0,-2,-2,-17.0,-8.0,,1,-10.0,-1.0,-2,0
6400,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12000.0,4,12006.5,12000,12013,13,,,-6.5,0.0,0,0,-6.5,0.0,0,0,-7.5,-1.0,-1,-1,-10.0,-3.5,-5,-2
7500,0,ASH_COATED_OSMIUM,buy,external_trade,10009.0,5,9999.5,9990,10009,19,,,-8.0,1.5,0,3,-7.5,2.0,2,2,-8.0,1.5,1,2,-7.5,2.0,2,2
9900,0,ASH_COATED_OSMIUM,sell,external_trade,10004.0,5,10004.0,10004,,,,,2.0,2.0,10,,2.0,2.0,10,,1.0,1.0,9,,2.0,2.0,10,
10100,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12017.0,6,12009.0,12001,12017,16,,,-6.5,1.5,0,3,-6.5,1.5,0,3,-5.5,2.5,1,4,-4.5,3.5,2,5
10600,0,ASH_COATED_OSMIUM,buy,external_trade,10010.0,10,10002.0,9994,10010,16,,,-7.5,0.5,3,-2,-7.0,1.0,1,1,-9.0,-1.0,0,-2,-7.0,1.0,1,1
12300,0,ASH_COATED_OSMIUM,sell,external_trade,9994.0,6,10002.0,9994,10010,16,,,-7.5,0.5,2,-1,-8.0,0.0,0,0,-9.0,-1.0,-1,-1,-8.0,0.0,0,0
14600,0,ASH_COATED_OSMIUM,buy,external_trade,10010.0,4,10002.0,9994,10010,16,,,-9.0,-1.0,0,-2,-8.0,0.0,0,0,-8.0,0.0,0,0,-10.0,-2.0,-2,-2
17600,0,ASH_COATED_OSMIUM,buy,external_trade,10009.0,4,10001.0,9993,10009,16,,,-16.0,-8.0,,0,-8.0,0.0,0,0,-7.0,1.0,1,1,-8.0,0.0,0,0
18000,0,ASH_COATED_OSMIUM,sell,external_trade,9993.0,8,10001.0,9993,10009,16,,,-8.0,0.0,0,0,-9.0,-1.0,-1,-1,-9.0,-1.0,-1,-1,0.0,8.0,0,
19200,0,ASH_COATED_OSMIUM,buy,external_trade,10009.0,2,10001.0,9993,10009,16,,,-3.0,5.0,0,10,-7.0,1.0,2,0,-8.0,0.0,0,0,-17.0,-9.0,,-1
19400,0,ASH_COATED_OSMIUM,buy,external_trade,10009.0,9,10001.0,9993,10009,16,,,-9.5,-1.5,0,-3,-8.0,0.0,0,0,-9.0,-1.0,-1,-1,-10.0,-2.0,-1,-3
19500,0,ASH_COATED_OSMIUM,sell,external_trade,9990.0,10,9999.5,9990,10009,19,,,-11.0,-1.5,-3,0,-3.0,6.5,-3,,-6.0,3.5,0,7,-11.0,-1.5,-3,0
20200,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12016.0,4,12015.0,12014,12016,2,,,-2.0,-1.0,,0,6.0,7.0,14,0,5.5,6.5,12,1,6.5,7.5,13,2
20300,0,ASH_COATED_OSMIUM,buy,external_trade,10009.0,2,9999.5,9990,10009,19,,,-9.0,0.5,-1,2,-9.0,0.5,-1,2,-8.0,1.5,0,3,-6.0,3.5,3,4
21900,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12015.0,3,12021.5,12015,12028,13,,,-7.0,-0.5,3,-4,-7.5,-1.0,-1,-1,-7.5,-1.0,-1,-1,-8.5,-2.0,-2,-2
22500,0,ASH_COATED_OSMIUM,sell,external_trade,9994.0,5,10002.0,9994,10010,16,,,-7.0,1.0,2,0,-6.0,2.0,3,1,-8.0,0.0,1,-1,-6.0,2.0,2,2
22800,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12029.0,4,12021.0,12013,12029,16,,,-6.5,1.5,0,3,-5.5,2.5,1,4,-5.5,2.5,1,4,-4.5,3.5,2,5
23000,0,ASH_COATED_OSMIUM,buy,external_trade,10009.0,4,10000.0,9991,10009,18,,,-8.0,1.0,0,2,-7.0,2.0,2,2,-19.0,-10.0,,-1,0.0,9.0,0,
24300,0,ASH_COATED_OSMIUM,buy,external_trade,10009.0,4,10001.0,9993,10009,16,,,-9.0,-1.0,-1,-1,-8.0,0.0,0,0,-8.0,0.0,0,0,0.0,8.0,0,
28200,0,ASH_COATED_OSMIUM,buy,external_trade,10009.0,5,9999.5,9990,10009,19,,,-8.0,1.5,0,3,-8.5,1.0,1,1,-8.0,1.5,0,3,-8.0,1.5,0,3
28800,0,ASH_COATED_OSMIUM,sell,external_trade,9993.0,10,10001.0,9993,10009,16,,,-8.0,0.0,0,0,-8.0,0.0,0,0,-9.0,-1.0,0,-2,-6.5,1.5,3,0
28800,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12035.0,4,12028.5,12022,12035,13,,,-5.0,1.5,3,0,-11.0,-4.5,-10,1,-5.5,1.0,1,1,-4.5,2.0,2,2
29000,0,ASH_COATED_OSMIUM,sell,external_trade,9991.0,6,10000.0,9991,10009,18,,,-10.0,-1.0,-2,0,-13.5,-4.5,-7,-2,-10.0,-1.0,-2,0,-8.5,0.5,1,0
31700,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12035.0,4,12036.5,12035,12038,3,,,3.5,5.0,10,0,2.5,4.0,9,-1,1.0,2.5,9,-4,1.5,3.0,8,-2
33800,0,ASH_COATED_OSMIUM,sell,external_trade,9991.0,10,9991.0,9991,,,,,-11.0,-11.0,-3,,-2.0,-2.0,-2,,-10.0,-10.0,-2,,-10.0,-10.0,-2,
